household
date,timestamp,energy,power,power1,power2,power3
2019-12-24 00:00:00,1577145600400,51690166270000,115870,45810,67470,2590
2019-12-24 00:00:02,1577145602400,51690166918000,116840,45810,68340,2690
2019-12-24 00:00:04,1577145604399,51690167568000,117240,45590,68930,2720
2019-12-24 00:00:06,1577145606399,51690168226000,118760,45740,70410,2610
2019-12-24 00:00:08,1577145608399,51690168886000,118640,45760,70350,2530
2019-12-24 00:00:10,1577145610399,51690169539000,116910,45520,68760,2630
2019-12-24 00:00:12,1577145612399,51690170184000,116220,45540,68170,2510
2019-12-24 00:00:14,1577145614399,51690170827000,115440,45360,67720,2360
2019-12-24 00:00:16,1577145616399,51690171469000,115760,45470,67850,2440
2019-12-24 00:00:18,1577145618399,51690172112000,115770,45370,67920,2480
2019-12-24 00:00:20,1577145620399,51690172756000,115940,45530,67800,2610
2019-12-24 00:00:22,1577145622398,51690173405000,116970,45570,68850,2550
2019-12-24 00:00:24,1577145624398,51690174052000,116340,45550,68090,2700
2019-12-24 00:00:26,1577145626398,51690174699000,116600,45540,68430,2630
2019-12-24 00:00:28,1577145628398,51690175352000,117940,46520,68910,2510
2019-12-24 00:00:30,1577145630398,51690176013000,119230,46780,70030,2420
2019-12-24 00:00:32,1577145632398,51690176683000,120810,46620,71690,2500
2019-12-24 00:00:34,1577145634398,51690177340000,117350,45670,69120,2560
2019-12-24 00:00:36,1577145636398,51690177989000,116830,45770,68510,2550
2019-12-24 00:00:38,1577145638398,51690178633000,115670,45570,67530,2570
2019-12-24 00:00:40,1577145640398,51690179277000,115940,45600,67740,2600
2019-12-24 00:00:42,1577145642397,51690179922000,116360,45500,68270,2590
2019-12-24 00:00:44,1577145644397,51690180570000,116490,45650,68160,2680
2019-12-24 00:00:46,1577145646397,51690181215000,116180,45650,67940,2590
2019-12-24 00:00:48,1577145648397,51690181861000,116230,45750,67870,2610
2019-12-24 00:00:50,1577145650397,51690182506000,116010,45620,67820,2570
2019-12-24 00:00:52,1577145652397,51690183151000,116250,45760,67860,2630
2019-12-24 00:00:54,1577145654397,51690183795000,115750,45460,67720,2570
2019-12-24 00:00:56,1577145656397,51690184438000,115800,45540,67720,2540
2019-12-24 00:00:58,1577145658397,51690185090000,118140,45640,69960,2540
