household
date,timestamp,energy,power,power1,power2,power3
2019-12-24 00:00:00,1577145600566,99692321690000,226860,91400,74710,60750
2019-12-24 00:00:02,1577145602566,99692322966000,231370,91180,75740,64450
2019-12-24 00:00:04,1577145604566,99692324283000,238320,90880,77300,70140
2019-12-24 00:00:06,1577145606566,99692325617000,240550,91000,76970,72580
2019-12-24 00:00:08,1577145608566,99692326949000,239100,91260,75490,72350
2019-12-24 00:00:10,1577145610566,99692328279000,240330,91320,75040,73970
2019-12-24 00:00:12,1577145612565,99692329624000,242480,91350,74940,76190
2019-12-24 00:00:14,1577145614565,99692330982000,244770,91320,75970,77480
2019-12-24 00:00:16,1577145616565,99692332314000,237740,91340,75530,70870
2019-12-24 00:00:18,1577145618565,99692333629000,236890,91340,75660,69890
2019-12-24 00:00:20,1577145620565,99692334949000,237640,91220,76370,70050
2019-12-24 00:00:22,1577145622565,99692336270000,238000,91300,77260,69440
2019-12-24 00:00:24,1577145624565,99692337599000,239630,91420,77830,70380
2019-12-24 00:00:26,1577145626565,99692338926000,238420,91360,77660,69400
2019-12-24 00:00:28,1577145628564,99692340246000,237510,91390,76850,69270
2019-12-24 00:00:30,1577145630564,99692341564000,237050,91590,76210,69250
2019-12-24 00:00:32,1577145632564,99692342877000,236050,91450,75380,69220
2019-12-24 00:00:34,1577145634564,99692344186000,235650,91520,74880,69250
2019-12-24 00:00:36,1577145636564,99692345493000,234910,91420,74460,69030
2019-12-24 00:00:38,1577145638564,99692346796000,234660,91250,74230,69180
2019-12-24 00:00:40,1577145640564,99692348104000,235640,91330,74930,69380
2019-12-24 00:00:42,1577145642564,99692349413000,235410,91220,75140,69050
2019-12-24 00:00:44,1577145644563,99692350719000,235340,90770,75470,69100
2019-12-24 00:00:46,1577145646563,99692352034000,237140,91110,76310,69720
2019-12-24 00:00:48,1577145648563,99692353356000,237930,91220,77150,69560
2019-12-24 00:00:50,1577145650563,99692354676000,237480,91310,76760,69410
2019-12-24 00:00:52,1577145652563,99692355992000,236880,91230,76240,69410
2019-12-24 00:00:54,1577145654563,99692357311000,237350,91280,75850,70220
2019-12-24 00:00:56,1577145656563,99692358622000,235620,91250,75170,69200
2019-12-24 00:00:58,1577145658563,99692359940000,238230,91310,77780,69140
2019-12-24 00:01:00,1577145660562,99692361266000,238170,91480,77510,69180
2019-12-24 00:01:02,1577145662562,99692362582000,236750,91490,76130,69130
2019-12-24 00:01:04,1577145664562,99692363899000,237220,91480,76650,69090
2019-12-24 00:01:06,1577145666562,99692365219000,237660,91260,77250,69150
2019-12-24 00:01:08,1577145668562,99692366546000,239480,91370,77270,70840
2019-12-24 00:01:10,1577145670562,99692367876000,239280,91410,78590,69280
2019-12-24 00:01:12,1577145672562,99692369209000,240080,91340,79690,69050
2019-12-24 00:01:14,1577145674562,99692370545000,240370,91410,79630,69330
2019-12-24 00:01:16,1577145676561,99692371869000,237570,91290,76990,69290
2019-12-24 00:01:18,1577145678561,99692373183000,236460,91250,76100,69110
2019-12-24 00:01:20,1577145680561,99692374496000,236280,91470,75710,69100
2019-12-24 00:01:22,1577145682561,99692375812000,237020,91460,75190,70370
2019-12-24 00:01:24,1577145684561,99692377119000,234630,90960,74240,69430
2019-12-24 00:01:26,1577145686561,99692378419000,233860,91010,73720,69130
2019-12-24 00:01:28,1577145688561,99692379718000,233780,91290,73350,69140
2019-12-24 00:01:30,1577145690561,99692381022000,235250,91470,74510,69270
2019-12-24 00:01:32,1577145692560,99692382332000,235930,91420,75480,69030
2019-12-24 00:01:34,1577145694560,99692383645000,236310,91460,75730,69120
2019-12-24 00:01:36,1577145696560,99692384963000,237860,91400,75920,70540
2019-12-24 00:01:38,1577145698560,99692386287000,238000,91450,76570,69980
2019-12-24 00:01:40,1577145700560,99692387606000,237280,91530,76500,69250
2019-12-24 00:01:42,1577145702560,99692388919000,236130,91500,75490,69140
2019-12-24 00:01:44,1577145704560,99692390230000,235890,91470,75220,69200
2019-12-24 00:01:46,1577145706560,99692391554000,240640,91500,79930,69210
2019-12-24 00:01:48,1577145708559,99692392981000,261940,91550,101310,69080
2019-12-24 00:01:50,1577145710559,99692394461000,267100,91410,105410,70280
2019-12-24 00:01:52,1577145712559,99692395971000,272960,91500,110620,70840
2019-12-24 00:01:54,1577145714559,99692397485000,271870,91650,110480,69740
2019-12-24 00:01:56,1577145716559,99692398951000,261510,91490,100280,69740
2019-12-24 00:01:58,1577145718559,99692400406000,262290,91530,101240,69520
2019-12-24 00:02:00,1577145720559,99692401854000,260040,91520,98980,69540
2019-12-24 00:02:02,1577145722559,99692403304000,261200,91650,100000,69550
2019-12-24 00:02:04,1577145724558,99692404741000,257840,91060,96690,70090
2019-12-24 00:02:06,1577145726558,99692406167000,256150,91170,93140,71840
2019-12-24 00:02:08,1577145728558,99692407569000,251160,91310,90280,69570
