household
date,timestamp,energy,power,power1,power2,power3
2019-12-24 00:00:01,1577145601828,124206075778000,324810,260280,1980,62550
2019-12-24 00:00:03,1577145603828,124206077583000,324910,260130,2320,62460
2019-12-24 00:00:05,1577145605828,124206079387000,324550,259810,2000,62740
2019-12-24 00:00:07,1577145607828,124206081189000,324670,260120,2040,62510
2019-12-24 00:00:09,1577145609828,124206082996000,325300,260440,2240,62620
2019-12-24 00:00:11,1577145611828,124206084803000,325150,260640,2040,62470
2019-12-24 00:00:13,1577145613828,124206086609000,325070,260570,2100,62400
2019-12-24 00:00:15,1577145615828,124206088414000,324720,260330,1980,62410
2019-12-24 00:00:17,1577145617828,124206090218000,324770,260130,2080,62560
2019-12-24 00:00:19,1577145619828,124206092023000,324970,260260,2050,62660
2019-12-24 00:00:21,1577145621828,124206093828000,325060,260580,2110,62370
2019-12-24 00:00:23,1577145623828,124206095635000,325040,260360,2180,62500
2019-12-24 00:00:25,1577145625828,124206097440000,324940,260290,1920,62730
2019-12-24 00:00:27,1577145627828,124206099245000,324890,260130,2220,62540
2019-12-24 00:00:29,1577145629828,124206101047000,324250,259570,2100,62580
2019-12-24 00:00:31,1577145631828,124206102860000,327830,262990,2210,62630
2019-12-24 00:00:33,1577145633828,124206105016000,417810,353280,2040,62490
2019-12-24 00:00:35,1577145635828,124206107557000,459970,395220,1970,62780
2019-12-24 00:00:37,1577145637828,124206110108000,459080,394310,2160,62610
2019-12-24 00:00:39,1577145639828,124206112655000,458220,393380,2100,62740
2019-12-24 00:00:41,1577145641828,124206115201000,458280,393140,2430,62710
2019-12-24 00:00:43,1577145643828,124206117745000,457670,393110,2030,62530
2019-12-24 00:00:45,1577145645828,124206120286000,457410,392360,2310,62740
2019-12-24 00:00:47,1577145647828,124206122825000,456770,392190,2170,62410
2019-12-24 00:00:49,1577145649828,124206125359000,456170,392150,2150,61870
2019-12-24 00:00:51,1577145651828,124206127893000,455920,391880,2000,62040
2019-12-24 00:00:53,1577145653828,124206130422000,455050,390980,1990,62080
2019-12-24 00:00:55,1577145655828,124206132949000,454600,389830,2430,62340
2019-12-24 00:00:57,1577145657828,124206135470000,453830,389660,2110,62060
2019-12-24 00:00:59,1577145659828,124206137993000,454200,389680,2450,62070
2019-12-24 00:01:01,1577145661828,124206140515000,453750,389490,2150,62110
2019-12-24 00:01:03,1577145663828,124206143035000,453570,389550,1960,62060
2019-12-24 00:01:05,1577145665828,124206145558000,454220,389810,2190,62220
2019-12-24 00:01:07,1577145667828,124206148079000,453630,389450,2030,62150
2019-12-24 00:01:09,1577145669828,124206150599000,453720,389260,2150,62310
2019-12-24 00:01:11,1577145671828,124206153119000,453430,389080,1950,62400
2019-12-24 00:01:13,1577145673828,124206155638000,453660,389050,2430,62180
2019-12-24 00:01:15,1577145675828,124206158160000,453790,389110,2340,62340
2019-12-24 00:01:17,1577145677828,124206160678000,453140,388820,2130,62190
2019-12-24 00:01:19,1577145679828,124206163193000,452650,388180,2180,62290
2019-12-24 00:01:21,1577145681828,124206165710000,453190,388730,2150,62310
2019-12-24 00:01:23,1577145683828,124206168225000,452440,388150,2130,62160
2019-12-24 00:01:25,1577145685828,124206170739000,452580,388160,2000,62420
2019-12-24 00:01:27,1577145687828,124206173251000,451940,387820,1940,62180
2019-12-24 00:01:29,1577145689828,124206175760000,451690,387470,2000,62220
2019-12-24 00:01:31,1577145691828,124206178269000,451420,387110,2040,62270
2019-12-24 00:01:33,1577145693828,124206180777000,451520,387000,2250,62270
2019-12-24 00:01:35,1577145695828,124206183285000,451400,386760,1970,62670
2019-12-24 00:01:37,1577145697828,124206185795000,451900,387210,2440,62250
2019-12-24 00:01:39,1577145699828,124206188305000,451770,387120,2090,62560
2019-12-24 00:01:41,1577145701828,124206190815000,451850,386910,1990,62950
2019-12-24 00:01:43,1577145703828,124206193323000,451210,386730,1840,62640
2019-12-24 00:01:45,1577145705828,124206195828000,450920,386160,1950,62810
2019-12-24 00:01:47,1577145707828,124206198332000,450690,386220,2150,62320
2019-12-24 00:01:49,1577145709828,124206200834000,450220,385870,1970,62380
2019-12-24 00:01:51,1577145711828,124206203336000,450440,385560,2430,62450
2019-12-24 00:01:53,1577145713828,124206205837000,450150,385670,2040,62440
2019-12-24 00:01:55,1577145715828,124206208340000,450590,385640,2210,62740
2019-12-24 00:01:57,1577145717828,124206210841000,449970,385390,2090,62490
2019-12-24 00:01:59,1577145719828,124206213342000,450440,386060,2040,62340
2019-12-24 00:02:01,1577145721828,124206215846000,450500,386010,2020,62470
2019-12-24 00:02:03,1577145723828,124206218347000,450270,385830,2030,62410
2019-12-24 00:02:05,1577145725828,124206220850000,450510,385540,2230,62740
2019-12-24 00:02:07,1577145727828,124206223349000,449780,385030,2170,62580
2019-12-24 00:02:09,1577145729828,124206225847000,449570,384700,2240,62630
2019-12-24 00:02:11,1577145731828,124206228344000,449380,384580,2230,62570
2019-12-24 00:02:13,1577145733828,124206230841000,449590,385090,2110,62390
2019-12-24 00:02:15,1577145735828,124206233341000,449870,384800,2230,62840
2019-12-24 00:02:17,1577145737828,124206235839000,449700,385180,1910,62610
2019-12-24 00:02:19,1577145739828,124206238338000,449820,385030,2140,62650
2019-12-24 00:02:21,1577145741828,124206240836000,449690,385070,2060,62560
2019-12-24 00:02:23,1577145743828,124206243336000,449920,385240,2180,62500
2019-12-24 00:02:25,1577145745828,124206245834000,449560,384960,2070,62530
2019-12-24 00:02:27,1577145747828,124206248331000,449480,384700,2300,62480
2019-12-24 00:02:29,1577145749828,124206250828000,449470,384400,2390,62680
2019-12-24 00:02:31,1577145751828,124206253325000,449530,384920,1970,62640
2019-12-24 00:02:33,1577145753828,124206255831000,451510,386630,2480,62400
2019-12-24 00:02:35,1577145755828,124206258337000,451020,386490,1920,62610
2019-12-24 00:02:37,1577145757828,124206260841000,450490,386080,2050,62360
2019-12-24 00:02:39,1577145759828,124206263345000,450890,386540,1920,62430
2019-12-24 00:02:41,1577145761828,124206265849000,450730,386250,2030,62450
2019-12-24 00:02:43,1577145763828,124206268356000,451270,386830,2050,62390
2019-12-24 00:02:45,1577145765828,124206270864000,451490,387050,1890,62550
2019-12-24 00:02:47,1577145767828,124206273370000,451070,386430,2370,62270
2019-12-24 00:02:49,1577145769828,124206275873000,450200,385830,1920,62450
2019-12-24 00:02:51,1577145771828,124206278374000,450220,385550,2300,62370
2019-12-24 00:02:53,1577145773828,124206280874000,450110,385750,2030,62330
2019-12-24 00:02:55,1577145775828,124206283375000,450120,385740,1900,62480
2019-12-24 00:02:57,1577145777828,124206285875000,449980,385410,2110,62460
2019-12-24 00:02:59,1577145779828,124206288380000,451230,386730,2070,62430
2019-12-24 00:03:01,1577145781828,124206290887000,451140,386330,2240,62570
2019-12-24 00:03:03,1577145783828,124206293395000,451420,386800,2150,62470
2019-12-24 00:03:05,1577145785828,124206295902000,451410,386540,2260,62610
2019-12-24 00:03:07,1577145787829,124206298409000,451170,386680,2200,62290
2019-12-24 00:03:09,1577145789829,124206300915000,451120,386760,1850,62510
2019-12-24 00:03:11,1577145791829,124206303422000,451290,386690,2070,62530
2019-12-24 00:03:13,1577145793829,124206305928000,450980,386530,2030,62420
2019-12-24 00:03:15,1577145795829,124206308435000,451340,386400,2350,62590
2019-12-24 00:03:17,1577145797829,124206310940000,450860,386410,2140,62310
2019-12-24 00:03:19,1577145799829,124206313447000,451370,386680,2170,62520
2019-12-24 00:03:21,1577145801829,124206315956000,451390,386710,2180,62500
2019-12-24 00:03:23,1577145803829,124206318460000,450560,386060,2080,62420
2019-12-24 00:03:25,1577145805829,124206320961000,450300,385750,1990,62560
2019-12-24 00:03:27,1577145807829,124206323463000,450240,385670,2160,62410
2019-12-24 00:03:29,1577145809829,124206325965000,450500,385590,2270,62640
2019-12-24 00:03:31,1577145811829,124206328468000,450460,385730,2050,62680
2019-12-24 00:03:33,1577145813829,124206330970000,450550,386080,2160,62310
2019-12-24 00:03:35,1577145815829,124206333475000,450720,385820,2210,62690
2019-12-24 00:03:37,1577145817829,124206335975000,450010,385530,2070,62410
2019-12-24 00:03:39,1577145819829,124206338479000,450830,386140,2190,62500
2019-12-24 00:03:41,1577145821829,124206340981000,450230,385720,2010,62500
2019-12-24 00:03:43,1577145823829,124206343485000,450950,386100,2240,62610
2019-12-24 00:03:45,1577145825829,124206345992000,451180,386350,2070,62760
2019-12-24 00:03:47,1577145827829,124206348497000,450700,386190,2030,62480
2019-12-24 00:03:49,1577145829829,124206351001000,451030,386300,2130,62600
2019-12-24 00:03:51,1577145831829,124206353506000,450720,386160,1990,62570
2019-12-24 00:03:53,1577145833829,124206356010000,450790,386210,2130,62450
2019-12-24 00:03:55,1577145835829,124206358513000,450230,385450,2000,62780
2019-12-24 00:03:57,1577145837829,124206361043000,458640,393860,2260,62520
2019-12-24 00:03:59,1577145839829,124206363632000,467090,402290,2160,62640
2019-12-24 00:04:01,1577145841829,124206366224000,466470,402040,2030,62400
2019-12-24 00:04:03,1577145843829,124206368815000,466260,401720,2100,62440
2019-12-24 00:04:05,1577145845829,124206371405000,466160,401690,1900,62570
2019-12-24 00:04:07,1577145847829,124206373995000,466310,401590,2320,62400
2019-12-24 00:04:09,1577145849829,124206376585000,466310,401640,2080,62590
2019-12-24 00:04:11,1577145851829,124206379178000,466670,401690,2190,62790
2019-12-24 00:04:13,1577145853829,124206381767000,465830,401110,2140,62580
2019-12-24 00:04:15,1577145855829,124206384355000,465970,401240,2080,62650
2019-12-24 00:04:17,1577145857829,124206386947000,466770,402060,2210,62500
2019-12-24 00:04:19,1577145859829,124206389498000,451340,386870,1870,62600
2019-12-24 00:04:21,1577145861829,124206391615000,357540,292960,2090,62490
2019-12-24 00:04:23,1577145863829,124206393515000,342260,277790,2030,62440
2019-12-24 00:04:25,1577145865829,124206395417000,342240,277560,2090,62590
2019-12-24 00:04:27,1577145867829,124206397315000,341350,276880,2070,62400
2019-12-24 00:04:29,1577145869829,124206399212000,341560,277000,2160,62400
2019-12-24 00:04:31,1577145871829,124206401110000,341730,276910,2260,62560
2019-12-24 00:04:33,1577145873829,124206403006000,341130,276780,1900,62450
2019-12-24 00:04:35,1577145875829,124206404904000,341920,277030,2130,62760
2019-12-24 00:04:37,1577145877829,124206406803000,341630,277170,1980,62480
2019-12-24 00:04:39,1577145879829,124206408699000,341120,276740,1920,62460
2019-12-24 00:04:41,1577145881829,124206410593000,340900,276260,2060,62580
2019-12-24 00:04:43,1577145883829,124206412486000,340550,276060,2030,62460
2019-12-24 00:04:45,1577145885829,124206414379000,340930,276050,2390,62490
2019-12-24 00:04:47,1577145887829,124206416270000,340320,275880,2060,62380
2019-12-24 00:04:49,1577145889829,124206418162000,340600,275730,2410,62460
2019-12-24 00:04:51,1577145891829,124206420055000,340850,276270,2210,62370
2019-12-24 00:04:53,1577145893829,124206421947000,340240,276050,1820,62370
2019-12-24 00:04:55,1577145895829,124206423834000,339560,275110,1930,62520
2019-12-24 00:04:57,1577145897829,124206425722000,340060,275640,2070,62350
2019-12-24 00:04:59,1577145899829,124206427614000,340580,275780,2180,62620
2019-12-24 00:05:01,1577145901829,124206429507000,340710,276160,1890,62660
2019-12-24 00:05:03,1577145903829,124206431401000,341180,276420,2260,62500
2019-12-24 00:05:05,1577145905829,124206433297000,341230,276370,2130,62730
2019-12-24 00:05:07,1577145907829,124206435192000,341000,276420,2060,62520
2019-12-24 00:05:09,1577145909829,124206437085000,340850,276140,2110,62600
2019-12-24 00:05:11,1577145911829,124206438980000,341050,276410,2120,62520
2019-12-24 00:05:13,1577145913829,124206440873000,340730,276120,2120,62490
2019-12-24 00:05:15,1577145915829,124206442768000,341070,276430,1980,62660
2019-12-24 00:05:17,1577145917829,124206444664000,341540,276740,2320,62480
2019-12-24 00:05:19,1577145919829,124206446562000,341460,276660,2180,62620
2019-12-24 00:05:21,1577145921829,124206448485000,351160,286330,2230,62600
2019-12-24 00:05:23,1577145923829,124206450630000,395890,331310,2120,62460
2019-12-24 00:05:25,1577145925829,124206452854000,400430,335930,1930,62570
2019-12-24 00:05:27,1577145927829,124206455071000,397790,333580,1910,62300
2019-12-24 00:05:29,1577145929829,124206457234000,386750,322420,1890,62440
2019-12-24 00:05:31,1577145931829,124206459397000,391560,326990,2130,62440
2019-12-24 00:05:33,1577145933829,124206461588000,393780,329560,2070,62150
2019-12-24 00:05:35,1577145935829,124206463780000,395790,330990,2180,62620
2019-12-24 00:05:37,1577145937829,124206465964000,391670,326900,2460,62310
2019-12-24 00:05:39,1577145939829,124206468159000,398100,333740,1930,62430
2019-12-24 00:05:41,1577145941829,124206470398000,401790,337230,2200,62360
2019-12-24 00:05:43,1577145943829,124206472624000,402360,337950,1990,62420
2019-12-24 00:05:45,1577145945829,124206474881000,406870,341990,2100,62780
2019-12-24 00:05:47,1577145947829,124206477146000,407730,343230,2050,62450
2019-12-24 00:05:49,1577145949829,124206479408000,407400,342810,2100,62490
2019-12-24 00:05:51,1577145951829,124206481674000,407690,342900,2360,62430
