household
date,timestamp,energy,power,power1,power2,power3
2019-12-24 00:00:00,1577145600821,88565758725000,126050,76800,0,49250
2019-12-24 00:00:02,1577145602821,88565759432000,128640,76720,0,51920
2019-12-24 00:00:04,1577145604820,88565760238000,151580,76630,0,74950
2019-12-24 00:00:06,1577145606820,88565761163000,170760,76520,0,94240
2019-12-24 00:00:08,1577145608820,88565762146000,176100,76810,0,99290
2019-12-24 00:00:10,1577145610820,88565763028000,153970,76450,0,77520
2019-12-24 00:00:12,1577145612820,88565763848000,145490,76590,0,68900
2019-12-24 00:00:14,1577145614820,88565764642000,142490,76700,0,65790
2019-12-24 00:00:16,1577145616820,88565765431000,141890,76710,0,65180
2019-12-24 00:00:18,1577145618820,88565766219000,142140,76670,0,65470
2019-12-24 00:00:20,1577145620819,88565767007000,141290,76340,0,64950
2019-12-24 00:00:22,1577145622819,88565767787000,140350,76480,0,63870
2019-12-24 00:00:24,1577145624819,88565768573000,142180,76700,0,65480
2019-12-24 00:00:26,1577145626819,88565769365000,142010,76580,0,65430
2019-12-24 00:00:28,1577145628819,88565770147000,140830,76740,0,64090
2019-12-24 00:00:30,1577145630819,88565770931000,141110,76740,0,64370
2019-12-24 00:00:32,1577145632819,88565771715000,141190,76810,0,64380
2019-12-24 00:00:34,1577145634818,88565772500000,141250,76840,0,64410
2019-12-24 00:00:36,1577145636818,88565773287000,141650,76790,0,64860
2019-12-24 00:00:38,1577145638818,88565774070000,140960,76650,0,64310
2019-12-24 00:00:40,1577145640818,88565774853000,140820,76550,0,64270
2019-12-24 00:00:42,1577145642818,88565775635000,140840,76670,0,64170
2019-12-24 00:00:44,1577145644818,88565776418000,140920,76720,0,64200
2019-12-24 00:00:46,1577145646818,88565777203000,141580,76630,0,64950
2019-12-24 00:00:48,1577145648818,88565777990000,141490,76540,0,64950
2019-12-24 00:00:50,1577145650817,88565778775000,141250,76660,0,64590
2019-12-24 00:00:52,1577145652817,88565779559000,141220,76990,0,64230
2019-12-24 00:00:54,1577145654817,88565780343000,140970,76690,0,64280
2019-12-24 00:00:56,1577145656817,88565781126000,140990,76510,0,64480
2019-12-24 00:00:58,1577145658817,88565781912000,141710,76500,0,65210
2019-12-24 00:01:00,1577145660817,88565782697000,141160,76710,0,64450
2019-12-24 00:01:02,1577145662817,88565783482000,141240,76450,0,64790
2019-12-24 00:01:04,1577145664817,88565784266000,141090,76520,0,64570
2019-12-24 00:01:06,1577145666816,88565785050000,141350,76440,0,64910
2019-12-24 00:01:08,1577145668816,88565785841000,142390,76780,0,65610
2019-12-24 00:01:10,1577145670816,88565786628000,141420,76670,0,64750
2019-12-24 00:01:12,1577145672816,88565787412000,141150,76850,0,64300
2019-12-24 00:01:14,1577145674816,88565788194000,140730,76540,0,64190
2019-12-24 00:01:16,1577145676816,88565788976000,140680,76700,0,63980
2019-12-24 00:01:18,1577145678816,88565789757000,140520,76580,0,63940
2019-12-24 00:01:20,1577145680816,88565790544000,142190,76670,0,65520
2019-12-24 00:01:22,1577145682815,88565791329000,140690,76330,0,64360
2019-12-24 00:01:24,1577145684815,88565792110000,140660,76520,0,64140
2019-12-24 00:01:26,1577145686815,88565792891000,140520,76500,0,64020
2019-12-24 00:01:28,1577145688815,88565793671000,140410,76370,0,64040
2019-12-24 00:01:30,1577145690815,88565794451000,140370,76220,0,64150
2019-12-24 00:01:32,1577145692815,88565795235000,141350,76520,0,64830
2019-12-24 00:01:34,1577145694815,88565796018000,140790,76600,0,64190
2019-12-24 00:01:36,1577145696814,88565796799000,140550,76670,0,63880
2019-12-24 00:01:38,1577145698814,88565797580000,140690,76850,0,63840
2019-12-24 00:01:40,1577145700814,88565798363000,140840,76790,0,64050
2019-12-24 00:01:42,1577145702814,88565799145000,140960,76360,0,64600
2019-12-24 00:01:44,1577145704814,88565799927000,140450,76370,0,64080
2019-12-24 00:01:46,1577145706814,88565800705000,140060,76300,0,63760
2019-12-24 00:01:48,1577145708814,88565801485000,140450,76660,0,63790
2019-12-24 00:01:50,1577145710814,88565802270000,141570,76760,0,64810
2019-12-24 00:01:52,1577145712813,88565803052000,140550,76630,0,63920
2019-12-24 00:01:54,1577145714813,88565803834000,140910,76320,0,64590
2019-12-24 00:01:56,1577145716813,88565804615000,140350,76460,0,63890
2019-12-24 00:01:58,1577145718813,88565805398000,141200,76780,0,64420
2019-12-24 00:02:00,1577145720813,88565806185000,141530,76710,0,64820
2019-12-24 00:02:02,1577145722813,88565806966000,140550,76750,0,63800
2019-12-24 00:02:04,1577145724813,88565807748000,140780,76430,0,64350
2019-12-24 00:02:06,1577145726813,88565808530000,140650,76380,0,64270
2019-12-24 00:02:08,1577145728812,88565809309000,140290,76500,0,63790
2019-12-24 00:02:10,1577145730812,88565810090000,140720,76420,0,64300
2019-12-24 00:02:12,1577145732812,88565810874000,141140,76370,0,64770
2019-12-24 00:02:14,1577145734812,88565811658000,141260,76710,0,64550
2019-12-24 00:02:16,1577145736812,88565812445000,141660,76640,0,65020
2019-12-24 00:02:18,1577145738812,88565813228000,140670,76380,0,64290
2019-12-24 00:02:20,1577145740812,88565814010000,140960,76580,0,64380
2019-12-24 00:02:22,1577145742812,88565814794000,141030,76630,0,64400
2019-12-24 00:02:24,1577145744811,88565815575000,140420,76390,0,64030
2019-12-24 00:02:26,1577145746811,88565816355000,140330,76280,0,64050
2019-12-24 00:02:28,1577145748811,88565817138000,141240,76540,0,64700
2019-12-24 00:02:30,1577145750811,88565817921000,140790,76710,0,64080
2019-12-24 00:02:32,1577145752811,88565818702000,140590,76470,0,64120
2019-12-24 00:02:34,1577145754811,88565819485000,140920,76750,0,64170
2019-12-24 00:02:36,1577145756811,88565820267000,140690,76490,0,64200
2019-12-24 00:02:38,1577145758810,88565821048000,140880,76430,0,64450
2019-12-24 00:02:40,1577145760810,88565821833000,141090,76630,0,64460
2019-12-24 00:02:42,1577145762810,88565822615000,140590,76840,0,63750
2019-12-24 00:02:44,1577145764810,88565823395000,140470,76470,0,64000
2019-12-24 00:02:46,1577145766810,88565824175000,140420,76420,0,64000
2019-12-24 00:02:48,1577145768810,88565824955000,140420,76400,0,64020
2019-12-24 00:02:50,1577145770810,88565825739000,141540,76250,0,65290
2019-12-24 00:02:52,1577145772810,88565826528000,141860,76540,0,65320
2019-12-24 00:02:54,1577145774809,88565827310000,140510,76500,0,64010
2019-12-24 00:02:56,1577145776809,88565828090000,140490,76460,0,64030
2019-12-24 00:02:58,1577145778809,88565828871000,140550,76580,0,63970
2019-12-24 00:03:00,1577145780809,88565829654000,141240,76610,0,64630
2019-12-24 00:03:02,1577145782809,88565830440000,141170,76480,0,64690
2019-12-24 00:03:04,1577145784809,88565831220000,140230,76240,0,63990
2019-12-24 00:03:06,1577145786809,88565831998000,140190,76040,0,64150
2019-12-24 00:03:08,1577145788809,88565832778000,140300,76170,0,64130
2019-12-24 00:03:10,1577145790808,88565833557000,140360,76220,0,64140
2019-12-24 00:03:12,1577145792808,88565834340000,141080,76170,0,64910
2019-12-24 00:03:14,1577145794808,88565835123000,140760,76550,0,64210
2019-12-24 00:03:16,1577145796808,88565835905000,140840,76820,0,64020
2019-12-24 00:03:18,1577145798808,88565836688000,140920,76840,0,64080
2019-12-24 00:03:20,1577145800808,88565837472000,141100,76780,0,64320
2019-12-24 00:03:22,1577145802808,88565838256000,141400,76590,0,64810
2019-12-24 00:03:24,1577145804808,88565839042000,141110,76210,0,64900
2019-12-24 00:03:26,1577145806807,88565839821000,140050,75980,0,64070
2019-12-24 00:03:28,1577145808807,88565840597000,139770,75940,0,63830
2019-12-24 00:03:30,1577145810807,88565841374000,139790,75950,0,63840
2019-12-24 00:03:32,1577145812807,88565842151000,139920,76060,0,63860
2019-12-24 00:03:34,1577145814807,88565842931000,140630,76230,0,64400
2019-12-24 00:03:36,1577145816807,88565843713000,140470,76240,0,64230
2019-12-24 00:03:38,1577145818807,88565844491000,140150,76250,0,63900
