household
date,timestamp,energy,power,power1,power2,power3
2019-12-24 00:00:01,1577145601060,89270092772000,414020,163350,44580,206090
2019-12-24 00:00:03,1577145603060,89270095066000,412740,162410,44680,205650
2019-12-24 00:00:05,1577145605060,89270097357000,411930,161930,44820,205180
2019-12-24 00:00:07,1577145607060,89270099678000,420290,161780,44840,213670
2019-12-24 00:00:09,1577145609060,89270101983000,412720,160920,44620,207180
2019-12-24 00:00:11,1577145611060,89270104282000,414050,162290,44650,207110
2019-12-24 00:00:13,1577145613059,89270106574000,412270,162420,44660,205190
2019-12-24 00:00:15,1577145615059,89270108869000,413390,163150,44860,205380
2019-12-24 00:00:17,1577145617059,89270111166000,413350,163560,44710,205080
2019-12-24 00:00:19,1577145619059,89270113454000,411170,161440,44720,205010
2019-12-24 00:00:21,1577145621059,89270115753000,416450,161020,44780,210650
2019-12-24 00:00:23,1577145623059,89270118096000,420900,163030,44560,213310
2019-12-24 00:00:25,1577145625059,89270120398000,413330,163580,44730,205020
2019-12-24 00:00:27,1577145627059,89270122693000,413100,163430,44650,205020
2019-12-24 00:00:29,1577145629059,89270124996000,415070,164610,44950,205510
2019-12-24 00:00:31,1577145631058,89270127302000,415630,163750,44710,207170
2019-12-24 00:00:33,1577145633058,89270129617000,415560,163300,44700,207560
2019-12-24 00:00:35,1577145635058,89270131913000,413350,163120,44740,205490
2019-12-24 00:00:37,1577145637058,89270134229000,419370,163390,44770,211210
2019-12-24 00:00:39,1577145639058,89270136560000,417160,162260,44670,210230
2019-12-24 00:00:41,1577145641058,89270138855000,412730,160510,44680,207540
2019-12-24 00:00:43,1577145643058,89270141062000,389540,135430,44630,209480
2019-12-24 00:00:45,1577145645058,89270143161000,376670,126210,44920,205540
2019-12-24 00:00:47,1577145647058,89270145260000,378170,127650,44910,205610
2019-12-24 00:00:49,1577145649057,89270147357000,377330,127030,44750,205550
2019-12-24 00:00:51,1577145651057,89270149454000,377840,125390,44820,207630
2019-12-24 00:00:53,1577145653057,89270151599000,388180,126300,44640,217240
2019-12-24 00:00:55,1577145655057,89270153709000,377500,127090,44630,205780
2019-12-24 00:00:57,1577145657057,89270155809000,377720,127630,44840,205250
2019-12-24 00:00:59,1577145659057,89270157904000,377030,126890,44850,205290
2019-12-24 00:01:01,1577145661057,89270160027000,385820,126810,44800,214210
2019-12-24 00:01:03,1577145663057,89270162237000,399740,128200,44810,226730
2019-12-24 00:01:05,1577145665057,89270164441000,395840,126580,44730,224530
2019-12-24 00:01:07,1577145667057,89270166653000,400220,126780,44890,228550
2019-12-24 00:01:09,1577145669056,89270168888000,400860,126680,44590,229590
2019-12-24 00:01:11,1577145671056,89270171095000,396700,127050,44520,225130
2019-12-24 00:01:13,1577145673056,89270173300000,397540,127180,44720,225640
2019-12-24 00:01:15,1577145675056,89270175513000,398190,127690,45050,225450
2019-12-24 00:01:17,1577145677056,89270177724000,398120,128700,44840,224580
