household
date,timestamp,energy,power,power1,power2,power3
2019-12-24 00:00:00,1577145600639,190299474581000,369900,28540,43250,298110
2019-12-24 00:00:02,1577145602638,190299476634000,369650,27950,43340,298360
2019-12-24 00:00:04,1577145604638,190299478691000,370160,28430,43720,298010
2019-12-24 00:00:06,1577145606638,190299480745000,369730,28270,43550,297910
2019-12-24 00:00:08,1577145608638,190299482801000,370010,28170,43890,297950
2019-12-24 00:00:10,1577145610638,190299484854000,369620,27990,43430,298200
2019-12-24 00:00:12,1577145612638,190299486907000,369450,27820,43340,298290
2019-12-24 00:00:14,1577145614638,190299488961000,369950,28270,43690,297990
2019-12-24 00:00:16,1577145616638,190299491015000,369460,28210,43240,298010
2019-12-24 00:00:18,1577145618637,190299493068000,369650,27850,43330,298470
2019-12-24 00:00:20,1577145620637,190299495123000,369990,28240,43420,298330
2019-12-24 00:00:22,1577145622637,190299497202000,377080,35440,43390,298250
2019-12-24 00:00:24,1577145624637,190299499456000,417060,74720,43770,298570
2019-12-24 00:00:26,1577145626637,190299501832000,427780,85940,43430,298410
2019-12-24 00:00:28,1577145628637,190299504209000,428180,86010,43540,298630
2019-12-24 00:00:30,1577145630637,190299506589000,428280,86370,43350,298560
2019-12-24 00:00:32,1577145632637,190299508903000,408530,66850,43210,298470
2019-12-24 00:00:34,1577145634637,190299511006000,371970,29690,43690,298590
2019-12-24 00:00:36,1577145636636,190299513062000,370150,27860,43390,298900
2019-12-24 00:00:38,1577145638636,190299515118000,370250,28240,43470,298540
2019-12-24 00:00:40,1577145640636,190299517179000,370980,28470,43510,299000
2019-12-24 00:00:42,1577145642636,190299519237000,370320,27910,43220,299190
2019-12-24 00:00:44,1577145644636,190299521297000,371050,28310,43820,298920
2019-12-24 00:00:46,1577145646636,190299523359000,371120,28510,43520,299090
2019-12-24 00:00:48,1577145648636,190299525421000,371100,28200,43910,298990
2019-12-24 00:00:50,1577145650636,190299527479000,370180,27930,43420,298830
2019-12-24 00:00:52,1577145652635,190299529534000,370050,27670,43300,299080
2019-12-24 00:00:54,1577145654635,190299531592000,370350,27860,43480,299010
2019-12-24 00:00:56,1577145656635,190299533658000,373160,30780,43490,298890
2019-12-24 00:00:58,1577145658635,190299535858000,407200,64140,43750,299310
2019-12-24 00:01:00,1577145660635,190299538227000,428540,85680,43750,299110
2019-12-24 00:01:02,1577145662635,190299540609000,428870,86260,43190,299420
2019-12-24 00:01:04,1577145664635,190299542995000,429520,86620,43600,299300
2019-12-24 00:01:06,1577145666635,190299545352000,419890,77200,43350,299340
2019-12-24 00:01:08,1577145668634,190299547507000,377940,34730,43550,299660
2019-12-24 00:01:10,1577145670634,190299549572000,371710,28330,43800,299580
2019-12-24 00:01:12,1577145672634,190299551633000,370710,27910,43440,299360
2019-12-24 00:01:14,1577145674634,190299553693000,370860,27670,43820,299370
2019-12-24 00:01:16,1577145676634,190299555755000,371160,27970,43590,299600
2019-12-24 00:01:18,1577145678634,190299557815000,370740,27980,43470,299290
2019-12-24 00:01:20,1577145680634,190299559878000,371590,28590,43610,299390
2019-12-24 00:01:22,1577145682634,190299561939000,370800,27850,43180,299770
2019-12-24 00:01:24,1577145684633,190299564000000,371010,27910,43620,299480
2019-12-24 00:01:26,1577145686633,190299566060000,370660,27810,43430,299420
2019-12-24 00:01:28,1577145688633,190299568120000,371060,28130,43750,299180
2019-12-24 00:01:30,1577145690633,190299570190000,373040,30510,43750,298780
2019-12-24 00:01:32,1577145692633,190299572317000,389760,53370,42500,293890
2019-12-24 00:01:34,1577145694633,190299574624000,420040,84180,42990,292870
2019-12-24 00:01:36,1577145696633,190299576957000,419830,84340,42880,292610
2019-12-24 00:01:38,1577145698633,190299579292000,420530,84760,42800,292970
2019-12-24 00:01:40,1577145700633,190299581623000,418770,83050,42870,292850
2019-12-24 00:01:42,1577145702632,190299583802000,379680,44220,42610,292850
2019-12-24 00:01:44,1577145704632,190299585827000,363750,27900,42940,292910
2019-12-24 00:01:46,1577145706632,190299587847000,363330,27750,42720,292860
2019-12-24 00:01:48,1577145708632,190299589867000,364130,28490,42680,292960
2019-12-24 00:01:50,1577145710632,190299591939000,376820,40740,42970,293110
2019-12-24 00:01:52,1577145712632,190299594065000,383440,47920,42560,292960
2019-12-24 00:01:54,1577145714632,190299596172000,376190,40170,43050,292970
2019-12-24 00:01:56,1577145716632,190299598206000,364380,28360,43020,293000
2019-12-24 00:01:58,1577145718631,190299600227000,363380,27890,42790,292700
2019-12-24 00:02:00,1577145720631,190299602247000,363820,27700,43160,292960
2019-12-24 00:02:02,1577145722631,190299604268000,363730,27700,42850,293180
2019-12-24 00:02:04,1577145724631,190299606291000,364730,29010,42970,292750
2019-12-24 00:02:06,1577145726631,190299608400000,387880,52060,42920,292900
2019-12-24 00:02:08,1577145728631,190299610691000,417510,82190,42870,292450
2019-12-24 00:02:10,1577145730631,190299613024000,420050,84300,43210,292540
2019-12-24 00:02:12,1577145732631,190299615355000,419360,84010,42850,292500
2019-12-24 00:02:14,1577145734630,190299617684000,419180,84040,42790,292350
2019-12-24 00:02:16,1577145736630,190299619891000,385330,50130,42940,292260
2019-12-24 00:02:18,1577145738630,190299621920000,362990,27910,42700,292380
2019-12-24 00:02:20,1577145740630,190299623936000,363130,27660,42960,292510
2019-12-24 00:02:22,1577145742630,190299625952000,362770,27810,42590,292370
2019-12-24 00:02:24,1577145744630,190299627968000,363010,28260,42700,292050
2019-12-24 00:02:26,1577145746630,190299629984000,362630,27650,43090,291890
2019-12-24 00:02:28,1577145748630,190299631997000,362500,27730,42780,291990
2019-12-24 00:02:30,1577145750630,190299634014000,363110,27740,43100,292270
2019-12-24 00:02:32,1577145752629,190299636032000,363150,28180,42710,292260
2019-12-24 00:02:34,1577145754629,190299638048000,362900,27740,42800,292360
2019-12-24 00:02:36,1577145756629,190299640132000,387020,28450,42860,315710
2019-12-24 00:02:38,1577145758629,190299643713000,731020,28590,42710,659720
2019-12-24 00:02:40,1577145760629,190299647240000,550180,39690,43350,467140
2019-12-24 00:02:42,1577145762629,190299649803000,439370,79200,42710,317460
2019-12-24 00:02:44,1577145764629,190299652135000,419700,84700,42670,292330
2019-12-24 00:02:46,1577145766629,190299654465000,419400,84240,42990,292170
2019-12-24 00:02:48,1577145768628,190299656793000,418840,84100,42730,292010
2019-12-24 00:02:50,1577145770628,190299659052000,398670,63540,43050,292080
2019-12-24 00:02:52,1577145772628,190299661111000,364590,29440,42590,292560
2019-12-24 00:02:54,1577145774628,190299663125000,362490,27620,42690,292180
2019-12-24 00:02:56,1577145776628,190299665142000,363090,27860,43060,292170
2019-12-24 00:02:58,1577145778628,190299667159000,363310,28130,42800,292380
2019-12-24 00:03:00,1577145780628,190299669178000,363380,28160,43060,292160
2019-12-24 00:03:02,1577145782628,190299671196000,362980,27820,42790,292370
2019-12-24 00:03:04,1577145784628,190299673215000,363750,28310,42820,292620
2019-12-24 00:03:06,1577145786627,190299675234000,363170,28020,43010,292140
2019-12-24 00:03:08,1577145788627,190299677250000,362910,27800,42660,292450
2019-12-24 00:03:10,1577145790627,190299679267000,363100,27950,42780,292370
2019-12-24 00:03:12,1577145792627,190299681286000,363350,28350,42780,292220
2019-12-24 00:03:14,1577145794627,190299683315000,367210,32200,42830,292180
2019-12-24 00:03:16,1577145796627,190299685506000,405590,70400,43030,292160
2019-12-24 00:03:18,1577145798627,190299687830000,419150,84310,42580,292260
2019-12-24 00:03:20,1577145800627,190299690159000,419370,84350,42740,292280
2019-12-24 00:03:22,1577145802626,190299692491000,419650,84670,42910,292070
2019-12-24 00:03:24,1577145804626,190299694801000,412500,77330,43000,292170
2019-12-24 00:03:26,1577145806626,190299696920000,370650,35000,43170,292480
2019-12-24 00:03:28,1577145808626,190299698935000,362620,27790,42510,292320
2019-12-24 00:03:30,1577145810626,190299700952000,363210,28390,42750,292070
2019-12-24 00:03:32,1577145812626,190299702971000,363440,28310,42800,292330
2019-12-24 00:03:34,1577145814626,190299704987000,362610,27710,42690,292210
2019-12-24 00:03:36,1577145816626,190299707002000,362930,27910,43000,292020
2019-12-24 00:03:38,1577145818625,190299709021000,363300,28610,42490,292200
2019-12-24 00:03:40,1577145820625,190299711037000,363030,28120,42740,292170
2019-12-24 00:03:42,1577145822625,190299713054000,362830,27680,42810,292340
2019-12-24 00:03:44,1577145824625,190299715068000,362610,27760,42560,292290
2019-12-24 00:03:46,1577145826625,190299717087000,363680,28280,43150,292250
2019-12-24 00:03:48,1577145828625,190299719105000,363120,28080,42750,292290
2019-12-24 00:03:50,1577145830625,190299721202000,386670,51420,42740,292510
2019-12-24 00:03:52,1577145832625,190299723506000,419530,84540,42780,292210
