household
date,timestamp,energy,power,power1,power2,power3
2019-12-24 00:00:00,1577145600095,119637062214000,132670,57150,12970,62550
2019-12-24 00:00:02,1577145602095,119637062947000,131690,56110,13000,62580
2019-12-24 00:00:04,1577145604095,119637063671000,129930,54460,12960,62510
2019-12-24 00:00:06,1577145606095,119637064392000,130060,54680,13020,62360
2019-12-24 00:00:08,1577145608095,119637065121000,131400,56120,12960,62320
2019-12-24 00:00:10,1577145610095,119637065856000,132610,57320,12840,62450
2019-12-24 00:00:12,1577145612094,119637066592000,132090,56600,12910,62580
2019-12-24 00:00:14,1577145614094,119637067304000,126850,51210,13000,62640
2019-12-24 00:00:16,1577145616094,119637067997000,124210,48870,12880,62460
2019-12-24 00:00:18,1577145618094,119637068691000,125510,50120,13050,62340
2019-12-24 00:00:20,1577145620094,119637069394000,126740,51450,12930,62360
2019-12-24 00:00:22,1577145622094,119637070093000,125380,49870,13020,62490
2019-12-24 00:00:24,1577145624094,119637070789000,125420,49900,13030,62490
2019-12-24 00:00:26,1577145626094,119637071495000,127570,51690,13040,62840
2019-12-24 00:00:28,1577145628093,119637072194000,124950,49600,12820,62530
2019-12-24 00:00:30,1577145630093,119637072889000,125760,49940,12970,62850
2019-12-24 00:00:32,1577145632093,119637073599000,128040,51590,13000,63450
2019-12-24 00:00:34,1577145634093,119637074306000,126930,50300,13010,63620
2019-12-24 00:00:36,1577145636093,119637075007000,126330,49610,13020,63700
2019-12-24 00:00:38,1577145638093,119637075716000,128160,51430,12990,63740
2019-12-24 00:00:40,1577145640093,119637076427000,127390,50840,12980,63570
2019-12-24 00:00:42,1577145642093,119637077126000,125750,49160,12890,63700
2019-12-24 00:00:44,1577145644093,119637077830000,126940,51030,12810,63100
2019-12-24 00:00:46,1577145646092,119637078543000,128700,52550,13140,63010
2019-12-24 00:00:48,1577145648092,119637079254000,127750,51960,13050,62740
2019-12-24 00:00:50,1577145650092,119637079959000,126460,50820,13020,62620
2019-12-24 00:00:52,1577145652092,119637080656000,125230,49410,13030,62790
2019-12-24 00:00:54,1577145654092,119637081351000,125280,49440,13090,62750
2019-12-24 00:00:56,1577145656092,119637082056000,127450,51630,13130,62690
2019-12-24 00:00:58,1577145658092,119637082765000,127480,51740,13030,62710
2019-12-24 00:01:00,1577145660092,119637083476000,128110,52230,13110,62770
2019-12-24 00:01:02,1577145662091,119637084180000,126410,50320,13130,62960
2019-12-24 00:01:04,1577145664091,119637084880000,125500,49280,13240,62980
2019-12-24 00:01:06,1577145666091,119637085575000,125430,49760,12910,62760
2019-12-24 00:01:08,1577145668091,119637086281000,127430,51490,13080,62860
2019-12-24 00:01:10,1577145670091,119637086983000,125710,49870,13180,62660
2019-12-24 00:01:12,1577145672091,119637087678000,125400,49830,13050,62520
2019-12-24 00:01:14,1577145674091,119637088383000,127260,51440,13040,62780
2019-12-24 00:01:16,1577145676091,119637089084000,125580,49770,13090,62720
2019-12-24 00:01:18,1577145678091,119637089778000,125170,49490,13090,62590
2019-12-24 00:01:20,1577145680091,119637090482000,127110,51290,13020,62800
