household
date,timestamp,energy,power,power1,power2,power3
2019-12-24 00:00:00,1577145600287,47043118706000,151720,96090,3020,52610
2019-12-24 00:00:02,1577145602287,47043119543000,150060,95290,2980,51790
2019-12-24 00:00:04,1577145604287,47043120378000,150730,95570,2970,52190
2019-12-24 00:00:06,1577145606287,47043121218000,151150,95820,3070,52260
2019-12-24 00:00:08,1577145608287,47043122052000,150010,95870,3040,51100
2019-12-24 00:00:10,1577145610287,47043122890000,150940,95770,3070,52100
2019-12-24 00:00:12,1577145612287,47043123726000,150350,95890,2980,51480
2019-12-24 00:00:14,1577145614287,47043124562000,150550,96200,2860,51490
2019-12-24 00:00:16,1577145616287,47043125403000,151570,96180,3090,52300
2019-12-24 00:00:18,1577145618286,47043126239000,150150,96200,2970,50980
2019-12-24 00:00:20,1577145620286,47043127075000,150650,95870,2900,51880
2019-12-24 00:00:22,1577145622286,47043127916000,151600,96000,3110,52490
2019-12-24 00:00:24,1577145624286,47043128757000,151280,96200,3020,52060
2019-12-24 00:00:26,1577145626286,47043129597000,151270,95720,3170,52380
2019-12-24 00:00:28,1577145628286,47043130436000,150760,95630,3110,52020
2019-12-24 00:00:30,1577145630286,47043131270000,150320,95300,3140,51880
2019-12-24 00:00:32,1577145632286,47043132109000,150650,95200,3040,52410
2019-12-24 00:00:34,1577145634286,47043132941000,149830,95520,2940,51370
2019-12-24 00:00:36,1577145636285,47043133777000,150670,95550,3090,52030
2019-12-24 00:00:38,1577145638285,47043134615000,150860,95570,2970,52320
2019-12-24 00:00:40,1577145640285,47043135447000,149370,95390,3030,50950
2019-12-24 00:00:42,1577145642285,47043136282000,150770,95570,3000,52200
2019-12-24 00:00:44,1577145644285,47043137119000,150450,95760,2970,51720
2019-12-24 00:00:46,1577145646285,47043137956000,150890,95760,3090,52040
2019-12-24 00:00:48,1577145648285,47043138796000,151030,96010,2890,52130
2019-12-24 00:00:50,1577145650285,47043139631000,150180,95830,2980,51370
2019-12-24 00:00:52,1577145652285,47043140469000,151120,95940,3090,52090
2019-12-24 00:00:54,1577145654284,47043141309000,151010,96010,2980,52020
2019-12-24 00:00:56,1577145656284,47043142143000,150040,96140,3070,50830
2019-12-24 00:00:58,1577145658284,47043142983000,151630,95970,3010,52650
2019-12-24 00:01:00,1577145660284,47043143819000,149880,95770,2960,51150
2019-12-24 00:01:02,1577145662284,47043144650000,149700,95100,3140,51460
2019-12-24 00:01:04,1577145664284,47043145485000,150310,95280,2940,52090
2019-12-24 00:01:06,1577145666284,47043146319000,150020,95360,3030,51630
2019-12-24 00:01:08,1577145668284,47043147160000,152240,96910,2960,52370
2019-12-24 00:01:10,1577145670284,47043148015000,154000,98510,3070,52420
2019-12-24 00:01:12,1577145672283,47043148858000,151100,96550,3130,51420
2019-12-24 00:01:14,1577145674283,47043149699000,151470,96080,2970,52420
2019-12-24 00:01:16,1577145676283,47043150537000,150460,96170,3090,51200
2019-12-24 00:01:18,1577145678283,47043151370000,150010,95850,2960,51200
2019-12-24 00:01:20,1577145680283,47043152207000,150930,95570,3010,52350
2019-12-24 00:01:22,1577145682283,47043153042000,149810,95920,2970,50920
2019-12-24 00:01:24,1577145684283,47043153877000,150670,95790,2960,51920
2019-12-24 00:01:26,1577145686283,47043154713000,150360,95690,3010,51660
2019-12-24 00:01:28,1577145688283,47043155546000,149930,95470,2980,51480
2019-12-24 00:01:30,1577145690282,47043156380000,150040,95200,2810,52030
2019-12-24 00:01:32,1577145692282,47043157212000,149600,95330,3090,51180
2019-12-24 00:01:34,1577145694282,47043158043000,150030,95340,3140,51550
2019-12-24 00:01:36,1577145696282,47043158881000,150610,95590,2980,52040
2019-12-24 00:01:38,1577145698282,47043159711000,149100,95460,3040,50600
2019-12-24 00:01:40,1577145700282,47043160543000,150250,95580,2860,51810
2019-12-24 00:01:42,1577145702282,47043161382000,151140,96390,3010,51740
2019-12-24 00:01:44,1577145704282,47043162218000,150290,96380,3050,50860
2019-12-24 00:01:46,1577145706282,47043163059000,151560,96240,3110,52210
2019-12-24 00:01:48,1577145708281,47043163896000,150310,96370,3030,50910
2019-12-24 00:01:50,1577145710281,47043164733000,151120,96560,2860,51700
2019-12-24 00:01:52,1577145712281,47043165574000,151180,96400,2960,51820
2019-12-24 00:01:54,1577145714281,47043166413000,151060,96750,3040,51270
2019-12-24 00:01:56,1577145716281,47043167254000,151420,96460,2960,52000
2019-12-24 00:01:58,1577145718281,47043168093000,150790,96580,2900,51310
2019-12-24 00:02:00,1577145720281,47043168926000,149880,96270,3010,50600
2019-12-24 00:02:02,1577145722281,47043169763000,150860,95600,3010,52250
2019-12-24 00:02:04,1577145724281,47043170599000,150220,95620,3040,51560
2019-12-24 00:02:06,1577145726280,47043171432000,150240,95970,3130,51140
2019-12-24 00:02:08,1577145728280,47043172270000,150690,96240,3080,51370
2019-12-24 00:02:10,1577145730280,47043173106000,150650,96450,3050,51150
2019-12-24 00:02:12,1577145732280,47043173945000,150990,96220,3120,51650
2019-12-24 00:02:14,1577145734280,47043174783000,150670,96140,3060,51470
2019-12-24 00:02:16,1577145736280,47043175618000,150440,96270,3020,51150
2019-12-24 00:02:18,1577145738280,47043176459000,151470,96370,2850,52250
2019-12-24 00:02:20,1577145740280,47043177294000,149890,96130,3100,50660
2019-12-24 00:02:22,1577145742280,47043178126000,149970,95790,3010,51170
2019-12-24 00:02:24,1577145744279,47043178965000,151150,96240,3000,51910
2019-12-24 00:02:26,1577145746279,47043179800000,149980,96200,2870,50910
2019-12-24 00:02:28,1577145748279,47043180638000,151380,96350,3020,52010
2019-12-24 00:02:30,1577145750279,47043181478000,150890,96190,3140,51560
2019-12-24 00:02:32,1577145752279,47043182314000,150560,95960,3220,51380
2019-12-24 00:02:34,1577145754279,47043183161000,154180,99540,2990,51650
2019-12-24 00:02:36,1577145756279,47043184189000,196780,142990,2930,50860
2019-12-24 00:02:38,1577145758279,47043185232000,180070,126040,2950,51080
2019-12-24 00:02:40,1577145760279,47043186206000,176470,121770,3010,51690
2019-12-24 00:02:42,1577145762278,47043187207000,180490,127240,2970,50280
2019-12-24 00:02:44,1577145764278,47043188213000,181490,126790,2960,51740
2019-12-24 00:02:46,1577145766278,47043189221000,181350,126860,3070,51420
2019-12-24 00:02:48,1577145768278,47043190226000,181000,126650,3020,51330
2019-12-24 00:02:50,1577145770278,47043191236000,181770,126720,3120,51930
2019-12-24 00:02:52,1577145772278,47043192241000,180620,126620,3030,50970
2019-12-24 00:02:54,1577145774278,47043193247000,181460,126800,3210,51450
2019-12-24 00:02:56,1577145776278,47043194255000,181160,126800,3010,51350
2019-12-24 00:02:58,1577145778278,47043195258000,180550,126930,2960,50660
2019-12-24 00:03:00,1577145780277,47043196265000,181340,126650,3030,51660
2019-12-24 00:03:02,1577145782277,47043197266000,179460,124930,3120,51410
2019-12-24 00:03:04,1577145784277,47043198173000,156110,101740,3160,51210
2019-12-24 00:03:06,1577145786277,47043199005000,149870,95000,2980,51890
2019-12-24 00:03:08,1577145788277,47043199833000,148560,95050,2910,50600
2019-12-24 00:03:10,1577145790277,47043200662000,149660,95060,3200,51400
2019-12-24 00:03:12,1577145792277,47043201493000,149380,94890,3150,51340
2019-12-24 00:03:14,1577145794277,47043202323000,149520,95230,3040,51250
2019-12-24 00:03:16,1577145796277,47043203158000,150520,95490,3170,51860
2019-12-24 00:03:18,1577145798276,47043203991000,149640,95480,3100,51060
2019-12-24 00:03:20,1577145800276,47043204822000,149880,95470,3150,51260
2019-12-24 00:03:22,1577145802276,47043205658000,150490,95310,3020,52160
2019-12-24 00:03:24,1577145804276,47043206487000,148670,95390,2920,50360
2019-12-24 00:03:26,1577145806276,47043207318000,150270,96060,2970,51240
2019-12-24 00:03:28,1577145808276,47043208154000,150250,96010,2970,51270
2019-12-24 00:03:30,1577145810276,47043208984000,149280,95480,2990,50810
2019-12-24 00:03:32,1577145812276,47043209819000,150600,95700,3190,51710
2019-12-24 00:03:34,1577145814276,47043210652000,149460,95600,3020,50840
2019-12-24 00:03:36,1577145816276,47043211484000,150210,95910,3140,51160
2019-12-24 00:03:38,1577145818275,47043212323000,151080,96500,3040,51540
2019-12-24 00:03:40,1577145820275,47043213158000,150050,96260,3030,50760
2019-12-24 00:03:42,1577145822275,47043213994000,150770,96290,3050,51430
2019-12-24 00:03:44,1577145824275,47043214834000,151150,96260,3070,51820
2019-12-24 00:03:46,1577145826275,47043215668000,149760,96110,3110,50540
2019-12-24 00:03:48,1577145828275,47043216505000,151100,96440,3010,51650
2019-12-24 00:03:50,1577145830275,47043217341000,150210,96260,3020,50930
2019-12-24 00:03:52,1577145832275,47043218179000,151230,96300,3130,51800
2019-12-24 00:03:54,1577145834274,47043219019000,150940,96170,3100,51670
2019-12-24 00:03:56,1577145836274,47043219852000,149650,95750,3080,50820
2019-12-24 00:03:58,1577145838274,47043220686000,150340,95700,3100,51540
2019-12-24 00:04:00,1577145840274,47043221520000,149890,95530,2940,51420
2019-12-24 00:04:02,1577145842274,47043222348000,148870,95050,3030,50790
2019-12-24 00:04:04,1577145844274,47043223180000,149980,95070,3000,51910
2019-12-24 00:04:06,1577145846274,47043224010000,149130,95090,3090,50950
2019-12-24 00:04:08,1577145848274,47043224836000,148720,94820,3060,50840
2019-12-24 00:04:10,1577145850274,47043225667000,149860,95010,3040,51810
2019-12-24 00:04:12,1577145852273,47043226495000,148790,94970,3090,50730
2019-12-24 00:04:14,1577145854273,47043227327000,150170,95220,3130,51820
2019-12-24 00:04:16,1577145856273,47043228161000,149700,95280,3100,51320
2019-12-24 00:04:18,1577145858273,47043228991000,149630,95260,2970,51400
2019-12-24 00:04:20,1577145860273,47043229825000,150250,95280,3150,51820
2019-12-24 00:04:22,1577145862273,47043230656000,149280,95100,3170,51010
2019-12-24 00:04:24,1577145864273,47043231486000,149760,95020,3030,51710
2019-12-24 00:04:26,1577145866273,47043232322000,150320,94940,3020,52360
2019-12-24 00:04:28,1577145868273,47043233154000,149690,95290,3080,51320
2019-12-24 00:04:30,1577145870272,47043233985000,149620,95180,2960,51480
2019-12-24 00:04:32,1577145872272,47043234818000,149820,95370,3040,51410
2019-12-24 00:04:34,1577145874272,47043235648000,149660,95420,3170,51070
2019-12-24 00:04:36,1577145876272,47043236484000,150520,95430,3100,51990
2019-12-24 00:04:38,1577145878272,47043237315000,149100,95170,3040,50890
2019-12-24 00:04:40,1577145880272,47043238143000,149320,95060,3080,51180
2019-12-24 00:04:42,1577145882272,47043238977000,150110,95450,3070,51590
2019-12-24 00:04:44,1577145884272,47043239805000,148930,95390,3020,50520
2019-12-24 00:04:46,1577145886272,47043240637000,150170,95420,3130,51620
2019-12-24 00:04:48,1577145888271,47043241473000,150130,95660,2960,51510
2019-12-24 00:04:50,1577145890271,47043242303000,149400,95750,3000,50650
2019-12-24 00:04:52,1577145892271,47043243138000,150640,95560,3250,51830
2019-12-24 00:04:54,1577145894271,47043243970000,149390,95480,3180,50730
2019-12-24 00:04:56,1577145896271,47043244802000,150050,95610,3060,51380
2019-12-24 00:04:58,1577145898271,47043245639000,150630,95540,3130,51960
2019-12-24 00:05:00,1577145900271,47043246470000,149440,95720,3090,50630
2019-12-24 00:05:02,1577145902271,47043247301000,149580,95130,3110,51340
2019-12-24 00:05:04,1577145904271,47043248133000,149880,95540,3080,51260
2019-12-24 00:05:06,1577145906270,47043248966000,149880,95790,3050,51040
2019-12-24 00:05:08,1577145908270,47043249800000,150030,95400,3020,51610
2019-12-24 00:05:10,1577145910270,47043250630000,149320,95450,2990,50880
2019-12-24 00:05:12,1577145912270,47043251460000,149490,95430,3100,50960
2019-12-24 00:05:14,1577145914270,47043252293000,150030,95600,3160,51270
2019-12-24 00:05:16,1577145916270,47043253124000,149370,95650,2940,50780
2019-12-24 00:05:18,1577145918270,47043253959000,150920,95560,3190,52170
2019-12-24 00:05:20,1577145920270,47043254794000,149720,95590,3090,51040
2019-12-24 00:05:22,1577145922270,47043255625000,149620,95600,3020,51000
2019-12-24 00:05:24,1577145924269,47043256457000,149850,95580,2960,51310
2019-12-24 00:05:26,1577145926269,47043257287000,149170,95590,3060,50520
2019-12-24 00:05:28,1577145928269,47043258117000,149600,95570,3020,51010
2019-12-24 00:05:30,1577145930269,47043258951000,150110,95190,3120,51800
2019-12-24 00:05:32,1577145932269,47043259781000,149240,95710,3160,50370
2019-12-24 00:05:34,1577145934269,47043260614000,150310,95670,3120,51520
2019-12-24 00:05:36,1577145936269,47043261448000,149930,95810,3140,50980
2019-12-24 00:05:38,1577145938269,47043262279000,149480,95760,3010,50710
2019-12-24 00:05:40,1577145940269,47043263114000,150490,95900,3040,51550
2019-12-24 00:05:42,1577145942268,47043263946000,149510,96150,3090,50270
2019-12-24 00:05:44,1577145944268,47043264779000,150360,96290,2990,51080
2019-12-24 00:05:46,1577145946268,47043265616000,150350,96140,3130,51080
2019-12-24 00:05:48,1577145948268,47043266445000,149010,95600,3050,50360
2019-12-24 00:05:50,1577145950268,47043267277000,150140,95770,3010,51360
2019-12-24 00:05:52,1577145952268,47043268109000,149450,95560,3010,50880
2019-12-24 00:05:54,1577145954268,47043268939000,149570,95750,2920,50900
2019-12-24 00:05:56,1577145956268,47043269774000,150440,95840,2940,51660
2019-12-24 00:05:58,1577145958268,47043270605000,149060,95750,2950,50360
2019-12-24 00:06:00,1577145960267,47043271434000,149630,95370,3110,51150
2019-12-24 00:06:02,1577145962267,47043272267000,149850,95000,3120,51730
2019-12-24 00:06:04,1577145964267,47043273096000,149110,94950,3000,51160
2019-12-24 00:06:06,1577145966267,47043273926000,149360,94770,3080,51510
2019-12-24 00:06:08,1577145968267,47043274753000,148610,94800,3080,50730
2019-12-24 00:06:10,1577145970267,47043275579000,149060,95240,2940,50880
2019-12-24 00:06:12,1577145972267,47043276410000,149570,95040,2790,51740
2019-12-24 00:06:14,1577145974267,47043277237000,148560,95340,3000,50220
2019-12-24 00:06:16,1577145976267,47043278066000,149550,95390,2910,51250
2019-12-24 00:06:18,1577145978266,47043278897000,149580,95310,3040,51230
2019-12-24 00:06:20,1577145980266,47043279724000,148590,95250,2930,50410
2019-12-24 00:06:22,1577145982266,47043280553000,149660,95250,2890,51520
2019-12-24 00:06:24,1577145984266,47043281384000,149290,95360,2970,50960
2019-12-24 00:06:26,1577145986266,47043282212000,148960,94910,3080,50970
2019-12-24 00:06:28,1577145988266,47043283040000,148960,94730,2990,51240
2019-12-24 00:06:30,1577145990266,47043283865000,148580,94690,3110,50780
2019-12-24 00:06:32,1577145992266,47043284695000,149640,94940,3030,51670
2019-12-24 00:06:34,1577145994266,47043285526000,149450,95030,3020,51400
2019-12-24 00:06:36,1577145996265,47043286352000,148610,95040,3120,50450
2019-12-24 00:06:38,1577145998265,47043287184000,150070,94950,3090,52030
2019-12-24 00:06:40,1577146000265,47043288015000,149220,95120,3080,51020
2019-12-24 00:06:42,1577146002265,47043288842000,148710,95180,3060,50470
2019-12-24 00:06:44,1577146004265,47043289671000,149440,95130,3070,51240
2019-12-24 00:06:46,1577146006265,47043290499000,148770,95230,2920,50620
2019-12-24 00:06:48,1577146008265,47043291325000,148790,95010,3020,50760
2019-12-24 00:06:50,1577146010265,47043292155000,149510,95160,3130,51220
2019-12-24 00:06:52,1577146012265,47043292983000,148980,95410,3170,50400
2019-12-24 00:06:54,1577146014264,47043293813000,149640,95150,3070,51420
2019-12-24 00:06:56,1577146016264,47043294644000,149300,95300,3020,50980
2019-12-24 00:06:58,1577146018264,47043295472000,149050,95350,3130,50570
2019-12-24 00:07:00,1577146020264,47043296305000,150230,95320,3060,51850
2019-12-24 00:07:02,1577146022264,47043297134000,148740,94840,3140,50760
2019-12-24 00:07:04,1577146024264,47043297958000,148530,94680,2910,50940
2019-12-24 00:07:06,1577146026264,47043298930000,188410,133610,3030,51770
2019-12-24 00:07:08,1577146028264,47043299997000,185410,131240,3040,51130
2019-12-24 00:07:10,1577146030264,47043300964000,174110,119450,2940,51720
2019-12-24 00:07:12,1577146032263,47043301962000,180560,126530,3180,50850
2019-12-24 00:07:14,1577146034263,47043302961000,179900,126540,2950,50410
2019-12-24 00:07:16,1577146036263,47043303966000,181120,126420,3060,51640
2019-12-24 00:07:18,1577146038263,47043304966000,179580,126320,2910,50350
2019-12-24 00:07:20,1577146040263,47043305966000,180230,126130,3030,51070
2019-12-24 00:07:22,1577146042263,47043306969000,180400,126020,2980,51400
2019-12-24 00:07:24,1577146044263,47043307968000,179780,126230,3090,50460
2019-12-24 00:07:26,1577146046263,47043308969000,180440,126210,3000,51230
2019-12-24 00:07:28,1577146048263,47043309972000,180300,126200,3080,51020
2019-12-24 00:07:30,1577146050262,47043310972000,180000,125960,2930,51110
2019-12-24 00:07:32,1577146052262,47043311971000,179240,124370,3010,51860
2019-12-24 00:07:34,1577146054262,47043312871000,154730,101200,3110,50420
2019-12-24 00:07:36,1577146056262,47043313699000,149450,94810,2930,51710
