household
date,timestamp,energy,power,power1,power2,power3
2019-12-24 00:00:00,1577145600607,60399246178000,122180,23440,59310,39430
2019-12-24 00:00:02,1577145602607,60399246856000,122090,23420,59260,39410
2019-12-24 00:00:04,1577145604607,60399247535000,122270,23430,59420,39420
2019-12-24 00:00:06,1577145606607,60399248216000,122460,23490,59520,39450
2019-12-24 00:00:08,1577145608607,60399248895000,122380,23480,59440,39460
2019-12-24 00:00:10,1577145610607,60399249576000,122640,23650,59510,39480
2019-12-24 00:00:12,1577145612607,60399250259000,122860,23820,59440,39600
2019-12-24 00:00:14,1577145614607,60399250941000,122680,23740,59460,39480
2019-12-24 00:00:16,1577145616607,60399251622000,122710,23720,59500,39490
2019-12-24 00:00:18,1577145618607,60399252304000,122640,23520,59720,39400
2019-12-24 00:00:20,1577145620607,60399252986000,122890,23460,60140,39290
2019-12-24 00:00:22,1577145622607,60399253669000,122900,23360,60070,39470
2019-12-24 00:00:24,1577145624607,60399254351000,122760,23250,60000,39510
2019-12-24 00:00:26,1577145626607,60399255032000,122650,23400,59800,39450
2019-12-24 00:00:28,1577145628607,60399255716000,123070,23360,60080,39630
2019-12-24 00:00:30,1577145630607,60399256400000,123290,23710,60120,39460
2019-12-24 00:00:32,1577145632606,60399257085000,123330,23830,60130,39370
2019-12-24 00:00:34,1577145634606,60399257771000,123550,23800,60270,39480
2019-12-24 00:00:36,1577145636606,60399258457000,123330,23770,60140,39420
2019-12-24 00:00:38,1577145638606,60399259141000,123090,23670,59990,39430
2019-12-24 00:00:40,1577145640606,60399259823000,122740,23550,59840,39350
2019-12-24 00:00:42,1577145642606,60399260506000,123030,23470,60000,39560
2019-12-24 00:00:44,1577145644606,60399261189000,122900,23300,60070,39530
2019-12-24 00:00:46,1577145646606,60399261872000,122760,23320,60030,39410
2019-12-24 00:00:48,1577145648606,60399262554000,122920,23550,59920,39450
2019-12-24 00:00:50,1577145650606,60399263237000,122810,23510,59930,39370
2019-12-24 00:00:52,1577145652606,60399263920000,123090,23560,60040,39490
2019-12-24 00:00:54,1577145654606,60399264606000,123640,23760,60520,39360
2019-12-24 00:00:56,1577145656606,60399265295000,124010,23710,60850,39450
2019-12-24 00:00:58,1577145658606,60399265984000,124040,23750,60830,39460
2019-12-24 00:01:00,1577145660606,60399266672000,123780,23660,60620,39500
2019-12-24 00:01:02,1577145662606,60399267359000,123670,23490,60590,39590
2019-12-24 00:01:04,1577145664606,60399268044000,123270,23290,60330,39650
2019-12-24 00:01:06,1577145666606,60399268729000,123090,23230,60350,39510
2019-12-24 00:01:08,1577145668606,60399269411000,122650,23460,59830,39360
2019-12-24 00:01:10,1577145670606,60399270093000,122820,23670,59590,39560
2019-12-24 00:01:12,1577145672606,60399270775000,122760,23510,59700,39550
2019-12-24 00:01:14,1577145674606,60399271457000,122880,23610,59700,39570
2019-12-24 00:01:16,1577145676606,60399272140000,122790,23620,59730,39440
2019-12-24 00:01:18,1577145678605,60399272822000,122780,23750,59690,39340
2019-12-24 00:01:20,1577145680605,60399273503000,122510,23700,59520,39290
2019-12-24 00:01:22,1577145682605,60399274183000,122350,23530,59370,39450
2019-12-24 00:01:24,1577145684605,60399274862000,122330,23430,59370,39530
2019-12-24 00:01:26,1577145686605,60399275541000,122000,23150,59260,39590
2019-12-24 00:01:28,1577145688605,60399276219000,122150,23330,59210,39610
2019-12-24 00:01:30,1577145690605,60399276899000,122560,23420,59570,39570
2019-12-24 00:01:32,1577145692605,60399277583000,123210,23600,60140,39470
2019-12-24 00:01:34,1577145694605,60399278268000,123310,23820,59900,39590
2019-12-24 00:01:36,1577145696605,60399278952000,123070,23650,59850,39570
2019-12-24 00:01:38,1577145698605,60399279635000,122990,23760,59620,39610
2019-12-24 00:01:40,1577145700605,60399280317000,122630,23710,59350,39570
2019-12-24 00:01:42,1577145702605,60399280998000,122440,23540,59290,39610
2019-12-24 00:01:44,1577145704605,60399281676000,122120,23330,59310,39480
2019-12-24 00:01:46,1577145706605,60399282356000,122400,23450,59460,39490
2019-12-24 00:01:48,1577145708605,60399283037000,122650,23350,59660,39640
2019-12-24 00:01:50,1577145710605,60399283719000,122720,23490,59620,39610
2019-12-24 00:01:52,1577145712605,60399284400000,122700,23510,59550,39640
2019-12-24 00:01:54,1577145714605,60399285081000,122390,23670,59220,39500
2019-12-24 00:01:56,1577145716605,60399285761000,122500,23710,59330,39460
2019-12-24 00:01:58,1577145718605,60399286442000,122660,23710,59360,39590
2019-12-24 00:02:00,1577145720605,60399287124000,122660,23670,59550,39440
2019-12-24 00:02:02,1577145722605,60399287804000,122340,23650,59260,39430
2019-12-24 00:02:04,1577145724605,60399288483000,122110,23360,59250,39500
2019-12-24 00:02:06,1577145726604,60399289160000,121970,23340,59180,39450
2019-12-24 00:02:08,1577145728604,60399289838000,122000,23330,59100,39570
2019-12-24 00:02:10,1577145730604,60399290516000,122080,23500,59000,39580
2019-12-24 00:02:12,1577145732604,60399291195000,122370,23570,59270,39530
2019-12-24 00:02:14,1577145734604,60399291876000,122490,23780,59220,39490
2019-12-24 00:02:16,1577145736604,60399292556000,122360,23850,58950,39560
2019-12-24 00:02:18,1577145738604,60399293235000,122240,23630,59030,39580
2019-12-24 00:02:20,1577145740604,60399293915000,122360,23590,59110,39660
2019-12-24 00:02:22,1577145742604,60399294594000,122280,23560,59010,39710
2019-12-24 00:02:24,1577145744604,60399295274000,122270,23630,58980,39660
2019-12-24 00:02:26,1577145746604,60399295952000,122110,23440,59140,39530
2019-12-24 00:02:28,1577145748604,60399296629000,121780,23320,58990,39470
2019-12-24 00:02:30,1577145750604,60399297306000,121890,23410,59040,39440
2019-12-24 00:02:32,1577145752604,60399297986000,122730,23610,59500,39620
2019-12-24 00:02:34,1577145754604,60399298670000,122970,23600,59760,39610
2019-12-24 00:02:36,1577145756604,60399299352000,122770,23750,59470,39550
2019-12-24 00:02:38,1577145758604,60399300034000,122720,23790,59380,39550
2019-12-24 00:02:40,1577145760604,60399300716000,122850,23890,59410,39550
2019-12-24 00:02:42,1577145762604,60399301397000,122480,23760,59300,39420
2019-12-24 00:02:44,1577145764604,60399302077000,122280,23570,59350,39360
2019-12-24 00:02:46,1577145766604,60399302757000,122510,23550,59400,39560
2019-12-24 00:02:48,1577145768604,60399303438000,122500,23500,59410,39590
2019-12-24 00:02:50,1577145770604,60399304118000,122490,23470,59480,39540
2019-12-24 00:02:52,1577145772603,60399304799000,122470,23410,59470,39590
2019-12-24 00:02:54,1577145774603,60399305479000,122360,23450,59370,39540
2019-12-24 00:02:56,1577145776603,60399306159000,122570,23690,59470,39410
2019-12-24 00:02:58,1577145778603,60399306841000,122870,23780,59580,39510
2019-12-24 00:03:00,1577145780603,60399307523000,122490,23560,59510,39420
2019-12-24 00:03:02,1577145782603,60399308203000,122480,23510,59480,39490
2019-12-24 00:03:04,1577145784603,60399308883000,122460,23570,59460,39430
2019-12-24 00:03:06,1577145786603,60399309564000,122400,23660,59260,39480
2019-12-24 00:03:08,1577145788603,60399310243000,122380,23510,59320,39550
2019-12-24 00:03:10,1577145790603,60399310922000,122010,23420,59060,39530
2019-12-24 00:03:12,1577145792603,60399311599000,122030,23500,59150,39380
2019-12-24 00:03:14,1577145794603,60399312279000,122370,23450,59340,39580
2019-12-24 00:03:16,1577145796603,60399312960000,122590,23670,59280,39640
2019-12-24 00:03:18,1577145798603,60399313640000,122510,23810,59120,39580
2019-12-24 00:03:20,1577145800603,60399314323000,123130,23790,59720,39620
2019-12-24 00:03:22,1577145802603,60399315008000,123180,23640,60050,39490
2019-12-24 00:03:24,1577145804603,60399315692000,123200,23550,60040,39610
2019-12-24 00:03:26,1577145806603,60399316376000,123040,23490,59870,39680
2019-12-24 00:03:28,1577145808603,60399317060000,123290,23600,60020,39670
2019-12-24 00:03:30,1577145810603,60399317743000,122810,23440,59790,39580
2019-12-24 00:03:32,1577145812603,60399318427000,123040,23620,59810,39610
2019-12-24 00:03:34,1577145814603,60399319110000,123000,23430,59920,39650
2019-12-24 00:03:36,1577145816603,60399319793000,122950,23600,59870,39480
2019-12-24 00:03:38,1577145818603,60399320477000,123130,23890,59780,39460
2019-12-24 00:03:40,1577145820602,60399321160000,122920,23750,59690,39480
2019-12-24 00:03:42,1577145822602,60399321844000,123060,23660,59760,39640
2019-12-24 00:03:44,1577145824602,60399322527000,122990,23720,59760,39510
2019-12-24 00:03:46,1577145826602,60399323210000,122850,23430,59740,39680
2019-12-24 00:03:48,1577145828602,60399323891000,122710,23430,59690,39590
2019-12-24 00:03:50,1577145830602,60399324573000,122720,23490,59650,39580
2019-12-24 00:03:52,1577145832602,60399325256000,122880,23670,59670,39540
2019-12-24 00:03:54,1577145834602,60399325938000,122650,23590,59640,39420
2019-12-24 00:03:56,1577145836602,60399326619000,122730,23660,59540,39530
2019-12-24 00:03:58,1577145838602,60399327301000,122660,23640,59510,39510
2019-12-24 00:04:00,1577145840602,60399327982000,122790,23660,59490,39640
2019-12-24 00:04:02,1577145842602,60399328665000,122710,23770,59470,39470
2019-12-24 00:04:04,1577145844602,60399329345000,122460,23490,59370,39600
2019-12-24 00:04:06,1577145846602,60399330025000,122470,23530,59390,39550
2019-12-24 00:04:08,1577145848602,60399330707000,122660,23550,59440,39670
2019-12-24 00:04:10,1577145850602,60399331388000,122560,23500,59400,39660
2019-12-24 00:04:12,1577145852602,60399332069000,122680,23480,59550,39650
2019-12-24 00:04:14,1577145854602,60399332752000,122950,23640,59670,39640
2019-12-24 00:04:16,1577145856602,60399333435000,122910,23790,59460,39660
2019-12-24 00:04:18,1577145858602,60399334117000,122870,23750,59430,39690
2019-12-24 00:04:20,1577145860602,60399334800000,122870,23690,59540,39640
2019-12-24 00:04:22,1577145862602,60399335482000,122730,23640,59510,39580
2019-12-24 00:04:24,1577145864601,60399336164000,122710,23510,59600,39600
2019-12-24 00:04:26,1577145866601,60399336845000,122520,23370,59510,39640
2019-12-24 00:04:28,1577145868601,60399337525000,122520,23450,59410,39660
2019-12-24 00:04:30,1577145870601,60399338206000,122460,23390,59380,39690
2019-12-24 00:04:32,1577145872601,60399338888000,122910,23750,59520,39640
2019-12-24 00:04:34,1577145874601,60399339570000,122680,23620,59460,39600
2019-12-24 00:04:36,1577145876601,60399340252000,122700,23610,59370,39720
2019-12-24 00:04:38,1577145878601,60399340933000,122640,23630,59240,39770
2019-12-24 00:04:40,1577145880601,60399341615000,122660,23660,59290,39710
2019-12-24 00:04:42,1577145882601,60399342295000,122440,23630,59120,39690
2019-12-24 00:04:44,1577145884601,60399342980000,123530,23630,59130,40770
2019-12-24 00:04:46,1577145886601,60399343663000,122610,23500,59400,39710
2019-12-24 00:04:48,1577145888601,60399344344000,122640,23380,59420,39840
2019-12-24 00:04:50,1577145890601,60399345025000,122690,23380,59400,39910
2019-12-24 00:04:52,1577145892601,60399345707000,122740,23480,59460,39800
2019-12-24 00:04:54,1577145894601,60399346390000,123100,23650,59570,39880
2019-12-24 00:04:56,1577145896601,60399347073000,122890,23800,59400,39690
2019-12-24 00:04:58,1577145898601,60399347756000,122930,23800,59440,39690
2019-12-24 00:05:00,1577145900601,60399348438000,122490,23350,59500,39640
2019-12-24 00:05:02,1577145902601,60399349116000,122060,22770,59550,39740
2019-12-24 00:05:04,1577145904601,60399349794000,121970,22780,59480,39710
2019-12-24 00:05:06,1577145906601,60399350472000,122040,22740,59480,39820
2019-12-24 00:05:08,1577145908601,60399351150000,122030,22800,59320,39910
2019-12-24 00:05:10,1577145910600,60399351829000,122300,22950,59430,39920
2019-12-24 00:05:12,1577145912600,60399352507000,122090,22790,59510,39790
2019-12-24 00:05:14,1577145914600,60399353186000,122230,22830,59540,39860
2019-12-24 00:05:16,1577145916600,60399353866000,122470,23010,59620,39840
2019-12-24 00:05:18,1577145918600,60399354545000,121990,22800,59430,39760
2019-12-24 00:05:20,1577145920600,60399355222000,121970,22890,59330,39750
2019-12-24 00:05:22,1577145922600,60399355899000,121890,22700,59340,39850
2019-12-24 00:05:24,1577145924600,60399356578000,122080,22700,59590,39790
