household
date,timestamp,energy,power,power1,power2,power3
2019-12-24 00:00:01,1577145601247,100808293398000,597190,269750,52740,274700
2019-12-24 00:00:03,1577145603247,100808296717000,597700,269740,53360,274600
2019-12-24 00:00:05,1577145605247,100808300040000,598120,270160,53460,274500
2019-12-24 00:00:07,1577145607247,100808303364000,598540,270200,53170,275170
2019-12-24 00:00:09,1577145609247,100808306689000,598200,270000,52830,275370
2019-12-24 00:00:11,1577145611246,100808310010000,597940,269860,53110,274970
2019-12-24 00:00:13,1577145613246,100808313333000,598230,269910,53080,275240
2019-12-24 00:00:15,1577145615246,100808316662000,599490,270140,53740,275610
2019-12-24 00:00:17,1577145617246,100808319990000,598700,270310,53170,275220
2019-12-24 00:00:19,1577145619246,100808323312000,597870,270120,53020,274730
2019-12-24 00:00:21,1577145621246,100808326636000,598400,270020,52910,275470
2019-12-24 00:00:23,1577145623246,100808329957000,597630,270260,52990,274380
2019-12-24 00:00:25,1577145625246,100808333278000,597760,270210,52890,274660
2019-12-24 00:00:27,1577145627246,100808336603000,598920,270260,53990,274670
2019-12-24 00:00:29,1577145629246,100808339927000,597640,270030,53290,274320
2019-12-24 00:00:31,1577145631245,100808343239000,596120,269880,52660,273580
2019-12-24 00:00:33,1577145633245,100808346554000,596630,269860,52520,274250
2019-12-24 00:00:35,1577145635245,100808349874000,598310,270120,52880,275310
2019-12-24 00:00:37,1577145637245,100808353196000,597670,270040,52810,274820
2019-12-24 00:00:39,1577145639245,100808356512000,596450,269980,52600,273870
2019-12-24 00:00:41,1577145641245,100808359825000,596330,270070,52700,273560
2019-12-24 00:00:43,1577145643245,100808363139000,596710,270370,52840,273500
2019-12-24 00:00:45,1577145645245,100808366454000,596730,270490,52960,273280
2019-12-24 00:00:47,1577145647245,100808369772000,597280,270600,52750,273930
2019-12-24 00:00:49,1577145649244,100808373088000,596740,270580,52760,273400
2019-12-24 00:00:51,1577145651244,100808376402000,596520,270620,52690,273210
2019-12-24 00:00:53,1577145653244,100808379667000,581530,255990,52590,272950
2019-12-24 00:00:55,1577145655244,100808382733000,541780,216470,52550,272760
2019-12-24 00:00:57,1577145657244,100808385486000,477810,152080,52730,273000
2019-12-24 00:00:59,1577145659244,100808387979000,444600,119170,52700,272730
2019-12-24 00:01:01,1577145661244,100808390429000,439120,114930,52850,271340
2019-12-24 00:01:03,1577145663244,100808392842000,433570,108570,54230,270770
