household
date,timestamp,energy,power,power1,power2,power3
2019-12-24 00:00:01,1577145601696,91365892334000,181550,165510,8070,7970
2019-12-24 00:00:03,1577145603696,91365893345000,181960,165810,7900,8250
2019-12-24 00:00:05,1577145605696,91365894353000,181420,165370,7860,8190
2019-12-24 00:00:07,1577145607696,91365895363000,182100,165490,7950,8660
2019-12-24 00:00:09,1577145609696,91365896375000,182010,165390,7870,8750
2019-12-24 00:00:11,1577145611695,91365897386000,181990,165430,7950,8610
2019-12-24 00:00:13,1577145613695,91365898394000,181230,165370,7840,8020
2019-12-24 00:00:15,1577145615695,91365899400000,181030,165100,8010,7920
2019-12-24 00:00:17,1577145617695,91365900404000,180630,164810,7950,7870
2019-12-24 00:00:19,1577145619695,91365901408000,180780,164760,8070,7950
2019-12-24 00:00:21,1577145621695,91365902413000,181000,164970,8060,7970
2019-12-24 00:00:23,1577145623695,91365903418000,180950,165150,7880,7920
2019-12-24 00:00:25,1577145625695,91365904426000,181580,165670,7930,7980
2019-12-24 00:00:27,1577145627694,91365905435000,181500,165690,7860,7950
2019-12-24 00:00:29,1577145629694,91365906442000,181260,165440,7780,8040
2019-12-24 00:00:31,1577145631694,91365907448000,181060,165170,7870,8020
2019-12-24 00:00:33,1577145633694,91365908455000,181410,165340,7890,8180
2019-12-24 00:00:35,1577145635694,91365909463000,181380,165300,7950,8130
2019-12-24 00:00:37,1577145637694,91365910470000,181240,165290,7920,8030
2019-12-24 00:00:39,1577145639694,91365911477000,181130,165150,7930,8050
2019-12-24 00:00:41,1577145641693,91365912485000,181610,165030,7880,8700
2019-12-24 00:00:43,1577145643693,91365913492000,181180,164930,7810,8440
2019-12-24 00:00:45,1577145645693,91365914500000,181440,165220,7930,8290
2019-12-24 00:00:47,1577145647693,91365915506000,181020,165190,7880,7950
2019-12-24 00:00:49,1577145649693,91365916510000,180500,164760,7830,7910
2019-12-24 00:00:51,1577145651693,91365917513000,180760,164870,7910,7980
2019-12-24 00:00:53,1577145653693,91365918519000,181040,165180,7890,7970
2019-12-24 00:00:55,1577145655692,91365919526000,181380,165340,7950,8090
2019-12-24 00:00:57,1577145657692,91365920535000,181670,165550,7990,8130
2019-12-24 00:00:59,1577145659692,91365921546000,182220,165420,7740,9060
2019-12-24 00:01:01,1577145661692,91365922558000,182000,165600,7710,8690
2019-12-24 00:01:03,1577145663692,91365923571000,182680,165640,7880,9160
2019-12-24 00:01:05,1577145665692,91365924588000,182780,165450,7990,9340
