household
date,timestamp,energy,power,power1,power2,power3
2019-12-24 00:00:01,1577145601678,81650884286000,168600,10140,97700,60760
2019-12-24 00:00:03,1577145603678,81650885221000,168370,10100,97550,60720
2019-12-24 00:00:05,1577145605678,81650886158000,168530,10240,97390,60900
2019-12-24 00:00:07,1577145607678,81650887092000,168180,10140,97260,60780
2019-12-24 00:00:09,1577145609678,81650888030000,169080,10000,97320,61760
2019-12-24 00:00:11,1577145611677,81650888966000,168240,10040,97320,60880
2019-12-24 00:00:13,1577145613677,81650889899000,167850,10140,97300,60410
2019-12-24 00:00:15,1577145615677,81650890837000,169320,10220,97890,61210
2019-12-24 00:00:17,1577145617677,81650891779000,169550,10150,97840,61560
2019-12-24 00:00:19,1577145619677,81650892720000,169070,10180,97940,60950
2019-12-24 00:00:21,1577145621677,81650893655000,168270,9990,97400,60880
2019-12-24 00:00:23,1577145623677,81650894590000,168330,10130,97440,60760
2019-12-24 00:00:25,1577145625677,81650895527000,168610,10240,97430,60940
2019-12-24 00:00:27,1577145627677,81650896462000,168270,10180,97280,60810
2019-12-24 00:00:29,1577145629676,81650897397000,168370,10010,97530,60830
2019-12-24 00:00:31,1577145631676,81650898334000,168560,10060,97500,61000
2019-12-24 00:00:33,1577145633676,81650899270000,168670,10120,97650,60900
2019-12-24 00:00:35,1577145635676,81650900206000,168250,9950,97260,61040
2019-12-24 00:00:37,1577145637676,81650901143000,169020,10140,97850,61030
2019-12-24 00:00:39,1577145639676,81650902082000,168920,10110,97390,61420
2019-12-24 00:00:41,1577145641675,81650903019000,168460,9950,97290,61220
2019-12-24 00:00:43,1577145643675,81650903957000,169150,10210,97570,61370
2019-12-24 00:00:45,1577145645675,81650904895000,168670,10020,97570,61080
2019-12-24 00:00:47,1577145647675,81650905831000,168460,10100,97350,61010
2019-12-24 00:00:49,1577145649675,81650906769000,168870,10230,97400,61240
2019-12-24 00:00:51,1577145651675,81650907706000,168660,10240,97200,61220
2019-12-24 00:00:53,1577145653675,81650908644000,168790,10100,97510,61180
2019-12-24 00:00:55,1577145655675,81650909581000,168580,9920,97340,61320
2019-12-24 00:00:57,1577145657674,81650910516000,168430,10080,97800,60550
2019-12-24 00:00:59,1577145659674,81650911456000,169410,9990,98930,60490
2019-12-24 00:01:01,1577145661674,81650912393000,168260,10190,97710,60360
2019-12-24 00:01:03,1577145663674,81650913327000,168070,10060,97790,60220
2019-12-24 00:01:05,1577145665674,81650914258000,167520,10020,97150,60350
2019-12-24 00:01:07,1577145667674,81650915190000,167790,10140,97190,60460
2019-12-24 00:01:09,1577145669674,81650916124000,168080,10230,97270,60580
2019-12-24 00:01:11,1577145671673,81650917056000,167710,10090,97280,60340
2019-12-24 00:01:13,1577145673673,81650917990000,168290,10200,97720,60370
2019-12-24 00:01:15,1577145675673,81650918925000,168350,10160,97690,60500
2019-12-24 00:01:17,1577145677673,81650919860000,168340,10220,97340,60780
2019-12-24 00:01:19,1577145679673,81650920793000,167600,10170,96950,60480
2019-12-24 00:01:21,1577145681673,81650921723000,167490,10300,96770,60420
2019-12-24 00:01:23,1577145683673,81650922655000,167760,10160,97150,60450
2019-12-24 00:01:25,1577145685673,81650923589000,168400,10090,97720,60590
2019-12-24 00:01:27,1577145687672,81650924524000,168040,10190,97390,60460
2019-12-24 00:01:29,1577145689672,81650925456000,167980,9930,97550,60500
2019-12-24 00:01:31,1577145691672,81650926391000,168170,10140,97780,60250
2019-12-24 00:01:33,1577145693672,81650927328000,168950,10090,98450,60410
2019-12-24 00:01:35,1577145695672,81650928263000,167980,10070,97480,60430
2019-12-24 00:01:37,1577145697672,81650929196000,167810,10010,97510,60290
2019-12-24 00:01:39,1577145699672,81650930125000,167330,9910,97080,60340
2019-12-24 00:01:41,1577145701671,81650931062000,168900,10140,97580,61180
2019-12-24 00:01:43,1577145703671,81650931998000,168450,9990,97420,61040
2019-12-24 00:01:45,1577145705671,81650932936000,168790,10310,97350,61130
2019-12-24 00:01:47,1577145707671,81650933873000,168510,9970,97310,61230
2019-12-24 00:01:49,1577145709671,81650934803000,167130,9970,96760,60400
2019-12-24 00:01:51,1577145711671,81650935732000,167240,10060,96550,60630
2019-12-24 00:01:53,1577145713671,81650936660000,166920,9920,96240,60760
2019-12-24 00:01:55,1577145715670,81650937586000,166730,10130,96070,60530
2019-12-24 00:01:57,1577145717670,81650938515000,167420,10150,96750,60520
2019-12-24 00:01:59,1577145719670,81650939451000,168940,10170,97560,61210
2019-12-24 00:02:01,1577145721670,81650940392000,169100,10110,97480,61510
2019-12-24 00:02:03,1577145723670,81650941329000,168690,10110,97180,61400
2019-12-24 00:02:05,1577145725670,81650942261000,167400,10230,96650,60520
2019-12-24 00:02:07,1577145727670,81650943193000,167950,9980,96960,61010
2019-12-24 00:02:09,1577145729670,81650944124000,167480,10030,96740,60710
2019-12-24 00:02:11,1577145731669,81650945056000,167760,10060,96770,60930
2019-12-24 00:02:13,1577145733669,81650945989000,168060,10100,97100,60860
2019-12-24 00:02:15,1577145735669,81650946921000,167600,10020,96880,60700
2019-12-24 00:02:17,1577145737669,81650947852000,167740,10140,96930,60670
2019-12-24 00:02:19,1577145739669,81650948782000,167210,10030,96750,60430
2019-12-24 00:02:21,1577145741669,81650949708000,166330,10080,95880,60370
2019-12-24 00:02:23,1577145743669,81650950632000,166430,10230,95830,60370
2019-12-24 00:02:25,1577145745668,81650951558000,166850,10200,95700,60950
2019-12-24 00:02:27,1577145747668,81650952485000,166870,10030,95990,60850
2019-12-24 00:02:29,1577145749668,81650953413000,166920,10230,95990,60700
2019-12-24 00:02:31,1577145751668,81650954339000,166580,10060,95950,60570
2019-12-24 00:02:33,1577145753668,81650955262000,166180,10060,95780,60340
2019-12-24 00:02:35,1577145755668,81650956187000,166460,10320,95870,60270
2019-12-24 00:02:37,1577145757668,81650957112000,166500,10230,95870,60400
2019-12-24 00:02:39,1577145759668,81650958034000,165880,10230,95310,60340
2019-12-24 00:02:41,1577145761667,81650958957000,166340,10250,95620,60470
2019-12-24 00:02:43,1577145763667,81650959880000,165910,10270,95370,60270
2019-12-24 00:02:45,1577145765667,81650960800000,165450,10120,95000,60330
2019-12-24 00:02:47,1577145767667,81650961718000,165280,10050,95060,60170
2019-12-24 00:02:49,1577145769667,81650962638000,165800,10240,95220,60340
2019-12-24 00:02:51,1577145771667,81650963561000,166150,9910,95570,60670
2019-12-24 00:02:53,1577145773667,81650964484000,166240,10060,95170,61010
2019-12-24 00:02:55,1577145775666,81650965407000,166110,10000,95440,60670
2019-12-24 00:02:57,1577145777666,81650966334000,167120,9950,96080,61090
2019-12-24 00:02:59,1577145779666,81650967262000,166790,9970,96070,60750
2019-12-24 00:03:01,1577145781666,81650968186000,166320,9930,95850,60540
2019-12-24 00:03:03,1577145783666,81650969109000,165940,10130,95480,60330
2019-12-24 00:03:05,1577145785666,81650970029000,165620,9950,95410,60260
2019-12-24 00:03:07,1577145787666,81650970954000,166800,10060,96340,60400
2019-12-24 00:03:09,1577145789666,81650971883000,167270,10020,96610,60640
2019-12-24 00:03:11,1577145791665,81650972813000,167560,10090,96570,60900
2019-12-24 00:03:13,1577145793665,81650973743000,167510,10180,96480,60850
2019-12-24 00:03:15,1577145795665,81650974675000,167560,10030,96590,60940
2019-12-24 00:03:17,1577145797665,81650975608000,168110,10250,96950,60910
2019-12-24 00:03:19,1577145799665,81650976538000,167040,10240,96100,60700
2019-12-24 00:03:21,1577145801665,81650977461000,166010,9990,95480,60540
2019-12-24 00:03:23,1577145803665,81650978383000,165990,10170,95200,60620
2019-12-24 00:03:25,1577145805664,81650979310000,167120,10070,96110,60940
2019-12-24 00:03:27,1577145807664,81650980236000,166590,10020,95900,60670
2019-12-24 00:03:29,1577145809664,81650981161000,166470,9940,95950,60580
2019-12-24 00:03:31,1577145811664,81650982087000,166800,9970,96170,60660
2019-12-24 00:03:33,1577145813664,81650983014000,166630,10080,96190,60360
2019-12-24 00:03:35,1577145815664,81650983940000,166770,10010,95690,61070
2019-12-24 00:03:37,1577145817664,81650984864000,166220,10100,95350,60770
2019-12-24 00:03:39,1577145819664,81650985788000,166320,10010,95230,61080
2019-12-24 00:03:41,1577145821663,81650986717000,167540,10240,96140,61160
2019-12-24 00:03:43,1577145823663,81650987644000,166460,10230,95310,60920
2019-12-24 00:03:45,1577145825663,81650988566000,165950,10140,94970,60840
2019-12-24 00:03:47,1577145827663,81650989490000,166510,10210,95240,61060
2019-12-24 00:03:49,1577145829663,81650990412000,165540,9850,94950,60740
2019-12-24 00:03:51,1577145831663,81650991330000,165470,10080,94670,60720
2019-12-24 00:03:53,1577145833663,81650992252000,165930,10050,94850,61030
2019-12-24 00:03:55,1577145835662,81650993175000,166470,10110,95190,61170
2019-12-24 00:03:57,1577145837662,81650994102000,166680,10210,95630,60840
2019-12-24 00:03:59,1577145839662,81650995025000,166240,10060,95440,60740
2019-12-24 00:04:01,1577145841662,81650995950000,166340,10150,95090,61100
2019-12-24 00:04:03,1577145843662,81650996873000,166130,10190,95360,60580
2019-12-24 00:04:05,1577145845662,81650997796000,166020,10010,94970,61040
2019-12-24 00:04:07,1577145847662,81650998719000,166240,10290,95240,60710
2019-12-24 00:04:09,1577145849662,81650999640000,165640,10120,94890,60630
2019-12-24 00:04:11,1577145851661,81651000560000,165680,10040,94810,60830
2019-12-24 00:04:13,1577145853661,81651001482000,166100,9920,95380,60800
2019-12-24 00:04:15,1577145855661,81651002407000,166460,10110,95420,60930
2019-12-24 00:04:17,1577145857661,81651003328000,165470,10130,94910,60430
2019-12-24 00:04:19,1577145859661,81651004244000,164850,10090,94440,60320
2019-12-24 00:04:21,1577145861661,81651005160000,165010,10180,94450,60380
2019-12-24 00:04:23,1577145863661,81651006076000,164490,9860,94270,60360
2019-12-24 00:04:25,1577145865660,81651006989000,164560,10100,94210,60250
2019-12-24 00:04:27,1577145867660,81651007902000,164110,10020,93900,60190
2019-12-24 00:04:29,1577145869660,81651008814000,164170,10100,93940,60130
2019-12-24 00:04:31,1577145871660,81651009727000,164470,10130,93860,60480
2019-12-24 00:04:33,1577145873660,81651010645000,165710,10100,94950,60660
2019-12-24 00:04:35,1577145875660,81651011572000,166810,10110,96040,60660
2019-12-24 00:04:37,1577145877660,81651012491000,165090,10010,94700,60380
2019-12-24 00:04:39,1577145879659,81651013405000,164640,10070,94250,60320
2019-12-24 00:04:41,1577145881659,81651014328000,166400,9980,95580,60840
2019-12-24 00:04:43,1577145883659,81651015255000,167190,10050,96310,60830
2019-12-24 00:04:45,1577145885659,81651016181000,166090,10070,95270,60750
2019-12-24 00:04:47,1577145887659,81651017099000,165100,9940,94400,60760
2019-12-24 00:04:49,1577145889659,81651018015000,165090,10110,94500,60480
2019-12-24 00:04:51,1577145891659,81651018932000,164990,10080,93970,60940
2019-12-24 00:04:53,1577145893659,81651019849000,164870,9950,94160,60760
2019-12-24 00:04:55,1577145895658,81651020764000,164850,10040,93860,60950
2019-12-24 00:04:57,1577145897658,81651021681000,165100,9970,94030,61100
2019-12-24 00:04:59,1577145899658,81651022599000,165340,10080,94260,61000
2019-12-24 00:05:01,1577145901658,81651023518000,165190,10080,94070,61040
2019-12-24 00:05:03,1577145903658,81651024434000,165020,10030,93790,61200
2019-12-24 00:05:05,1577145905658,81651025350000,164720,10120,93930,60670
2019-12-24 00:05:07,1577145907658,81651026265000,164760,10010,93910,60840
2019-12-24 00:05:09,1577145909657,81651027183000,165270,10250,94190,60830
2019-12-24 00:05:11,1577145911657,81651028101000,165250,10080,94460,60710
2019-12-24 00:05:13,1577145913657,81651029017000,164880,10130,94370,60380
2019-12-24 00:05:15,1577145915657,81651029934000,165110,10050,94420,60640
2019-12-24 00:05:17,1577145917657,81651030855000,165750,10190,94780,60780
2019-12-24 00:05:19,1577145919657,81651031770000,164520,10050,93880,60590
2019-12-24 00:05:21,1577145921657,81651032680000,163540,9950,93200,60390
2019-12-24 00:05:23,1577145923657,81651033588000,163400,10160,93100,60140
2019-12-24 00:05:25,1577145925656,81651034496000,163590,10150,93190,60250
2019-12-24 00:05:27,1577145927656,81651035406000,163720,10150,93370,60200
2019-12-24 00:05:29,1577145929656,81651036315000,163510,10210,93120,60180
2019-12-24 00:05:31,1577145931656,81651037226000,164540,10090,93990,60460
2019-12-24 00:05:33,1577145933656,81651038144000,165230,10020,94710,60500
2019-12-24 00:05:35,1577145935656,81651039059000,164370,9960,93850,60560
2019-12-24 00:05:37,1577145937656,81651039972000,164570,9940,93990,60640
2019-12-24 00:05:39,1577145939655,81651040886000,164330,10090,93580,60660
2019-12-24 00:05:41,1577145941656,81651041798000,164250,10110,93040,61100
2019-12-24 00:05:43,1577145943655,81651042711000,164160,10130,93330,60700
2019-12-24 00:05:45,1577145945655,81651043621000,163800,10050,92990,60760
2019-12-24 00:05:47,1577145947655,81651044535000,164710,10150,93550,61010
2019-12-24 00:05:49,1577145949655,81651045448000,164320,10060,93550,60710
2019-12-24 00:05:51,1577145951655,81651046361000,164410,10110,93370,60930
2019-12-24 00:05:53,1577145953655,81651047274000,164050,10150,93290,60610
2019-12-24 00:05:55,1577145955654,81651048184000,163980,10020,93110,60850
2019-12-24 00:05:57,1577145957654,81651049096000,164120,10170,93110,60840
2019-12-24 00:05:59,1577145959654,81651050007000,163990,10140,93230,60620
2019-12-24 00:06:01,1577145961654,81651050919000,164150,10130,93360,60660
2019-12-24 00:06:03,1577145963654,81651051832000,164270,9990,93530,60750
2019-12-24 00:06:05,1577145965654,81651052744000,164170,10030,93470,60670
2019-12-24 00:06:07,1577145967654,81651053655000,164100,9970,93180,60950
2019-12-24 00:06:09,1577145969654,81651054566000,163810,9920,93100,60790
2019-12-24 00:06:11,1577145971653,81651055474000,163380,10050,92800,60530
2019-12-24 00:06:13,1577145973653,81651056384000,164020,10090,93720,60210
2019-12-24 00:06:15,1577145975653,81651057301000,165630,9940,94790,60900
2019-12-24 00:06:17,1577145977653,81651058223000,165590,10150,94350,61090
2019-12-24 00:06:19,1577145979653,81651059135000,163810,10020,93460,60330
2019-12-24 00:06:21,1577145981653,81651060046000,164220,10010,93680,60530
2019-12-24 00:06:23,1577145983653,81651060958000,164130,10030,93220,60880
2019-12-24 00:06:25,1577145985652,81651061870000,164110,10100,93330,60680
2019-12-24 00:06:27,1577145987652,81651062783000,164490,10200,93390,60900
2019-12-24 00:06:29,1577145989652,81651063696000,164150,10150,93280,60720
2019-12-24 00:06:31,1577145991652,81651064609000,164470,10150,93350,60970
2019-12-24 00:06:33,1577145993652,81651065519000,163680,9940,93130,60610
2019-12-24 00:06:35,1577145995652,81651066431000,164210,10070,93230,60910
2019-12-24 00:06:37,1577145997652,81651067343000,163990,10160,93060,60770
2019-12-24 00:06:39,1577145999651,81651068250000,163100,9960,92580,60560
2019-12-24 00:06:41,1577146001651,81651069157000,163510,10100,92640,60770
2019-12-24 00:06:43,1577146003651,81651070065000,163390,9950,92960,60480
2019-12-24 00:06:45,1577146005651,81651070974000,163740,10040,93120,60580
2019-12-24 00:06:47,1577146007651,81651071885000,164020,10120,93100,60800
2019-12-24 00:06:49,1577146009651,81651072796000,163850,10080,92910,60860
