household
date,timestamp,energy,power,power1,power2,power3
2019-12-24 00:00:01,1577145601932,106783167944000,414310,56970,25330,332010
2019-12-24 00:00:03,1577145603932,106783170245000,413950,56950,25020,331980
2019-12-24 00:00:05,1577145605931,106783172543000,413640,56990,24600,332050
2019-12-24 00:00:07,1577145607931,106783174839000,413110,56760,24170,332180
2019-12-24 00:00:09,1577145609931,106783177140000,414720,56960,25330,332430
2019-12-24 00:00:11,1577145611931,106783179455000,417510,56990,25340,335180
2019-12-24 00:00:13,1577145613931,106783181769000,415410,57130,25440,332840
2019-12-24 00:00:15,1577145615931,106783184072000,414520,56870,25160,332490
2019-12-24 00:00:17,1577145617931,106783186370000,413470,56730,24250,332490
2019-12-24 00:00:19,1577145619931,106783188666000,413230,56680,24150,332400
2019-12-24 00:00:21,1577145621931,106783190966000,414430,57180,24700,332550
2019-12-24 00:00:23,1577145623931,106783193268000,414100,56900,24730,332470
2019-12-24 00:00:25,1577145625931,106783195566000,413470,56990,23810,332670
2019-12-24 00:00:27,1577145627931,106783197863000,413550,56790,23910,332850
2019-12-24 00:00:29,1577145629931,106783200159000,413010,56690,23640,332680
2019-12-24 00:00:31,1577145631931,106783202454000,413550,56910,23850,332790
2019-12-24 00:00:33,1577145633931,106783204758000,414660,56930,24630,333100
2019-12-24 00:00:35,1577145635931,106783207057000,413620,56960,23710,332950
2019-12-24 00:00:37,1577145637931,106783209353000,413330,56830,23580,332920
2019-12-24 00:00:39,1577145639931,106783211651000,413730,56810,24010,332910
2019-12-24 00:00:41,1577145641931,106783213954000,414760,57070,25080,332610
2019-12-24 00:00:43,1577145643931,106783216252000,413230,56950,23640,332640
2019-12-24 00:00:45,1577145645931,106783218548000,413370,56910,23620,332840
2019-12-24 00:00:47,1577145647931,106783220846000,413720,56990,23930,332800
2019-12-24 00:00:49,1577145649931,106783223144000,413690,56980,24050,332660
2019-12-24 00:00:51,1577145651931,106783225448000,414900,57080,24880,332940
2019-12-24 00:00:53,1577145653931,106783227749000,414040,56950,24040,333050
2019-12-24 00:00:55,1577145655931,106783230051000,414300,56950,24100,333250
2019-12-24 00:00:57,1577145657931,106783232350000,413700,56950,23700,333050
2019-12-24 00:00:59,1577145659931,106783234648000,413660,56890,23610,333160
2019-12-24 00:01:01,1577145661931,106783236950000,414900,56990,24820,333090
2019-12-24 00:01:03,1577145663931,106783239256000,414900,56820,25230,332850
