household
date,timestamp,energy,power,power1,power2,power3
2019-12-24 00:00:00,1577145600197,57016854698000,337830,18740,272670,46420
2019-12-24 00:00:02,1577145602196,57016856571000,336980,18780,273130,45070
2019-12-24 00:00:04,1577145604196,57016858440000,336170,18700,272810,44660
2019-12-24 00:00:06,1577145606196,57016860289000,330950,18880,267570,44500
2019-12-24 00:00:08,1577145608196,57016862129000,334100,18640,264540,50920
2019-12-24 00:00:10,1577145610196,57016864069000,352220,18640,270470,63110
2019-12-24 00:00:12,1577145612196,57016866014000,349110,18680,271260,59170
2019-12-24 00:00:14,1577145614196,57016867923000,341070,18690,271230,51150
2019-12-24 00:00:16,1577145616196,57016869786000,335300,18770,271830,44700
2019-12-24 00:00:18,1577145618196,57016871652000,335970,18650,272820,44500
2019-12-24 00:00:20,1577145620196,57016873522000,336690,18750,273300,44640
2019-12-24 00:00:22,1577145622196,57016875392000,336610,18740,273290,44580
2019-12-24 00:00:24,1577145624196,57016877260000,336050,18840,272580,44630
2019-12-24 00:00:26,1577145626196,57016879123000,335230,18660,271950,44620
2019-12-24 00:00:28,1577145628196,57016880986000,335280,18700,271910,44670
2019-12-24 00:00:30,1577145630196,57016882852000,336120,18890,272720,44510
2019-12-24 00:00:32,1577145632196,57016884721000,336620,18940,273000,44680
2019-12-24 00:00:34,1577145634196,57016886592000,336750,18760,273280,44710
2019-12-24 00:00:36,1577145636196,57016888460000,335960,18720,272740,44500
2019-12-24 00:00:38,1577145638196,57016890326000,335850,18790,272280,44780
2019-12-24 00:00:40,1577145640196,57016892188000,334850,18850,271050,44950
2019-12-24 00:00:42,1577145642196,57016894042000,333290,18770,269720,44800
2019-12-24 00:00:44,1577145644196,57016895892000,333100,18860,269440,44800
2019-12-24 00:00:46,1577145646196,57016897745000,333740,18840,269640,45260
2019-12-24 00:00:48,1577145648195,57016899605000,335040,18760,269580,46700
2019-12-24 00:00:50,1577145650195,57016901457000,332940,18820,269010,45110
2019-12-24 00:00:52,1577145652195,57016903305000,332670,18740,268870,45060
2019-12-24 00:00:54,1577145654195,57016905156000,333190,18770,269590,44830
2019-12-24 00:00:56,1577145656195,57016907005000,332820,18860,269190,44770
2019-12-24 00:00:58,1577145658195,57016908857000,333730,18810,270140,44780
2019-12-24 00:01:00,1577145660195,57016910716000,334730,18680,271080,44970
2019-12-24 00:01:02,1577145662195,57016912579000,335600,18670,271090,45840
2019-12-24 00:01:04,1577145664195,57016914436000,333470,18820,269900,44750
2019-12-24 00:01:06,1577145666195,57016916271000,329550,18850,265990,44710
2019-12-24 00:01:08,1577145668195,57016918109000,331540,18790,268080,44670
2019-12-24 00:01:10,1577145670195,57016919960000,333450,18810,270120,44520
2019-12-24 00:01:12,1577145672195,57016921819000,335450,18700,272090,44660
2019-12-24 00:01:14,1577145674195,57016923680000,333610,18860,269970,44780
