household
date,timestamp,energy,power,power1,power2,power3
2019-12-24 00:00:01,1577145601638,79163509370000,85880,6530,65670,13680
2019-12-24 00:00:03,1577145603638,79163509846000,85640,6330,65680,13630
2019-12-24 00:00:05,1577145605638,79163510322000,85770,6370,65610,13790
2019-12-24 00:00:07,1577145607638,79163510799000,85730,6320,65650,13760
2019-12-24 00:00:09,1577145609637,79163511275000,85800,6440,65510,13850
2019-12-24 00:00:11,1577145611637,79163511753000,86050,6550,65850,13650
2019-12-24 00:00:13,1577145613637,79163512231000,85850,6420,65610,13820
2019-12-24 00:00:15,1577145615637,79163512708000,85980,6510,65730,13740
2019-12-24 00:00:17,1577145617637,79163513187000,86150,6630,65700,13820
2019-12-24 00:00:19,1577145619637,79163513664000,85850,6490,65590,13770
2019-12-24 00:00:21,1577145621637,79163514141000,85840,6540,65580,13720
2019-12-24 00:00:23,1577145623637,79163514617000,85710,6420,65680,13610
2019-12-24 00:00:25,1577145625636,79163515094000,85970,6440,65860,13670
2019-12-24 00:00:27,1577145627636,79163515572000,86000,6350,65880,13770
2019-12-24 00:00:29,1577145629636,79163516050000,86030,6430,65640,13960
2019-12-24 00:00:31,1577145631636,79163516528000,86160,6430,65970,13760
2019-12-24 00:00:33,1577145633636,79163517007000,86280,6450,66090,13740
2019-12-24 00:00:35,1577145635636,79163517487000,86340,6300,66180,13860
2019-12-24 00:00:37,1577145637636,79163517967000,86410,6460,66140,13810
2019-12-24 00:00:39,1577145639636,79163518446000,86220,6340,66000,13880
2019-12-24 00:00:41,1577145641635,79163518925000,86250,6450,66190,13610
2019-12-24 00:00:43,1577145643635,79163519406000,86680,6530,66310,13840
2019-12-24 00:00:45,1577145645635,79163519887000,86390,6450,66030,13910
2019-12-24 00:00:47,1577145647635,79163520366000,86300,6370,66080,13850
2019-12-24 00:00:49,1577145649635,79163520845000,86100,6330,66040,13730
2019-12-24 00:00:51,1577145651635,79163521323000,85950,6260,65860,13830
2019-12-24 00:00:53,1577145653635,79163521800000,85880,6380,65750,13750
2019-12-24 00:00:55,1577145655635,79163522278000,86020,6500,65720,13800
2019-12-24 00:00:57,1577145657635,79163522754000,85620,6260,65590,13770
2019-12-24 00:00:59,1577145659634,79163523230000,85750,6320,65720,13710
2019-12-24 00:01:01,1577145661634,79163523708000,86120,6480,65950,13690
2019-12-24 00:01:03,1577145663634,79163524186000,86140,6420,65920,13800
2019-12-24 00:01:05,1577145665634,79163524665000,86120,6370,65900,13850
2019-12-24 00:01:07,1577145667634,79163525142000,85660,6380,65600,13680
2019-12-24 00:01:09,1577145669634,79163525617000,85590,6360,65610,13620
2019-12-24 00:01:11,1577145671634,79163526094000,86020,6400,65740,13880
2019-12-24 00:01:13,1577145673633,79163526572000,86000,6480,65670,13850
2019-12-24 00:01:15,1577145675633,79163527050000,85930,6400,65680,13850
2019-12-24 00:01:17,1577145677633,79163527526000,85580,6270,65530,13780
2019-12-24 00:01:19,1577145679633,79163528001000,85520,6340,65450,13730
2019-12-24 00:01:21,1577145681633,79163528477000,85790,6330,65710,13750
2019-12-24 00:01:23,1577145683633,79163528954000,85900,6620,65560,13720
2019-12-24 00:01:25,1577145685633,79163529431000,85880,6380,65730,13770
2019-12-24 00:01:27,1577145687633,79163529908000,85800,6290,65670,13840
2019-12-24 00:01:29,1577145689632,79163530385000,85950,6420,65680,13850
2019-12-24 00:01:31,1577145691632,79163530864000,86210,6470,65940,13800
2019-12-24 00:01:33,1577145693632,79163531342000,86010,6370,66000,13640
2019-12-24 00:01:35,1577145695632,79163531820000,86220,6460,66100,13660
2019-12-24 00:01:37,1577145697632,79163532300000,86220,6390,65910,13920
