household
date,timestamp,energy,power,power1,power2,power3
2019-12-24 00:00:00,1577145600839,130473992152000,266030,82870,3610,179550
2019-12-24 00:00:02,1577145602839,130473993627000,265180,83170,3610,178400
2019-12-24 00:00:04,1577145604839,130473995103000,266680,82610,3490,180580
2019-12-24 00:00:06,1577145606839,130473996590000,267300,83860,3390,180050
2019-12-24 00:00:08,1577145608839,130473998075000,267340,83800,3510,180030
2019-12-24 00:00:10,1577145610839,130473999547000,264100,82890,3560,177650
2019-12-24 00:00:12,1577145612839,130474001014000,264760,82700,3530,178530
2019-12-24 00:00:14,1577145614838,130474002490000,265510,82670,3490,179350
2019-12-24 00:00:16,1577145616838,130474003970000,266570,83420,3380,179770
2019-12-24 00:00:18,1577145618838,130474005439000,264080,83020,3470,177590
2019-12-24 00:00:20,1577145620838,130474006876000,253230,82950,3400,166880
2019-12-24 00:00:22,1577145622838,130474008101000,212110,83430,3610,125070
2019-12-24 00:00:24,1577145624838,130474009269000,211140,82950,3650,124540
2019-12-24 00:00:26,1577145626838,130474010441000,210190,84190,3440,122560
2019-12-24 00:00:28,1577145628838,130474011614000,211940,84950,3580,123410
2019-12-24 00:00:30,1577145630837,130474012790000,211320,84420,3470,123430
2019-12-24 00:00:32,1577145632837,130474013965000,211310,84780,3580,122950
2019-12-24 00:00:34,1577145634837,130474015142000,212720,85040,3750,123930
2019-12-24 00:00:36,1577145636837,130474016330000,213780,85190,3440,125150
2019-12-24 00:00:38,1577145638837,130474017511000,211920,84740,3490,123690
2019-12-24 00:00:40,1577145640837,130474018682000,210560,84990,3460,122110
2019-12-24 00:00:42,1577145642837,130474019857000,212330,85190,3380,123760
2019-12-24 00:00:44,1577145644837,130474021045000,214070,84860,3580,125630
2019-12-24 00:00:46,1577145646836,130474022239000,214650,85120,3510,126020
2019-12-24 00:00:48,1577145648836,130474023411000,210230,84430,3600,122200
2019-12-24 00:00:50,1577145650836,130474024578000,210040,84710,3600,121730
2019-12-24 00:00:52,1577145652836,130474025757000,213040,85310,3480,124250
2019-12-24 00:00:54,1577145654836,130474026936000,211990,84870,3560,123560
2019-12-24 00:00:56,1577145656836,130474028117000,213090,84710,3500,124880
2019-12-24 00:00:58,1577145658836,130474029311000,214710,84720,3620,126370
2019-12-24 00:01:00,1577145660836,130474030486000,210840,84730,3610,122500
2019-12-24 00:01:02,1577145662835,130474031666000,213000,85030,3470,124500
2019-12-24 00:01:04,1577145664835,130474032840000,210630,84740,3530,122360
2019-12-24 00:01:06,1577145666835,130474034015000,212290,84980,3560,123750
2019-12-24 00:01:08,1577145668835,130474035195000,211720,84980,3440,123300
2019-12-24 00:01:10,1577145670835,130474036372000,212240,84730,3490,124020
2019-12-24 00:01:12,1577145672835,130474037544000,210480,84620,3430,122430
2019-12-24 00:01:14,1577145674835,130474038715000,210890,84830,3490,122570
2019-12-24 00:01:16,1577145676835,130474039890000,211510,85340,3570,122600
2019-12-24 00:01:18,1577145678835,130474041062000,211450,85020,3620,122810
2019-12-24 00:01:20,1577145680834,130474042246000,213200,85430,3550,124220
2019-12-24 00:01:22,1577145682834,130474043433000,213380,85350,3350,124680
2019-12-24 00:01:24,1577145684834,130474044609000,211710,84740,3420,123550
2019-12-24 00:01:26,1577145686834,130474045785000,211250,84750,3490,123010
2019-12-24 00:01:28,1577145688834,130474046955000,210850,85030,3500,122320
2019-12-24 00:01:30,1577145690834,130474048136000,212730,84970,3550,124210
2019-12-24 00:01:32,1577145692834,130474049316000,212510,86550,3580,122380
2019-12-24 00:01:34,1577145694834,130474050499000,213610,85910,3430,124270
2019-12-24 00:01:36,1577145696833,130474051691000,214340,84880,3390,126070
2019-12-24 00:01:38,1577145698833,130474052866000,210470,85000,3400,122070
2019-12-24 00:01:40,1577145700833,130474054040000,211920,86400,3430,122090
2019-12-24 00:01:42,1577145702833,130474055221000,212580,87000,3420,122160
2019-12-24 00:01:44,1577145704833,130474056399000,211840,86850,3530,121460
2019-12-24 00:01:46,1577145706833,130474057578000,212610,87010,3450,122150
2019-12-24 00:01:48,1577145708833,130474058759000,212260,86470,3400,122390
2019-12-24 00:01:50,1577145710833,130474059932000,210840,85570,3390,121880
2019-12-24 00:01:52,1577145712832,130474061114000,214100,85820,3580,124700
2019-12-24 00:01:54,1577145714832,130474062303000,212950,86990,3530,122430
2019-12-24 00:01:56,1577145716832,130474063474000,210710,86050,3450,121210
2019-12-24 00:01:58,1577145718832,130474064658000,213690,85160,3570,124960
2019-12-24 00:02:00,1577145720832,130474065834000,210860,85120,3660,122080
2019-12-24 00:02:02,1577145722832,130474067007000,212270,85960,3560,122750
2019-12-24 00:02:04,1577145724832,130474068196000,213890,85560,3600,124730
2019-12-24 00:02:06,1577145726832,130474069380000,212860,84970,3630,124260
2019-12-24 00:02:08,1577145728832,130474070555000,211050,86060,3500,121490
2019-12-24 00:02:10,1577145730831,130474071752000,219960,85790,3460,130710
2019-12-24 00:02:12,1577145732831,130474073156000,262850,86160,3570,173120
2019-12-24 00:02:14,1577145734831,130474074651000,268740,86160,3450,179130
2019-12-24 00:02:16,1577145736831,130474076148000,270190,86110,3530,180550
2019-12-24 00:02:18,1577145738831,130474077652000,271050,87790,3550,179710
2019-12-24 00:02:20,1577145740831,130474079161000,271120,87330,3520,180270
2019-12-24 00:02:22,1577145742831,130474080661000,270260,86630,3450,180180
2019-12-24 00:02:24,1577145744831,130474082159000,268690,87750,3500,177440
2019-12-24 00:02:26,1577145746830,130474083647000,268380,86310,3590,178480
2019-12-24 00:02:28,1577145748830,130474085134000,266560,85390,3430,177740
2019-12-24 00:02:30,1577145750830,130474086610000,266110,85840,3530,176740
2019-12-24 00:02:32,1577145752830,130474088093000,267100,85820,3430,177850
2019-12-24 00:02:34,1577145754830,130474089580000,267710,85750,3590,178370
2019-12-24 00:02:36,1577145756830,130474091064000,267010,85450,3510,178050
2019-12-24 00:02:38,1577145758830,130474092547000,266950,85880,3550,177520
2019-12-24 00:02:40,1577145760830,130474094032000,266840,85570,3600,177670
2019-12-24 00:02:42,1577145762829,130474095516000,268070,85990,3590,178490
2019-12-24 00:02:44,1577145764829,130474097003000,267000,85900,3680,177420
2019-12-24 00:02:46,1577145766829,130474098488000,268050,85930,3660,178460
2019-12-24 00:02:48,1577145768829,130474099980000,267800,85970,3610,178220
2019-12-24 00:02:50,1577145770829,130474101468000,268690,85450,3530,179710
2019-12-24 00:02:52,1577145772829,130474102953000,266310,85960,3540,176810
2019-12-24 00:02:54,1577145774829,130474104444000,269490,86120,3490,179880
2019-12-24 00:02:56,1577145776829,130474105939000,268650,86520,3620,178510
2019-12-24 00:02:58,1577145778829,130474107431000,268540,86140,3640,178760
2019-12-24 00:03:00,1577145780828,130474108921000,268190,85530,3580,179080
2019-12-24 00:03:02,1577145782828,130474110400000,265670,85940,3530,176200
2019-12-24 00:03:04,1577145784828,130474111890000,269050,85790,3570,179690
2019-12-24 00:03:06,1577145786828,130474113380000,267970,84120,3560,180290
2019-12-24 00:03:08,1577145788828,130474114860000,265400,84800,3540,177060
2019-12-24 00:03:10,1577145790828,130474116325000,263490,84320,3390,175780
2019-12-24 00:03:12,1577145792828,130474117791000,263860,84250,3500,176110
2019-12-24 00:03:14,1577145794828,130474119261000,264700,84140,3590,176970
2019-12-24 00:03:16,1577145796827,130474120736000,266560,84700,3500,178360
2019-12-24 00:03:18,1577145798827,130474122220000,266700,85560,3550,177590
2019-12-24 00:03:20,1577145800827,130474123710000,268670,85140,3530,180000
2019-12-24 00:03:22,1577145802827,130474125190000,265660,84470,3630,177560
2019-12-24 00:03:24,1577145804827,130474126666000,266580,84540,3590,178450
2019-12-24 00:03:26,1577145806827,130474128155000,267250,84750,3570,178930
2019-12-24 00:03:28,1577145808827,130474129624000,264470,84500,3510,176460
2019-12-24 00:03:30,1577145810827,130474131020000,242010,84400,3450,154160
2019-12-24 00:03:32,1577145812826,130474132203000,207560,84280,3470,119810
2019-12-24 00:03:34,1577145814826,130474133367000,210270,84110,3550,122610
2019-12-24 00:03:36,1577145816826,130474134523000,207300,83830,3610,119860
2019-12-24 00:03:38,1577145818826,130474135674000,207430,83650,3540,120240
2019-12-24 00:03:40,1577145820826,130474136827000,207580,83450,3500,120630
2019-12-24 00:03:42,1577145822826,130474137981000,207910,83970,3510,120430
2019-12-24 00:03:44,1577145824826,130474139146000,209830,83880,3490,122460
2019-12-24 00:03:46,1577145826826,130474140302000,207380,84530,3510,119340
2019-12-24 00:03:48,1577145828826,130474141452000,207350,84510,3580,119260
2019-12-24 00:03:50,1577145830825,130474142611000,209020,85870,3600,119550
2019-12-24 00:03:52,1577145832825,130474143769000,208000,85370,3570,119060
2019-12-24 00:03:54,1577145834825,130474144921000,207110,84380,3640,119090
2019-12-24 00:03:56,1577145836825,130474146069000,206620,83950,3610,119060
2019-12-24 00:03:58,1577145838825,130474147223000,207770,84260,3600,119910
2019-12-24 00:04:00,1577145840825,130474148375000,207870,83630,3440,120800
2019-12-24 00:04:02,1577145842825,130474149537000,209000,83980,3460,121560
2019-12-24 00:04:04,1577145844825,130474150706000,211360,84270,3530,123560
2019-12-24 00:04:06,1577145846824,130474151872000,208860,84690,3390,120780
2019-12-24 00:04:08,1577145848824,130474153031000,208800,86210,3400,119190
2019-12-24 00:04:10,1577145850824,130474154201000,210990,85890,3510,121590
2019-12-24 00:04:12,1577145852824,130474155366000,209240,85330,3590,120320
2019-12-24 00:04:14,1577145854824,130474156518000,207230,84600,3620,119010
2019-12-24 00:04:16,1577145856824,130474157683000,210090,85070,3680,121340
2019-12-24 00:04:18,1577145858824,130474158837000,207580,84610,3510,119460
2019-12-24 00:04:20,1577145860824,130474160001000,209360,85440,3400,120520
2019-12-24 00:04:22,1577145862823,130474161168000,210980,86300,3530,121150
2019-12-24 00:04:24,1577145864823,130474162338000,209930,85720,3540,120670
2019-12-24 00:04:26,1577145866823,130474163499000,209130,85870,3460,119800
2019-12-24 00:04:28,1577145868823,130474164676000,212290,87930,3670,120690
2019-12-24 00:04:30,1577145870823,130474165854000,212310,88760,3350,120200
2019-12-24 00:04:32,1577145872823,130474167029000,210710,88890,3580,118240
2019-12-24 00:04:34,1577145874823,130474168212000,214110,88530,3580,122000
2019-12-24 00:04:36,1577145876823,130474169390000,211680,87580,3570,120530
2019-12-24 00:04:38,1577145878823,130474170565000,210760,87640,3590,119530
2019-12-24 00:04:40,1577145880822,130474171728000,209230,87220,3620,118390
2019-12-24 00:04:42,1577145882822,130474172901000,212000,86740,3580,121680
2019-12-24 00:04:44,1577145884822,130474174079000,211760,87080,3480,121200
2019-12-24 00:04:46,1577145886822,130474175241000,208670,86380,3430,118860
2019-12-24 00:04:48,1577145888822,130474176404000,209420,86870,3470,119080
2019-12-24 00:04:50,1577145890822,130474177566000,208990,86580,3550,118860
2019-12-24 00:04:52,1577145892822,130474178733000,210350,86950,3560,119840
2019-12-24 00:04:54,1577145894822,130474179901000,210260,86330,3580,120350
2019-12-24 00:04:56,1577145896821,130474181071000,212150,85800,3560,122790
2019-12-24 00:04:58,1577145898821,130474182424000,255840,86080,3610,166150
2019-12-24 00:05:00,1577145900821,130474183903000,266550,85430,3630,177490
2019-12-24 00:05:02,1577145902821,130474185373000,263440,85620,3650,174170
2019-12-24 00:05:04,1577145904821,130474186832000,262740,85710,3630,173400
