household
date,timestamp,energy,power,power1,power2,power3
2019-12-24 00:00:01,1577145601070,74066265920000,115780,56260,54980,4540
2019-12-24 00:00:03,1577145603069,74066266563000,115920,56220,55250,4450
2019-12-24 00:00:05,1577145605069,74066267241000,125300,65300,55310,4690
2019-12-24 00:00:07,1577145607069,74066267975000,132930,73100,55120,4710
2019-12-24 00:00:09,1577145609069,74066268712000,132770,72800,55230,4740
2019-12-24 00:00:11,1577145611069,74066269433000,127330,67510,55190,4630
2019-12-24 00:00:13,1577145613069,74066270087000,115950,56280,55040,4630
2019-12-24 00:00:15,1577145615069,74066270733000,116570,56640,55090,4840
2019-12-24 00:00:17,1577145617069,74066271385000,117210,57510,55050,4650
2019-12-24 00:00:19,1577145619069,74066272029000,115740,55980,55190,4570
2019-12-24 00:00:21,1577145621069,74066272676000,116750,56980,55280,4490
2019-12-24 00:00:23,1577145623069,74066273324000,116410,56660,55270,4480
2019-12-24 00:00:25,1577145625069,74066273969000,116130,56220,55420,4490
2019-12-24 00:00:27,1577145627069,74066274620000,117450,57340,55420,4690
2019-12-24 00:00:29,1577145629069,74066275267000,116220,56210,55480,4530
2019-12-24 00:00:31,1577145631069,74066275916000,117110,57160,55420,4530
2019-12-24 00:00:33,1577145633069,74066276567000,116810,56860,55390,4560
2019-12-24 00:00:35,1577145635069,74066277210000,115670,55840,55330,4500
2019-12-24 00:00:37,1577145637069,74066277853000,115690,55900,55330,4460
2019-12-24 00:00:39,1577145639069,74066278497000,116070,56270,55350,4450
2019-12-24 00:00:41,1577145641068,74066279142000,116000,56320,55140,4540
2019-12-24 00:00:43,1577145643068,74066279785000,115550,55940,55080,4530
2019-12-24 00:00:45,1577145645068,74066280427000,115840,56190,55230,4420
2019-12-24 00:00:47,1577145647068,74066281072000,115860,56150,55160,4550
2019-12-24 00:00:49,1577145649068,74066281713000,115430,55750,55210,4470
2019-12-24 00:00:51,1577145651068,74066282355000,115550,56000,55070,4480
2019-12-24 00:00:53,1577145653068,74066282997000,115540,55820,55110,4610
2019-12-24 00:00:55,1577145655068,74066283639000,115630,55940,55130,4560
2019-12-24 00:00:57,1577145657068,74066284283000,116160,56420,55460,4280
2019-12-24 00:00:59,1577145659068,74066284936000,118240,56360,57390,4490
2019-12-24 00:01:01,1577145661068,74066285613000,122760,56330,61990,4440
2019-12-24 00:01:03,1577145663068,74066286288000,120230,56350,59330,4550
2019-12-24 00:01:05,1577145665068,74066286934000,115620,55780,55350,4490
2019-12-24 00:01:07,1577145667068,74066287577000,115980,56150,55230,4600
2019-12-24 00:01:09,1577145669068,74066288220000,115680,56100,54970,4610
2019-12-24 00:01:11,1577145671068,74066288863000,115610,56330,54790,4490
