household
date,timestamp,energy,power,power1,power2,power3
2019-12-24 00:00:01,1577145601716,263855074756000,1735830,103600,1379850,252380
2019-12-24 00:00:03,1577145603716,263855084392000,1734220,101110,1380610,252500
2019-12-24 00:00:05,1577145605716,263855094007000,1729590,98430,1378880,252280
2019-12-24 00:00:07,1577145607716,263855103612000,1728840,98250,1378240,252350
2019-12-24 00:00:09,1577145609716,263855113212000,1727470,97010,1377870,252590
2019-12-24 00:00:11,1577145611716,263855122802000,1726280,93570,1379870,252840
2019-12-24 00:00:13,1577145613716,263855132408000,1729780,93850,1383160,252770
2019-12-24 00:00:15,1577145615716,263855142010000,1727450,93510,1381230,252710
2019-12-24 00:00:17,1577145617716,263855151594000,1724790,93960,1378760,252070
2019-12-24 00:00:19,1577145619716,263855161167000,1722220,91960,1378480,251780
2019-12-24 00:00:21,1577145621716,263855170735000,1722980,92240,1378590,252150
2019-12-24 00:00:23,1577145623716,263855180313000,1723660,91570,1379350,252740
2019-12-24 00:00:25,1577145625716,263855189883000,1722730,91390,1378840,252500
2019-12-24 00:00:27,1577145627716,263855199462000,1724630,94300,1378060,252270
2019-12-24 00:00:29,1577145629716,263855209049000,1726120,94850,1377930,253340
2019-12-24 00:00:31,1577145631716,263855218641000,1726850,94470,1379340,253040
2019-12-24 00:00:33,1577145633716,263855228248000,1729660,93830,1381970,253860
2019-12-24 00:00:35,1577145635716,263855237836000,1724540,91240,1379590,253710
2019-12-24 00:00:37,1577145637716,263855247410000,1722880,90700,1378560,253620
2019-12-24 00:00:39,1577145639716,263855256976000,1721630,91130,1376840,253660
2019-12-24 00:00:41,1577145641716,263855266546000,1723470,93350,1377000,253120
2019-12-24 00:00:43,1577145643716,263855276134000,1726460,95060,1378230,253170
2019-12-24 00:00:45,1577145645716,263855285729000,1726900,95190,1378620,253090
2019-12-24 00:00:47,1577145647716,263855295318000,1725740,95120,1377660,252960
2019-12-24 00:00:49,1577145649716,263855304856000,1711640,82940,1375000,253700
2019-12-24 00:00:51,1577145651716,263855314288000,1695640,66430,1375370,253840
2019-12-24 00:00:53,1577145653716,263855323719000,1698290,68090,1376840,253360
2019-12-24 00:00:55,1577145655716,263855333168000,1701860,69430,1379130,253300
2019-12-24 00:00:57,1577145657716,263855342639000,1705860,72830,1379560,253470
2019-12-24 00:00:59,1577145659715,263855352110000,1703810,72690,1377720,253400
2019-12-24 00:01:01,1577145661715,263855361568000,1702260,72570,1376290,253400
2019-12-24 00:01:03,1577145663715,263855371015000,1699930,71960,1374280,253690
2019-12-24 00:01:05,1577145665715,263855380448000,1697400,68850,1375290,253260
2019-12-24 00:01:07,1577145667715,263855389880000,1698100,68490,1376110,253500
2019-12-24 00:01:09,1577145669715,263855399316000,1698260,68800,1375800,253660
2019-12-24 00:01:11,1577145671715,263855408753000,1699270,70700,1375020,253550
2019-12-24 00:01:13,1577145673715,263855418182000,1695060,72420,1369570,253070
2019-12-24 00:01:15,1577145675715,263855427592000,1696310,72580,1370530,253200
2019-12-24 00:01:17,1577145677715,263855437059000,1704590,72670,1378480,253440
2019-12-24 00:01:19,1577145679715,263855446515000,1701140,70200,1376940,254000
2019-12-24 00:01:21,1577145681715,263855455948000,1697240,68420,1375300,253520
2019-12-24 00:01:23,1577145683715,263855465382000,1698690,68450,1376620,253620
2019-12-24 00:01:25,1577145685715,263855474851000,1707040,69000,1383550,254490
2019-12-24 00:01:27,1577145687715,263855484374000,1716280,72070,1385850,258360
2019-12-24 00:01:29,1577145689715,263855493905000,1713700,72470,1383480,257750
2019-12-24 00:01:31,1577145691715,263855503384000,1704920,72720,1378150,254050
2019-12-24 00:01:33,1577145693715,263855512860000,1705560,72820,1378640,254100
2019-12-24 00:01:35,1577145695715,263855522331000,1705130,70740,1380450,253940
2019-12-24 00:01:37,1577145697715,263855531809000,1705590,68640,1383290,253660
2019-12-24 00:01:39,1577145699715,263855541280000,1704880,68110,1383370,253400
