household
date,timestamp,energy,power,power1,power2,power3
2019-12-24 00:00:01,1577145601920,180759370207000,427700,202880,181350,43470
2019-12-24 00:00:03,1577145603920,180759372587000,428350,203210,181650,43490
2019-12-24 00:00:05,1577145605920,180759374963000,427350,202510,181470,43370
2019-12-24 00:00:07,1577145607920,180759377335000,426970,202410,181220,43340
2019-12-24 00:00:09,1577145609920,180759379708000,427030,202520,181080,43430
2019-12-24 00:00:11,1577145611920,180759382080000,427050,202410,181160,43480
2019-12-24 00:00:13,1577145613920,180759384434000,420550,196430,180740,43380
2019-12-24 00:00:15,1577145615919,180759386635000,388700,164470,180700,43530
2019-12-24 00:00:17,1577145617919,180759388769000,384050,160180,180420,43450
2019-12-24 00:00:19,1577145619919,180759390903000,384190,160500,180320,43370
2019-12-24 00:00:21,1577145621919,180759393036000,383850,160040,180210,43600
2019-12-24 00:00:23,1577145623919,180759395343000,434830,177490,198650,58690
2019-12-24 00:00:25,1577145625919,180759398052000,496080,202740,217870,75470
2019-12-24 00:00:27,1577145627919,180759400776000,488440,199860,215590,72990
2019-12-24 00:00:29,1577145629919,180759403498000,488950,200190,215460,73300
2019-12-24 00:00:31,1577145631919,180759405941000,423610,175250,193040,55320
2019-12-24 00:00:33,1577145633919,180759408719000,533520,207100,230630,95790
2019-12-24 00:00:35,1577145635918,180759411751000,546380,206400,236970,103010
2019-12-24 00:00:37,1577145637918,180759415226000,657350,241300,274770,141280
2019-12-24 00:00:39,1577145639918,180759419028000,685820,253100,282750,149970
2019-12-24 00:00:41,1577145641918,180759422886000,695000,255060,286560,153380
2019-12-24 00:00:43,1577145643918,180759426204000,540570,197300,240420,102850
2019-12-24 00:00:45,1577145645918,180759428495000,390370,160390,183550,46430
2019-12-24 00:00:47,1577145647918,180759430632000,384510,160300,180690,43520
2019-12-24 00:00:49,1577145649918,180759432768000,384620,160110,181170,43340
2019-12-24 00:00:51,1577145651918,180759434907000,385060,160110,181670,43280
2019-12-24 00:00:53,1577145653917,180759437048000,385510,160190,181860,43460
2019-12-24 00:00:55,1577145655917,180759439190000,385720,160330,182130,43260
2019-12-24 00:00:57,1577145657917,180759441336000,386280,160750,182150,43380
2019-12-24 00:00:59,1577145659917,180759443483000,386480,160920,182210,43350
2019-12-24 00:01:01,1577145661917,180759445629000,386330,160570,182240,43520
2019-12-24 00:01:03,1577145663917,180759447775000,386100,160460,182280,43360
2019-12-24 00:01:05,1577145665917,180759449920000,386100,160680,182070,43350
2019-12-24 00:01:07,1577145667917,180759452064000,385790,160470,181850,43470
2019-12-24 00:01:09,1577145669917,180759454205000,385430,160460,181480,43490
2019-12-24 00:01:11,1577145671916,180759456345000,385100,160490,181230,43380
2019-12-24 00:01:13,1577145673916,180759458484000,385090,160600,181020,43470
2019-12-24 00:01:15,1577145675916,180759460623000,385010,160720,180840,43450
2019-12-24 00:01:17,1577145677916,180759462761000,384570,160640,180440,43490
2019-12-24 00:01:19,1577145679916,180759464929000,396040,163930,186420,45690
2019-12-24 00:01:21,1577145681916,180759467459000,475690,194390,212750,68550
2019-12-24 00:01:23,1577145683916,180759470181000,492810,202030,217070,73710
2019-12-24 00:01:25,1577145685916,180759473020000,518470,211710,227780,78980
2019-12-24 00:01:27,1577145687916,180759476179000,580980,223260,255270,102450
2019-12-24 00:01:29,1577145689915,180759479237000,543360,208660,235380,99320
2019-12-24 00:01:31,1577145691915,180759482641000,643250,245520,267640,130090
2019-12-24 00:01:33,1577145693915,180759486417000,683770,254190,281020,148560
2019-12-24 00:01:35,1577145695915,180759490251000,690010,255150,283130,151730
2019-12-24 00:01:37,1577145697915,180759493976000,656160,243360,271870,140930
2019-12-24 00:01:39,1577145699915,180759496810000,454090,179200,203190,71700
2019-12-24 00:01:41,1577145701915,180759498979000,385220,160880,180760,43580
2019-12-24 00:01:43,1577145703915,180759501121000,385650,160950,180990,43710
2019-12-24 00:01:45,1577145705915,180759503262000,385420,160920,180900,43600
2019-12-24 00:01:47,1577145707914,180759505403000,385350,161000,180740,43610
2019-12-24 00:01:49,1577145709914,180759507544000,385320,160950,180740,43630
2019-12-24 00:01:51,1577145711914,180759509685000,385560,160900,180710,43950
2019-12-24 00:01:53,1577145713914,180759511828000,385720,160780,180850,44090
2019-12-24 00:01:55,1577145715914,180759513970000,385350,160840,180740,43770
2019-12-24 00:01:57,1577145717914,180759516110000,385140,160810,180670,43660
2019-12-24 00:01:59,1577145719914,180759518250000,385300,160810,180830,43660
2019-12-24 00:02:01,1577145721914,180759520389000,385000,160640,180740,43620
2019-12-24 00:02:03,1577145723914,180759522526000,384590,160350,180720,43520
2019-12-24 00:02:05,1577145725914,180759524663000,384620,160370,180690,43560
2019-12-24 00:02:07,1577145727913,180759526812000,388780,162240,181180,45360
2019-12-24 00:02:09,1577145729913,180759529160000,436600,179360,196670,60570
2019-12-24 00:02:11,1577145731913,180759531461000,398080,165140,185000,47940
2019-12-24 00:02:13,1577145733913,180759533597000,384670,160720,180510,43440
2019-12-24 00:02:15,1577145735913,180759535734000,384570,160630,180500,43440
2019-12-24 00:02:17,1577145737913,180759538118000,453750,183880,205460,64410
2019-12-24 00:02:19,1577145739913,180759540900000,508160,206860,222050,79250
2019-12-24 00:02:21,1577145741913,180759543872000,555490,207810,223010,124670
2019-12-24 00:02:23,1577145743912,180759547667000,704400,204610,218760,281030
2019-12-24 00:02:25,1577145745912,180759550834000,527300,169090,186540,171670
2019-12-24 00:02:27,1577145747912,180759553662000,508800,160590,180710,167500
2019-12-24 00:02:29,1577145749912,180759556482000,507490,160490,180770,166230
2019-12-24 00:02:31,1577145751912,180759559299000,506860,160460,180670,165730
2019-12-24 00:02:33,1577145753912,180759562110000,505440,160330,180780,164330
2019-12-24 00:02:35,1577145755912,180759564912000,504300,160400,180810,163090
2019-12-24 00:02:37,1577145757912,180759567723000,506700,160540,181120,165040
2019-12-24 00:02:39,1577145759912,180759570546000,508570,160510,181210,166850
2019-12-24 00:02:41,1577145761911,180759573377000,509860,160640,181460,167760
2019-12-24 00:02:43,1577145763911,180759576213000,510740,160650,181830,168260
2019-12-24 00:02:45,1577145765911,180759579052000,511080,160550,181920,168610
2019-12-24 00:02:47,1577145767911,180759581894000,511730,160700,182010,169020
2019-12-24 00:02:49,1577145769911,180759584740000,512440,160630,182020,169790
2019-12-24 00:02:51,1577145771911,180759587588000,512650,160580,181950,170120
2019-12-24 00:02:53,1577145773911,180759590437000,512970,160630,181960,170380
2019-12-24 00:02:55,1577145775911,180759593291000,513820,160880,182020,170920
2019-12-24 00:02:57,1577145777911,180759596146000,513940,160660,181950,171330
2019-12-24 00:02:59,1577145779910,180759599001000,513760,160670,181790,171300
2019-12-24 00:03:01,1577145781910,180759601856000,514160,160770,181860,171530
2019-12-24 00:03:03,1577145783910,180759604712000,514010,160630,181790,171590
2019-12-24 00:03:05,1577145785910,180759607568000,513980,160500,181760,171720
2019-12-24 00:03:07,1577145787910,180759610423000,513890,160830,181310,171750
2019-12-24 00:03:09,1577145789910,180759613274000,512970,160370,181110,171490
2019-12-24 00:03:11,1577145791910,180759616125000,513400,160540,181310,171550
2019-12-24 00:03:13,1577145793910,180759619001000,521840,163740,183620,174480
2019-12-24 00:03:15,1577145795910,180759622260000,612800,197320,215250,200230
2019-12-24 00:03:17,1577145797909,180759625856000,660530,215150,230590,214790
2019-12-24 00:03:19,1577145799909,180759630117000,801650,261410,274260,265980
2019-12-24 00:03:21,1577145801909,180759634492000,766440,243940,261800,260700
