household
date,timestamp,energy,power,power1,power2,power3
2019-12-24 00:00:00,1577145600794,71630181175000,357570,167800,24950,164820
2019-12-24 00:00:02,1577145602794,71630183169000,359690,169800,24700,165190
2019-12-24 00:00:04,1577145604794,71630185165000,358660,168830,24790,165040
2019-12-24 00:00:06,1577145606794,71630187152000,357620,167790,24660,165170
2019-12-24 00:00:08,1577145608794,71630189140000,357890,167920,24600,165370
2019-12-24 00:00:10,1577145610794,71630191126000,357070,167950,23630,165490
2019-12-24 00:00:12,1577145612794,71630193095000,353720,167670,20690,165360
2019-12-24 00:00:14,1577145614794,71630195063000,354600,167850,21230,165520
2019-12-24 00:00:16,1577145616794,71630197031000,353760,167550,20660,165550
2019-12-24 00:00:18,1577145618794,71630198985000,351250,167350,18260,165640
2019-12-24 00:00:20,1577145620794,71630200938000,351650,167930,18010,165710
2019-12-24 00:00:22,1577145622794,71630202889000,351040,167280,18080,165680
2019-12-24 00:00:24,1577145624794,71630204841000,351540,167320,18490,165730
2019-12-24 00:00:26,1577145626794,71630206794000,351350,167370,18440,165540
2019-12-24 00:00:28,1577145628794,71630208744000,351080,167250,18370,165460
2019-12-24 00:00:30,1577145630794,71630210841000,403900,220010,18420,165470
2019-12-24 00:00:32,1577145632794,71630214080000,633000,449320,17900,165780
2019-12-24 00:00:34,1577145634794,71630217734000,657500,473460,18240,165800
2019-12-24 00:00:36,1577145636794,71630220918000,520180,336100,18330,165750
2019-12-24 00:00:38,1577145638794,71630222998000,351010,167210,17910,165890
2019-12-24 00:00:40,1577145640793,71630224950000,351880,167450,18480,165950
2019-12-24 00:00:42,1577145642793,71630226914000,353920,168060,20670,165190
2019-12-24 00:00:44,1577145644793,71630228876000,352590,168050,18890,165650
2019-12-24 00:00:46,1577145646793,71630230832000,352190,168300,18000,165890
2019-12-24 00:00:48,1577145648793,71630232790000,352350,168140,18180,166030
2019-12-24 00:00:50,1577145650793,71630234748000,352410,168170,18390,165850
2019-12-24 00:00:52,1577145652793,71630236707000,352620,167930,18800,165890
2019-12-24 00:00:54,1577145654793,71630238664000,352490,167900,18470,166120
2019-12-24 00:00:56,1577145656793,71630240626000,353090,167950,18890,166250
2019-12-24 00:00:58,1577145658793,71630242587000,353100,168250,18630,166220
2019-12-24 00:01:00,1577145660793,71630244547000,352760,168210,18420,166130
2019-12-24 00:01:02,1577145662793,71630246521000,356660,168910,21360,166390
2019-12-24 00:01:04,1577145664793,71630248501000,355330,168710,20100,166520
2019-12-24 00:01:06,1577145666793,71630250463000,352650,168350,17910,166390
2019-12-24 00:01:08,1577145668793,71630252420000,352550,167930,18330,166290
2019-12-24 00:01:10,1577145670793,71630254390000,355310,168440,20460,166410
2019-12-24 00:01:12,1577145672793,71630256368000,356000,167790,21910,166300
2019-12-24 00:01:14,1577145674793,71630258334000,353000,167690,19080,166230
2019-12-24 00:01:16,1577145676793,71630260288000,351650,167420,17910,166320
2019-12-24 00:01:18,1577145678793,71630262243000,351960,167450,18110,166400
2019-12-24 00:01:20,1577145680793,71630264207000,354100,167420,20080,166600
2019-12-24 00:01:22,1577145682793,71630266179000,355330,167580,21380,166370
2019-12-24 00:01:24,1577145684793,71630268163000,357600,167580,23560,166460
2019-12-24 00:01:26,1577145686793,71630270138000,354480,167530,20620,166330
2019-12-24 00:01:28,1577145688793,71630272094000,351450,167570,18180,165700
2019-12-24 00:01:30,1577145690793,71630274047000,351930,167650,18090,166190
2019-12-24 00:01:32,1577145692793,71630276018000,355570,170150,18980,166440
2019-12-24 00:01:34,1577145694793,71630278126000,404610,219830,18360,166420
2019-12-24 00:01:36,1577145696793,71630281371000,634730,450350,17970,166410
2019-12-24 00:01:38,1577145698792,71630284993000,644660,459320,18790,166550
2019-12-24 00:01:40,1577145700792,71630287713000,422170,237030,18540,166600
2019-12-24 00:01:42,1577145702792,71630289677000,351220,166490,18020,166710
2019-12-24 00:01:44,1577145704792,71630291628000,351560,166260,18550,166750
2019-12-24 00:01:46,1577145706792,71630293591000,353580,166530,20360,166690
2019-12-24 00:01:48,1577145708792,71630295559000,354520,166720,21110,166690
2019-12-24 00:01:50,1577145710792,71630297523000,353090,166270,20120,166700
2019-12-24 00:01:52,1577145712792,71630299475000,350830,166060,18100,166670
2019-12-24 00:01:54,1577145714792,71630301424000,350810,166140,18000,166670
2019-12-24 00:01:56,1577145716792,71630303378000,352410,166400,19440,166570
2019-12-24 00:01:58,1577145718792,71630305340000,352840,166220,20030,166590
2019-12-24 00:02:00,1577145720792,71630307292000,351220,166470,18170,166580
2019-12-24 00:02:02,1577145722792,71630309247000,352120,167360,18050,166710
2019-12-24 00:02:04,1577145724792,71630311203000,351810,166600,18500,166710
2019-12-24 00:02:06,1577145726792,71630313152000,350650,166070,17850,166730
2019-12-24 00:02:08,1577145728792,71630315100000,350580,165920,17960,166700
2019-12-24 00:02:10,1577145730792,71630317050000,351260,166190,18370,166700
2019-12-24 00:02:12,1577145732792,71630318998000,350220,166110,18040,166070
2019-12-24 00:02:14,1577145734792,71630320943000,350110,165900,18000,166210
2019-12-24 00:02:16,1577145736792,71630322896000,352050,165800,19610,166640
2019-12-24 00:02:18,1577145738792,71630324846000,350910,166080,18050,166780
2019-12-24 00:02:20,1577145740792,71630326796000,350910,166240,18070,166600
2019-12-24 00:02:22,1577145742792,71630328745000,350860,165750,18390,166720
2019-12-24 00:02:24,1577145744792,71630330693000,350660,165670,18090,166900
2019-12-24 00:02:26,1577145746792,71630332641000,350590,165660,18090,166840
2019-12-24 00:02:28,1577145748792,71630334596000,352460,165660,19970,166830
2019-12-24 00:02:30,1577145750792,71630336564000,354610,166040,21890,166680
2019-12-24 00:02:32,1577145752792,71630338523000,351720,165780,18910,167030
2019-12-24 00:02:34,1577145754792,71630340471000,350600,165560,17930,167110
2019-12-24 00:02:36,1577145756791,71630342420000,350870,165590,18020,167260
2019-12-24 00:02:38,1577145758791,71630344516000,403100,216880,18970,167250
2019-12-24 00:02:40,1577145760791,71630347735000,629490,444480,17790,167220
2019-12-24 00:02:42,1577145762791,71630351363000,652140,466910,17840,167390
2019-12-24 00:02:44,1577145764791,71630354557000,524830,339100,18330,167400
2019-12-24 00:02:46,1577145766791,71630356647000,351590,166280,17870,167440
2019-12-24 00:02:48,1577145768791,71630358600000,351330,165960,17960,167410
2019-12-24 00:02:50,1577145770791,71630360559000,353470,165760,20230,167480
2019-12-24 00:02:52,1577145772791,71630362519000,351950,165910,18550,167490
