household
date,timestamp,energy,power,power1,power2,power3
2019-12-24 00:00:01,1577145601519,57168935323000,144190,10790,19460,113940
2019-12-24 00:00:03,1577145603519,57168936121000,143450,10680,19010,113760
2019-12-24 00:00:05,1577145605519,57168936917000,143430,10660,19150,113620
2019-12-24 00:00:07,1577145607519,57168937714000,143380,10640,19380,113360
2019-12-24 00:00:09,1577145609519,57168938509000,143060,10750,18980,113330
2019-12-24 00:00:11,1577145611518,57168939306000,143610,10860,19070,113680
2019-12-24 00:00:13,1577145613518,57168940105000,143760,10790,19290,113680
2019-12-24 00:00:15,1577145615518,57168940902000,143480,10800,19150,113530
2019-12-24 00:00:17,1577145617518,57168941699000,143410,10850,19000,113560
2019-12-24 00:00:19,1577145619518,57168942496000,143530,10890,19070,113570
2019-12-24 00:00:21,1577145621518,57168943294000,143720,10770,19650,113300
2019-12-24 00:00:23,1577145623518,57168944091000,143170,10670,19030,113470
2019-12-24 00:00:25,1577145625518,57168944886000,143080,10770,19010,113300
2019-12-24 00:00:27,1577145627517,57168945682000,143520,10840,19230,113450
2019-12-24 00:00:29,1577145629517,57168946479000,143260,10790,19320,113150
2019-12-24 00:00:31,1577145631517,57168947274000,143070,10710,19080,113280
2019-12-24 00:00:33,1577145633517,57168948069000,143350,10730,19050,113570
2019-12-24 00:00:35,1577145635517,57168948867000,143610,10730,19410,113470
2019-12-24 00:00:37,1577145637517,57168949662000,142810,10670,19040,113100
2019-12-24 00:00:39,1577145639517,57168950456000,143170,10850,19070,113250
2019-12-24 00:00:41,1577145641517,57168951253000,143350,10760,19160,113430
2019-12-24 00:00:43,1577145643517,57168952052000,144130,10810,19530,113790
2019-12-24 00:00:45,1577145645516,57168952853000,143970,10730,19050,114190
2019-12-24 00:00:47,1577145647516,57168953651000,143740,10740,19200,113800
2019-12-24 00:00:49,1577145649516,57168954450000,143710,10670,19470,113570
2019-12-24 00:00:51,1577145651516,57168955247000,143550,10800,19150,113600
2019-12-24 00:00:53,1577145653516,57168956044000,143290,10860,19100,113330
2019-12-24 00:00:55,1577145655516,57168956840000,143300,10820,19150,113330
2019-12-24 00:00:57,1577145657516,57168957636000,143230,10680,19060,113490
2019-12-24 00:00:59,1577145659516,57168958433000,143490,10800,19160,113530
2019-12-24 00:01:01,1577145661515,57168959228000,143090,10780,19080,113230
2019-12-24 00:01:03,1577145663515,57168960025000,143450,10760,19350,113340
2019-12-24 00:01:05,1577145665515,57168960820000,143110,10800,19030,113280
2019-12-24 00:01:07,1577145667515,57168961614000,142880,10720,19050,113110
2019-12-24 00:01:09,1577145669515,57168962408000,143010,10620,19230,113160
2019-12-24 00:01:11,1577145671515,57168963203000,143030,10640,19110,113280
2019-12-24 00:01:13,1577145673515,57168963999000,143270,10740,19160,113370
2019-12-24 00:01:15,1577145675515,57168964795000,143430,10740,19060,113630
2019-12-24 00:01:17,1577145677514,57168965593000,143640,10820,19290,113530
2019-12-24 00:01:19,1577145679514,57168966389000,143190,10730,19130,113330
2019-12-24 00:01:21,1577145681514,57168967184000,143050,10760,19160,113130
2019-12-24 00:01:23,1577145683514,57168967978000,143020,10760,19290,112970
2019-12-24 00:01:25,1577145685514,57168968774000,143010,10630,19290,113090
2019-12-24 00:01:27,1577145687514,57168969567000,142920,10650,19240,113030
2019-12-24 00:01:29,1577145689514,57168970362000,143130,10740,19150,113240
2019-12-24 00:01:31,1577145691514,57168971159000,143380,10760,19420,113200
2019-12-24 00:01:33,1577145693513,57168971953000,142740,10760,19070,112910
2019-12-24 00:01:35,1577145695513,57168972746000,142820,10870,19080,112870
2019-12-24 00:01:37,1577145697513,57168973540000,143150,10770,19420,112960
2019-12-24 00:01:39,1577145699513,57168974336000,143120,10740,19400,112980
2019-12-24 00:01:41,1577145701513,57168975130000,142850,10630,19100,113120
2019-12-24 00:01:43,1577145703513,57168975923000,142900,10660,19040,113200
2019-12-24 00:01:45,1577145705513,57168976720000,143610,10860,19450,113300
2019-12-24 00:01:47,1577145707513,57168977516000,143040,10830,19090,113120
2019-12-24 00:01:49,1577145709513,57168978310000,142990,10820,19100,113070
2019-12-24 00:01:51,1577145711512,57168979106000,143380,10780,19230,113370
2019-12-24 00:01:53,1577145713512,57168979902000,143120,10620,19400,113100
2019-12-24 00:01:55,1577145715512,57168980698000,143300,10820,19170,113310
2019-12-24 00:01:57,1577145717512,57168981494000,143400,10810,19110,113480
2019-12-24 00:01:59,1577145719512,57168982290000,143200,10770,19460,112970
2019-12-24 00:02:01,1577145721512,57168983085000,142970,10770,19140,113060
2019-12-24 00:02:03,1577145723512,57168983878000,142800,10670,19080,113050
2019-12-24 00:02:05,1577145725512,57168984673000,143240,10760,19370,113110
2019-12-24 00:02:07,1577145727511,57168985468000,142870,10680,19430,112760
2019-12-24 00:02:09,1577145729511,57168986261000,142710,10800,19060,112850
2019-12-24 00:02:11,1577145731511,57168987054000,142720,10690,19160,112870
2019-12-24 00:02:13,1577145733511,57168987848000,143080,10690,19550,112840
2019-12-24 00:02:15,1577145735511,57168988641000,142600,10670,19120,112810
2019-12-24 00:02:17,1577145737511,57168989433000,142700,10690,19130,112880
2019-12-24 00:02:19,1577145739511,57168990227000,142880,10890,19200,112790
2019-12-24 00:02:21,1577145741511,57168991023000,143330,10940,19440,112950
2019-12-24 00:02:23,1577145743510,57168991816000,142630,10800,19080,112750
2019-12-24 00:02:25,1577145745510,57168992608000,142650,10890,19000,112760
2019-12-24 00:02:27,1577145747510,57168993403000,143010,10780,19450,112780
2019-12-24 00:02:29,1577145749510,57168994196000,142640,10900,19130,112610
2019-12-24 00:02:31,1577145751510,57168994987000,142380,10680,19070,112630
2019-12-24 00:02:33,1577145753510,57168995779000,142770,10790,19330,112650
2019-12-24 00:02:35,1577145755510,57168996573000,142850,10840,19320,112690
2019-12-24 00:02:37,1577145757510,57168997366000,142610,10810,19110,112690
2019-12-24 00:02:39,1577145759509,57168998158000,142600,10740,19180,112680
2019-12-24 00:02:41,1577145761509,57168998951000,142840,10820,19360,112660
2019-12-24 00:02:43,1577145763509,57168999744000,142710,10810,19180,112720
2019-12-24 00:02:45,1577145765509,57169000536000,142580,10750,19020,112810
2019-12-24 00:02:47,1577145767509,57169001331000,143130,10910,19210,113010
2019-12-24 00:02:49,1577145769509,57169002125000,142720,10810,19260,112650
2019-12-24 00:02:51,1577145771509,57169002916000,142330,10770,19060,112500
2019-12-24 00:02:53,1577145773509,57169003707000,142440,10860,19040,112540
2019-12-24 00:02:55,1577145775509,57169004499000,142580,10740,19260,112580
2019-12-24 00:02:57,1577145777508,57169005291000,142570,10630,19100,112840
2019-12-24 00:02:59,1577145779508,57169006084000,142880,10840,19100,112940
2019-12-24 00:03:01,1577145781508,57169006880000,143390,10780,19400,113210
2019-12-24 00:03:03,1577145783508,57169007676000,143210,10710,19720,112780
2019-12-24 00:03:05,1577145785508,57169008470000,142720,10870,19380,112470
2019-12-24 00:03:07,1577145787508,57169009263000,142950,10880,19450,112620
