household
date,timestamp,energy,power,power1,power2,power3
2019-12-24 00:00:00,1577145600374,126228685094000,292980,96150,94370,102460
2019-12-24 00:00:02,1577145602374,126228686737000,296990,96770,96590,103630
2019-12-24 00:00:04,1577145604374,126228688389000,297150,96540,96900,103710
2019-12-24 00:00:06,1577145606374,126228690034000,295460,96320,95510,103630
2019-12-24 00:00:08,1577145608374,126228691670000,294520,96000,95040,103480
2019-12-24 00:00:10,1577145610374,126228693301000,293110,95650,93870,103590
2019-12-24 00:00:12,1577145612374,126228694933000,294430,95850,94790,103790
2019-12-24 00:00:14,1577145614374,126228696566000,293390,95650,94130,103610
2019-12-24 00:00:16,1577145616374,126228698192000,292820,96080,93140,103600
2019-12-24 00:00:18,1577145618374,126228699828000,294880,96170,95120,103590
2019-12-24 00:00:20,1577145620374,126228701461000,293460,95890,94130,103440
2019-12-24 00:00:22,1577145622374,126228703086000,292450,95860,93250,103340
2019-12-24 00:00:24,1577145624374,126228704709000,292000,95870,92960,103170
2019-12-24 00:00:26,1577145626374,126228706332000,291970,95870,92770,103330
2019-12-24 00:00:28,1577145628374,126228707953000,291990,95960,94510,101520
2019-12-24 00:00:30,1577145630374,126228709576000,291870,96250,94970,100650
2019-12-24 00:00:32,1577145632374,126228711191000,290470,95780,93550,101140
2019-12-24 00:00:34,1577145634374,126228712808000,291250,95560,94420,101270
2019-12-24 00:00:36,1577145636374,126228714425000,290890,95570,94460,100860
2019-12-24 00:00:38,1577145638374,126228716037000,289980,95380,93820,100780
2019-12-24 00:00:40,1577145640374,126228717652000,290790,95480,94280,101030
2019-12-24 00:00:42,1577145642374,126228719271000,292080,96220,94830,101030
2019-12-24 00:00:44,1577145644374,126228720896000,292090,96830,94180,101080
2019-12-24 00:00:46,1577145646374,126228722513000,290950,96150,94090,100710
2019-12-24 00:00:48,1577145648374,126228724126000,290130,95530,93790,100810
2019-12-24 00:00:50,1577145650374,126228725738000,290030,95460,94050,100520
2019-12-24 00:00:52,1577145652374,126228727351000,290630,95730,94650,100250
2019-12-24 00:00:54,1577145654374,126228728962000,289830,95650,93660,100520
2019-12-24 00:00:56,1577145656374,126228730576000,290760,96050,94250,100460
2019-12-24 00:00:58,1577145658374,126228732191000,290570,95710,94480,100380
2019-12-24 00:01:00,1577145660374,126228733802000,289700,95710,93670,100320
2019-12-24 00:01:02,1577145662374,126228735413000,290520,95770,94280,100470
2019-12-24 00:01:04,1577145664374,126228737027000,290260,95790,94060,100410
2019-12-24 00:01:06,1577145666374,126228738642000,290760,95640,94730,100390
2019-12-24 00:01:08,1577145668374,126228740258000,290930,95950,95040,99940
2019-12-24 00:01:10,1577145670374,126228741866000,288980,95670,93360,99950
2019-12-24 00:01:12,1577145672374,126228743474000,289560,95670,93950,99940
2019-12-24 00:01:14,1577145674373,126228745078000,288590,95870,92850,99870
2019-12-24 00:01:16,1577145676373,126228746688000,289970,95890,94000,100080
2019-12-24 00:01:18,1577145678373,126228748296000,289370,95760,93700,99910
2019-12-24 00:01:20,1577145680373,126228749905000,289650,95980,93900,99770
2019-12-24 00:01:22,1577145682373,126228751513000,289220,95570,93870,99780
2019-12-24 00:01:24,1577145684373,126228753120000,289580,95990,93580,100010
2019-12-24 00:01:26,1577145686373,126228754729000,289220,96130,93270,99820
2019-12-24 00:01:28,1577145688373,126228756333000,289020,95970,93730,99320
2019-12-24 00:01:30,1577145690373,126228757940000,289200,96100,93610,99490
2019-12-24 00:01:32,1577145692373,126228759555000,291090,96680,94940,99470
2019-12-24 00:01:34,1577145694373,126228761168000,290110,95700,95010,99400
2019-12-24 00:01:36,1577145696373,126228762780000,289990,95620,95110,99260
