household
date,timestamp,energy,power,power1,power2,power3
2019-12-24 00:00:01,1577145601257,64934779026000,95010,37950,45980,11080
2019-12-24 00:00:03,1577145603257,64934779556000,95580,37770,46710,11100
2019-12-24 00:00:05,1577145605257,64934780085000,95110,37790,46380,10940
2019-12-24 00:00:07,1577145607257,64934780615000,95430,37890,46570,10970
2019-12-24 00:00:09,1577145609257,64934781147000,95700,37860,46630,11210
2019-12-24 00:00:11,1577145611257,64934781677000,95470,37890,46470,11110
2019-12-24 00:00:13,1577145613257,64934782210000,96080,37940,46890,11250
2019-12-24 00:00:15,1577145615256,64934782742000,95760,37830,46800,11130
2019-12-24 00:00:17,1577145617256,64934783273000,95600,37810,46670,11120
2019-12-24 00:00:19,1577145619256,64934783806000,95870,38040,46620,11210
2019-12-24 00:00:21,1577145621256,64934784339000,96000,37920,46750,11330
2019-12-24 00:00:23,1577145623256,64934784871000,95780,37770,46780,11230
2019-12-24 00:00:25,1577145625256,64934785403000,95740,37910,46710,11120
2019-12-24 00:00:27,1577145627256,64934785933000,95240,37730,46400,11110
2019-12-24 00:00:29,1577145629256,64934786464000,95770,37850,46700,11220
2019-12-24 00:00:31,1577145631256,64934786998000,96040,37950,46890,11200
2019-12-24 00:00:33,1577145633255,64934787529000,95390,38010,46300,11080
2019-12-24 00:00:35,1577145635255,64934788056000,94770,38040,45710,11020
2019-12-24 00:00:37,1577145637255,64934788579000,93870,37840,44980,11050
2019-12-24 00:00:39,1577145639255,64934789101000,94090,37850,45250,10990
2019-12-24 00:00:41,1577145641255,64934789624000,94220,37850,45270,11100
2019-12-24 00:00:43,1577145643255,64934790150000,94680,37940,45500,11240
2019-12-24 00:00:45,1577145645255,64934790675000,94340,37940,45140,11260
2019-12-24 00:00:47,1577145647255,64934791196000,93830,37830,44860,11140
2019-12-24 00:00:49,1577145649254,64934791719000,94090,37890,45150,11050
2019-12-24 00:00:51,1577145651254,64934792243000,94630,37880,45670,11080
2019-12-24 00:00:53,1577145653254,64934792770000,94720,37910,45700,11110
2019-12-24 00:00:55,1577145655254,64934793295000,94520,37960,45420,11140
2019-12-24 00:00:57,1577145657254,64934793819000,94160,37930,45080,11150
2019-12-24 00:00:59,1577145659254,64934794342000,94210,37930,45110,11170
2019-12-24 00:01:01,1577145661254,64934794864000,93910,37760,45000,11150
