household
date,timestamp,energy,power,power1,power2,power3
2019-12-24 00:00:00,1577145600609,123128788704000,386350,110910,131870,143570
2019-12-24 00:00:02,1577145602609,123128790870000,390830,115320,131840,143670
2019-12-24 00:00:04,1577145604609,123128793052000,393070,117350,132080,143640
2019-12-24 00:00:06,1577145606609,123128795224000,390760,114940,132110,143710
2019-12-24 00:00:08,1577145608609,123128797392000,389080,113450,131900,143730
2019-12-24 00:00:10,1577145610609,123128799536000,385450,109930,131970,143550
2019-12-24 00:00:12,1577145612609,123128801676000,385120,109740,131890,143490
2019-12-24 00:00:14,1577145614609,123128803813000,384700,109610,131430,143660
2019-12-24 00:00:16,1577145616609,123128805962000,387590,112250,131790,143550
2019-12-24 00:00:18,1577145618609,123128808120000,388720,113540,131880,143300
2019-12-24 00:00:20,1577145620609,123128810292000,391610,116590,131370,143650
2019-12-24 00:00:22,1577145622609,123128812469000,391610,116440,131460,143710
2019-12-24 00:00:24,1577145624609,123128814643000,391700,115900,132140,143660
2019-12-24 00:00:26,1577145626608,123128816829000,394080,117280,133110,143690
2019-12-24 00:00:28,1577145628608,123128819024000,394900,118360,132870,143670
2019-12-24 00:00:30,1577145630608,123128821209000,393110,117090,132210,143810
2019-12-24 00:00:32,1577145632608,123128823389000,392020,116780,131640,143600
2019-12-24 00:00:34,1577145634608,123128825565000,391430,115800,131810,143820
2019-12-24 00:00:36,1577145636608,123128827734000,390290,114810,131760,143720
2019-12-24 00:00:38,1577145638608,123128829914000,393420,118180,131740,143500
2019-12-24 00:00:40,1577145640608,123128832103000,393330,117750,131950,143630
2019-12-24 00:00:42,1577145642608,123128834279000,391910,116590,131620,143700
2019-12-24 00:00:44,1577145644608,123128836456000,391420,116020,131590,143810
2019-12-24 00:00:46,1577145646608,123128838628000,391300,116030,131590,143680
2019-12-24 00:00:48,1577145648608,123128840817000,394920,119570,131610,143740
2019-12-24 00:00:50,1577145650608,123128843021000,396660,121370,131470,143820
2019-12-24 00:00:52,1577145652608,123128845213000,394070,118890,131470,143710
2019-12-24 00:00:54,1577145654608,123128847400000,393440,118240,131440,143760
2019-12-24 00:00:56,1577145656608,123128849585000,393540,118250,131550,143740
2019-12-24 00:00:58,1577145658608,123128851783000,396590,121030,131850,143710
2019-12-24 00:01:00,1577145660608,123128853993000,397530,122270,131600,143660
2019-12-24 00:01:02,1577145662608,123128856187000,393980,118520,131770,143690
2019-12-24 00:01:04,1577145664608,123128858362000,390970,115580,131710,143680
2019-12-24 00:01:06,1577145666608,123128860542000,393250,117380,131930,143940
2019-12-24 00:01:08,1577145668608,123128862732000,394160,118590,131660,143910
2019-12-24 00:01:10,1577145670608,123128864923000,394960,119190,131800,143970
2019-12-24 00:01:12,1577145672608,123128867133000,398310,121990,132740,143580
2019-12-24 00:01:14,1577145674608,123128869333000,394910,118220,133080,143610
2019-12-24 00:01:16,1577145676607,123128871515000,392310,116100,132660,143550
2019-12-24 00:01:18,1577145678608,123128873695000,392320,117120,131650,143550
2019-12-24 00:01:20,1577145680607,123128875854000,386950,111660,131600,143690
2019-12-24 00:01:22,1577145682607,123128877988000,383650,108270,131720,143660
2019-12-24 00:01:24,1577145684607,123128880113000,382000,106900,131580,143520
2019-12-24 00:01:26,1577145686607,123128882256000,388160,112760,131660,143740
2019-12-24 00:01:28,1577145688607,123128884438000,393240,117510,131790,143940
2019-12-24 00:01:30,1577145690607,123128886619000,392340,116930,131710,143700
2019-12-24 00:01:32,1577145692607,123128888802000,393520,117950,131920,143650
2019-12-24 00:01:34,1577145694607,123128890986000,392110,117030,131350,143730
2019-12-24 00:01:36,1577145696607,123128893136000,385610,110290,131590,143730
