household
date,timestamp,energy,power,power1,power2,power3
2019-12-24 00:00:01,1577145601420,50670127287000,42390,35740,5530,1120
2019-12-24 00:00:03,1577145603420,50670127524000,42610,35680,5820,1110
2019-12-24 00:00:05,1577145605420,50670127759000,42390,35730,5430,1230
2019-12-24 00:00:07,1577145607420,50670127994000,42300,35780,5350,1170
2019-12-24 00:00:09,1577145609420,50670128229000,42010,35720,5160,1130
2019-12-24 00:00:11,1577145611420,50670128462000,41980,35930,5000,1050
2019-12-24 00:00:13,1577145613420,50670128691000,40760,35840,4920,0
2019-12-24 00:00:15,1577145615419,50670128921000,41840,35920,4910,1010
2019-12-24 00:00:17,1577145617419,50670129154000,41970,35870,5030,1070
2019-12-24 00:00:19,1577145619419,50670129380000,40750,35850,4900,0
2019-12-24 00:00:21,1577145621419,50670129614000,42030,35930,5000,1100
2019-12-24 00:00:23,1577145623419,50670129844000,41000,35980,5020,0
2019-12-24 00:00:25,1577145625419,50670130078000,42010,35880,5040,1090
2019-12-24 00:00:27,1577145627419,50670130308000,40960,35950,5010,0
2019-12-24 00:00:29,1577145629419,50670130538000,41870,35870,4950,1050
2019-12-24 00:00:31,1577145631419,50670130770000,41780,35830,4800,1150
2019-12-24 00:00:33,1577145633418,50670131003000,41800,35840,4880,1080
2019-12-24 00:00:35,1577145635418,50670131231000,41630,35740,4890,1000
2019-12-24 00:00:37,1577145637418,50670131463000,41680,35660,4920,1100
2019-12-24 00:00:39,1577145639418,50670131694000,41580,35730,4770,1080
2019-12-24 00:00:41,1577145641418,50670131925000,41700,35830,4750,1120
2019-12-24 00:00:43,1577145643418,50670132155000,40890,35890,5000,0
2019-12-24 00:00:45,1577145645418,50670132384000,41690,35790,4870,1030
2019-12-24 00:00:47,1577145647418,50670132617000,41880,35950,4880,1050
2019-12-24 00:00:49,1577145649417,50670132849000,41830,35740,4850,1240
2019-12-24 00:00:51,1577145651417,50670133078000,40650,35770,4880,0
2019-12-24 00:00:53,1577145653417,50670133309000,41590,35670,4890,1030
2019-12-24 00:00:55,1577145655417,50670133534000,40540,35730,4810,0
2019-12-24 00:00:57,1577145657417,50670133763000,41670,35780,4790,1100
2019-12-24 00:00:59,1577145659417,50670133992000,40810,35790,5020,0
2019-12-24 00:01:01,1577145661417,50670134222000,41760,35770,5990,0
2019-12-24 00:01:03,1577145663417,50670134464000,43820,35640,8180,0
2019-12-24 00:01:05,1577145665417,50670134703000,42880,35930,6950,0
2019-12-24 00:01:07,1577145667416,50670134949000,45260,35860,8370,1030
2019-12-24 00:01:09,1577145669416,50670135195000,43550,35880,6650,1020
2019-12-24 00:01:11,1577145671416,50670135432000,42580,35930,5560,1090
2019-12-24 00:01:13,1577145673416,50670135667000,42060,35940,5070,1050
2019-12-24 00:01:15,1577145675416,50670135899000,41840,35960,4820,1060
2019-12-24 00:01:17,1577145677416,50670136131000,41710,35860,4760,1090
2019-12-24 00:01:19,1577145679416,50670136362000,41640,35840,4770,1030
2019-12-24 00:01:21,1577145681416,50670136595000,41790,35880,4870,1040
2019-12-24 00:01:23,1577145683416,50670136826000,41670,35930,4680,1060
2019-12-24 00:01:25,1577145685415,50670137054000,40580,35770,4810,0
2019-12-24 00:01:27,1577145687415,50670137281000,40850,35890,4960,0
2019-12-24 00:01:29,1577145689415,50670137508000,40810,35950,4860,0
2019-12-24 00:01:31,1577145691415,50670137741000,42060,36130,4890,1040
2019-12-24 00:01:33,1577145693415,50670137973000,41700,35740,4880,1080
2019-12-24 00:01:35,1577145695415,50670138202000,40590,35730,4860,0
2019-12-24 00:01:37,1577145697415,50670138430000,41630,35860,4750,1020
2019-12-24 00:01:39,1577145699414,50670138662000,41750,35850,4770,1130
2019-12-24 00:01:41,1577145701414,50670138894000,41810,35840,4860,1110
2019-12-24 00:01:43,1577145703414,50670139127000,41920,36020,4860,1040
2019-12-24 00:01:45,1577145705414,50670139359000,41710,35820,4830,1060
2019-12-24 00:01:47,1577145707414,50670139591000,41760,36000,4700,1060
2019-12-24 00:01:49,1577145709414,50670139823000,41790,35980,4740,1070
2019-12-24 00:01:51,1577145711414,50670140055000,41760,35960,4760,1040
2019-12-24 00:01:53,1577145713414,50670140286000,41550,35730,4670,1150
2019-12-24 00:01:55,1577145715414,50670140513000,40280,35650,4630,0
2019-12-24 00:01:57,1577145717413,50670140741000,41580,35830,4730,1020
2019-12-24 00:01:59,1577145719413,50670140973000,41890,36040,4790,1060
2019-12-24 00:02:01,1577145721413,50670141206000,42020,35850,5150,1020
2019-12-24 00:02:03,1577145723413,50670141449000,44300,36080,7150,1070
2019-12-24 00:02:05,1577145725413,50670141695000,44120,36000,7040,1080
2019-12-24 00:02:07,1577145727413,50670141933000,42350,35770,5490,1090
2019-12-24 00:02:09,1577145729413,50670142166000,41990,35990,4890,1110
2019-12-24 00:02:11,1577145731413,50670142400000,42170,36060,4940,1170
2019-12-24 00:02:13,1577145733412,50670142633000,41880,35820,5000,1060
2019-12-24 00:02:15,1577145735412,50670142865000,41620,35930,4670,1020
2019-12-24 00:02:17,1577145737412,50670143096000,41690,35840,4820,1030
2019-12-24 00:02:19,1577145739412,50670143328000,41600,35840,4710,1050
2019-12-24 00:02:21,1577145741412,50670143554000,40710,36030,4680,0
2019-12-24 00:02:23,1577145743412,50670143778000,40380,35740,4640,0
2019-12-24 00:02:25,1577145745412,50670144003000,40480,35840,4640,0
2019-12-24 00:02:27,1577145747412,50670144231000,40610,35980,4630,0
2019-12-24 00:02:29,1577145749412,50670144460000,41520,35810,4680,1030
2019-12-24 00:02:31,1577145751411,50670144686000,40290,35740,4550,0
2019-12-24 00:02:33,1577145753411,50670144911000,40530,35900,4630,0
2019-12-24 00:02:35,1577145755411,50670145143000,41810,36040,4750,1020
2019-12-24 00:02:37,1577145757411,50670145376000,42030,35890,5070,1070
2019-12-24 00:02:39,1577145759411,50670145613000,42710,36020,5670,1020
2019-12-24 00:02:41,1577145761411,50670145845000,41150,35990,5160,0
2019-12-24 00:02:43,1577145763411,50670146072000,40740,36070,4670,0
2019-12-24 00:02:45,1577145765411,50670146302000,42230,35910,5310,1010
2019-12-24 00:02:47,1577145767410,50670146540000,42590,35890,5690,1010
2019-12-24 00:02:49,1577145769410,50670146774000,42320,35830,5370,1120
2019-12-24 00:02:51,1577145771410,50670147009000,42120,35800,5130,1190
2019-12-24 00:02:53,1577145773410,50670147242000,41920,35860,4960,1100
2019-12-24 00:02:55,1577145775410,50670147475000,41970,35870,5020,1080
2019-12-24 00:02:57,1577145777410,50670147708000,41870,35960,4900,1010
2019-12-24 00:02:59,1577145779410,50670147936000,41510,35770,4730,1010
2019-12-24 00:03:01,1577145781410,50670148167000,41700,36000,4650,1050
2019-12-24 00:03:03,1577145783410,50670148399000,41520,35860,4550,1110
2019-12-24 00:03:05,1577145785409,50670148631000,41930,35930,4910,1090
2019-12-24 00:03:07,1577145787409,50670148864000,41820,35770,4980,1070
2019-12-24 00:03:09,1577145789409,50670149097000,42040,35920,4890,1230
2019-12-24 00:03:11,1577145791409,50670149330000,42080,36190,4860,1030
2019-12-24 00:03:13,1577145793409,50670149561000,41910,35990,4910,1010
2019-12-24 00:03:15,1577145795409,50670149790000,40610,35920,4690,0
2019-12-24 00:03:17,1577145797409,50670150016000,40700,36020,4680,0
2019-12-24 00:03:19,1577145799409,50670150240000,40420,35900,4520,0
2019-12-24 00:03:21,1577145801408,50670150466000,40780,36180,4600,0
2019-12-24 00:03:23,1577145803408,50670150694000,41450,35860,4550,1040
2019-12-24 00:03:25,1577145805408,50670150925000,41560,35890,4630,1040
2019-12-24 00:03:27,1577145807408,50670151154000,40600,35970,4630,0
2019-12-24 00:03:29,1577145809408,50670151385000,41730,35900,4650,1180
2019-12-24 00:03:31,1577145811408,50670151617000,41810,35990,4690,1130
2019-12-24 00:03:33,1577145813408,50670151848000,41580,35850,4610,1120
2019-12-24 00:03:35,1577145815408,50670152079000,41490,35930,4510,1050
2019-12-24 00:03:37,1577145817408,50670152314000,42680,36980,4420,1280
2019-12-24 00:03:39,1577145819407,50670152554000,43190,37690,4450,1050
