household
date,timestamp,energy,power,power1,power2,power3
2019-12-24 00:00:00,1577145600472,138851588825000,289630,97410,162430,29790
2019-12-24 00:00:02,1577145602472,138851590434000,289430,97320,162350,29760
2019-12-24 00:00:04,1577145604472,138851592042000,289740,97340,162660,29740
2019-12-24 00:00:06,1577145606472,138851593651000,289450,97320,162430,29700
2019-12-24 00:00:08,1577145608472,138851595256000,288780,96880,162260,29640
2019-12-24 00:00:10,1577145610472,138851596862000,289090,97320,162310,29460
2019-12-24 00:00:12,1577145612472,138851598471000,289700,97410,162520,29770
2019-12-24 00:00:14,1577145614472,138851600078000,289040,97190,162120,29730
2019-12-24 00:00:16,1577145616472,138851601683000,289120,97310,162070,29740
2019-12-24 00:00:18,1577145618472,138851603290000,289150,97410,162020,29720
2019-12-24 00:00:20,1577145620472,138851604897000,289310,97530,162090,29690
2019-12-24 00:00:22,1577145622472,138851606503000,288980,97300,161910,29770
2019-12-24 00:00:24,1577145624472,138851608141000,297660,105970,162040,29650
2019-12-24 00:00:26,1577145626472,138851609828000,303780,112280,161720,29780
2019-12-24 00:00:28,1577145628472,138851611499000,298010,112330,155890,29790
2019-12-24 00:00:30,1577145630472,138851612961000,251900,112430,109620,29850
2019-12-24 00:00:32,1577145632472,138851614343000,253280,121080,102540,29660
2019-12-24 00:00:34,1577145634472,138851615911000,289960,157730,102400,29830
2019-12-24 00:00:36,1577145636472,138851617542000,293890,161550,102680,29660
2019-12-24 00:00:38,1577145638472,138851619176000,294050,161800,102340,29910
2019-12-24 00:00:40,1577145640472,138851620811000,294330,161810,102870,29650
2019-12-24 00:00:42,1577145642472,138851622444000,293950,161850,102520,29580
2019-12-24 00:00:44,1577145644472,138851624078000,293920,161810,102430,29680
2019-12-24 00:00:46,1577145646472,138851625716000,295920,163540,102590,29790
2019-12-24 00:00:48,1577145648472,138851627406000,307670,172960,105110,29600
2019-12-24 00:00:50,1577145650472,138851629206000,327390,156390,141190,29810
2019-12-24 00:00:52,1577145652472,138851630943000,308470,127140,151580,29750
2019-12-24 00:00:54,1577145654472,138851632656000,308500,127540,151350,29610
2019-12-24 00:00:56,1577145656472,138851634373000,309010,127420,151820,29770
2019-12-24 00:00:58,1577145658472,138851636087000,308250,127230,151360,29660
2019-12-24 00:01:00,1577145660472,138851637801000,308710,127250,151890,29570
2019-12-24 00:01:02,1577145662472,138851639515000,308780,127120,151930,29730
2019-12-24 00:01:04,1577145664472,138851641269000,318690,127200,161820,29670
2019-12-24 00:01:06,1577145666472,138851642996000,303240,127130,146320,29790
2019-12-24 00:01:08,1577145668472,138851644541000,273890,127090,116940,29860
2019-12-24 00:01:10,1577145670472,138851646064000,274060,127040,117160,29860
2019-12-24 00:01:12,1577145672472,138851647584000,273650,127070,116870,29710
2019-12-24 00:01:14,1577145674472,138851649106000,273880,127100,117040,29740
2019-12-24 00:01:16,1577145676472,138851650624000,273050,126850,116570,29630
2019-12-24 00:01:18,1577145678472,138851652143000,273570,126780,117060,29730
2019-12-24 00:01:20,1577145680472,138851653661000,273070,126570,116640,29860
2019-12-24 00:01:22,1577145682472,138851655178000,273080,126690,116700,29690
2019-12-24 00:01:24,1577145684472,138851656697000,273430,126780,116940,29710
2019-12-24 00:01:26,1577145686472,138851658217000,273820,127380,116730,29710
2019-12-24 00:01:28,1577145688472,138851659736000,273230,126590,116920,29720
2019-12-24 00:01:30,1577145690472,138851661253000,273200,126670,116790,29740
2019-12-24 00:01:32,1577145692472,138851662772000,273260,126450,117070,29740
2019-12-24 00:01:34,1577145694472,138851664289000,273080,126730,116600,29750
2019-12-24 00:01:36,1577145696472,138851665806000,273010,126630,116670,29710
2019-12-24 00:01:38,1577145698472,138851667320000,272430,126560,116060,29810
2019-12-24 00:01:40,1577145700472,138851668836000,272830,126400,116770,29660
2019-12-24 00:01:42,1577145702472,138851670349000,271920,125530,116590,29800
2019-12-24 00:01:44,1577145704472,138851671830000,264290,117950,116560,29780
2019-12-24 00:01:46,1577145706472,138851673269000,258100,111990,116380,29730
2019-12-24 00:01:48,1577145708472,138851674703000,258110,111690,116650,29770
2019-12-24 00:01:50,1577145710472,138851676135000,257790,111580,116570,29640
2019-12-24 00:01:52,1577145712472,138851677569000,258420,111620,117150,29650
2019-12-24 00:01:54,1577145714472,138851679065000,273780,111520,132650,29610
2019-12-24 00:01:56,1577145716472,138851680585000,271950,111830,130230,29890
2019-12-24 00:01:58,1577145718472,138851682080000,268610,112000,127080,29530
2019-12-24 00:02:00,1577145720472,138851683572000,268330,111830,126810,29690
2019-12-24 00:02:02,1577145722472,138851685057000,267040,111690,125590,29760
2019-12-24 00:02:04,1577145724472,138851686541000,267060,111680,125510,29870
2019-12-24 00:02:06,1577145726472,138851688022000,266460,111590,125090,29780
2019-12-24 00:02:08,1577145728472,138851689500000,266100,111700,124670,29730
2019-12-24 00:02:10,1577145730472,138851691002000,272760,118330,124710,29720
2019-12-24 00:02:12,1577145732472,138851692554000,280580,126530,124320,29730
2019-12-24 00:02:14,1577145734472,138851694114000,280910,126970,124220,29720
2019-12-24 00:02:16,1577145736472,138851695674000,280530,126720,123950,29860
2019-12-24 00:02:18,1577145738472,138851697229000,279840,126700,123390,29750
2019-12-24 00:02:20,1577145740472,138851698786000,280230,126550,123910,29770
2019-12-24 00:02:22,1577145742472,138851700340000,279560,126550,123170,29840
2019-12-24 00:02:24,1577145744472,138851701893000,279580,126510,123230,29840
2019-12-24 00:02:26,1577145746472,138851703428000,273980,126710,117250,30020
2019-12-24 00:02:28,1577145748472,138851704910000,265640,126800,109020,29820
2019-12-24 00:02:30,1577145750472,138851706386000,265550,127000,108790,29760
2019-12-24 00:02:32,1577145752472,138851707857000,264640,126520,108510,29610
2019-12-24 00:02:34,1577145754472,138851709327000,264660,126790,108310,29560
2019-12-24 00:02:36,1577145756472,138851710801000,265310,126690,108920,29700
2019-12-24 00:02:38,1577145758472,138851712271000,264410,126780,107960,29670
2019-12-24 00:02:40,1577145760472,138851713741000,264670,126630,108310,29730
2019-12-24 00:02:42,1577145762472,138851715199000,261080,123300,108020,29760
2019-12-24 00:02:44,1577145764472,138851716613000,252220,114630,107930,29660
2019-12-24 00:02:46,1577145766472,138851717996000,248770,111640,107330,29800
2019-12-24 00:02:48,1577145768472,138851719380000,249190,111610,107780,29800
2019-12-24 00:02:50,1577145770472,138851720756000,246310,108850,107770,29690
2019-12-24 00:02:52,1577145772472,138851722078000,235500,98120,107660,29720
2019-12-24 00:02:54,1577145774472,138851723379000,234140,97150,107320,29670
2019-12-24 00:02:56,1577145776472,138851724680000,234400,97310,107440,29650
2019-12-24 00:02:58,1577145778472,138851725983000,234540,97090,107650,29800
2019-12-24 00:03:00,1577145780472,138851727286000,234280,97470,107110,29700
2019-12-24 00:03:02,1577145782472,138851728588000,234540,97500,107230,29810
2019-12-24 00:03:04,1577145784472,138851729889000,234060,97120,107130,29810
2019-12-24 00:03:06,1577145786472,138851731191000,234500,97210,107600,29690
2019-12-24 00:03:08,1577145788472,138851732492000,234060,97180,107200,29680
2019-12-24 00:03:10,1577145790472,138851733793000,234360,97280,107330,29750
2019-12-24 00:03:12,1577145792472,138851735097000,234480,97300,107520,29660
2019-12-24 00:03:14,1577145794472,138851736397000,234110,97060,107380,29670
2019-12-24 00:03:16,1577145796472,138851737697000,233800,97000,107040,29760
2019-12-24 00:03:18,1577145798472,138851738994000,233390,96910,106670,29810
2019-12-24 00:03:20,1577145800472,138851740293000,234100,97130,107180,29790
2019-12-24 00:03:22,1577145802472,138851741590000,233260,97290,106230,29740
2019-12-24 00:03:24,1577145804472,138851742876000,230490,97080,103670,29740
2019-12-24 00:03:26,1577145806472,138851744150000,229170,97150,102290,29730
2019-12-24 00:03:28,1577145808472,138851745426000,229920,97260,102830,29830
2019-12-24 00:03:30,1577145810472,138851746701000,229450,97310,102390,29750
2019-12-24 00:03:32,1577145812472,138851747977000,229720,97270,102660,29790
2019-12-24 00:03:34,1577145814472,138851749251000,229290,96970,102550,29770
2019-12-24 00:03:36,1577145816472,138851750526000,229400,96870,102860,29670
2019-12-24 00:03:38,1577145818472,138851751797000,228750,97100,101980,29670
2019-12-24 00:03:40,1577145820472,138851753071000,229420,97050,102650,29720
2019-12-24 00:03:42,1577145822472,138851754345000,229160,97020,102330,29810
2019-12-24 00:03:44,1577145824472,138851755620000,229630,97020,102790,29820
2019-12-24 00:03:46,1577145826472,138851756893000,228940,97010,102280,29650
2019-12-24 00:03:48,1577145828472,138851758166000,229310,97150,102430,29730
2019-12-24 00:03:50,1577145830472,138851759458000,234740,102960,102110,29670
2019-12-24 00:03:52,1577145832472,138851760804000,243900,111720,102470,29710
