household
date,timestamp,energy,power,power1,power2,power3
2019-12-24 00:00:00,1577145600962,184819911788000,158290,0,51650,106640
2019-12-24 00:00:02,1577145602962,184819912666000,158140,0,51770,106370
2019-12-24 00:00:04,1577145604962,184819913544000,158110,0,51450,106660
2019-12-24 00:00:06,1577145606962,184819914426000,158610,0,51720,106890
2019-12-24 00:00:08,1577145608962,184819915306000,158460,0,52090,106370
2019-12-24 00:00:10,1577145610962,184819916188000,159050,0,52560,106490
2019-12-24 00:00:12,1577145612962,184819917072000,158990,0,52430,106560
2019-12-24 00:00:14,1577145614962,184819917953000,158340,0,51910,106430
2019-12-24 00:00:16,1577145616962,184819918829000,157740,0,51350,106390
2019-12-24 00:00:18,1577145618962,184819919707000,158010,0,51490,106520
2019-12-24 00:00:20,1577145620962,184819920586000,158420,0,51620,106800
2019-12-24 00:00:22,1577145622962,184819921468000,158920,0,52180,106740
2019-12-24 00:00:24,1577145624962,184819922353000,159180,0,52760,106420
2019-12-24 00:00:26,1577145626962,184819923238000,159310,0,53000,106310
2019-12-24 00:00:28,1577145628962,184819924124000,159790,0,52870,106920
2019-12-24 00:00:30,1577145630962,184819925016000,160740,0,53270,107470
2019-12-24 00:00:32,1577145632962,184819925908000,160410,0,53740,106670
2019-12-24 00:00:34,1577145634962,184819926794000,158850,0,52240,106610
2019-12-24 00:00:36,1577145636962,184819927675000,158790,0,51570,107220
2019-12-24 00:00:38,1577145638962,184819928554000,158020,0,51250,106770
2019-12-24 00:00:40,1577145640962,184819929432000,158010,0,51190,106820
2019-12-24 00:00:42,1577145642962,184819930310000,158190,0,51260,106930
2019-12-24 00:00:44,1577145644962,184819931199000,160550,0,50660,109890
2019-12-24 00:00:46,1577145646962,184819932082000,158280,0,50540,107740
2019-12-24 00:00:48,1577145648962,184819932958000,157550,0,50470,107080
2019-12-24 00:00:50,1577145650962,184819933833000,157630,0,50360,107270
2019-12-24 00:00:52,1577145652962,184819934710000,157960,0,50030,107930
2019-12-24 00:00:54,1577145654962,184819935585000,157190,0,49990,107200
2019-12-24 00:00:56,1577145656962,184819936457000,156870,0,49770,107100
2019-12-24 00:00:58,1577145658962,184819937329000,157040,0,49860,107180
2019-12-24 00:01:00,1577145660962,184819938201000,157050,0,49780,107270
2019-12-24 00:01:02,1577145662962,184819939077000,157930,0,50610,107320
2019-12-24 00:01:04,1577145664962,184819939957000,158250,0,51170,107080
2019-12-24 00:01:06,1577145666962,184819940835000,158460,0,50850,107610
2019-12-24 00:01:08,1577145668962,184819941717000,158170,0,50670,107500
2019-12-24 00:01:10,1577145670962,184819942588000,156780,0,49830,106950
2019-12-24 00:01:12,1577145672962,184819943459000,156710,0,49650,107060
2019-12-24 00:01:14,1577145674962,184819944333000,157640,0,49880,107760
2019-12-24 00:01:16,1577145676962,184819945209000,157580,0,50060,107520
2019-12-24 00:01:18,1577145678962,184819946083000,157180,0,50160,107020
2019-12-24 00:01:20,1577145680962,184819946955000,156810,0,49630,107180
2019-12-24 00:01:22,1577145682962,184819947827000,157170,0,49230,107940
2019-12-24 00:01:24,1577145684962,184819948698000,156540,0,49180,107360
2019-12-24 00:01:26,1577145686962,184819949570000,157190,0,49650,107540
2019-12-24 00:01:28,1577145688961,184819950447000,158040,0,49840,108200
2019-12-24 00:01:30,1577145690961,184819951322000,157200,0,49800,107400
2019-12-24 00:01:32,1577145692961,184819952195000,157170,0,50190,106980
2019-12-24 00:01:34,1577145694961,184819953070000,157560,0,50310,107250
2019-12-24 00:01:36,1577145696961,184819953946000,157830,0,49930,107900
2019-12-24 00:01:38,1577145698961,184819954822000,157410,0,49900,107510
2019-12-24 00:01:40,1577145700961,184819955693000,156720,0,49550,107170
2019-12-24 00:01:42,1577145702961,184819956562000,156270,0,49220,107050
2019-12-24 00:01:44,1577145704961,184819957431000,156770,0,49160,107610
2019-12-24 00:01:46,1577145706961,184819958304000,156950,0,49420,107530
2019-12-24 00:01:48,1577145708961,184819959174000,156590,0,49280,107310
2019-12-24 00:01:50,1577145710961,184819960044000,156700,0,49540,107160
