household
date,timestamp,energy,power,power1,power2,power3
2019-12-24 00:00:01,1577145601050,67925312142000,90390,4710,78700,6980
2019-12-24 00:00:03,1577145603050,67925312642000,89900,4780,78150,6970
2019-12-24 00:00:05,1577145605050,67925313141000,89900,4700,78280,6920
2019-12-24 00:00:07,1577145607049,67925313641000,90170,4620,78600,6950
2019-12-24 00:00:09,1577145609049,67925314144000,90580,4960,78740,6880
2019-12-24 00:00:11,1577145611049,67925314644000,89740,4670,78140,6930
2019-12-24 00:00:13,1577145613049,67925315144000,90200,4860,78460,6880
2019-12-24 00:00:15,1577145615049,67925315648000,90690,4750,79140,6800
2019-12-24 00:00:17,1577145617049,67925316149000,90170,4900,78320,6950
2019-12-24 00:00:19,1577145619049,67925316648000,89730,4800,78040,6890
2019-12-24 00:00:21,1577145621049,67925317148000,90160,4710,78480,6970
2019-12-24 00:00:23,1577145623049,67925317652000,90650,4870,78720,7060
2019-12-24 00:00:25,1577145625049,67925318154000,90310,4920,78390,7000
2019-12-24 00:00:27,1577145627048,67925318654000,90080,4900,78190,6990
2019-12-24 00:00:29,1577145629048,67925319157000,90650,4850,78930,6870
2019-12-24 00:00:31,1577145631048,67925319660000,90380,4760,78660,6960
2019-12-24 00:00:33,1577145633048,67925320161000,90180,4760,78420,7000
2019-12-24 00:00:35,1577145635048,67925320662000,90140,4990,78150,7000
2019-12-24 00:00:37,1577145637048,67925321163000,90100,4850,78330,6920
2019-12-24 00:00:39,1577145639048,67925321662000,89930,4680,78460,6790
2019-12-24 00:00:41,1577145641048,67925322161000,89820,4910,78010,6900
2019-12-24 00:00:43,1577145643048,67925322663000,90610,4910,78700,7000
2019-12-24 00:00:45,1577145645047,67925323168000,90740,4850,78910,6980
2019-12-24 00:00:47,1577145647047,67925323668000,89670,4770,78110,6790
2019-12-24 00:00:49,1577145649047,67925324165000,89630,4810,77910,6910
2019-12-24 00:00:51,1577145651047,67925324665000,90180,4800,78520,6860
2019-12-24 00:00:53,1577145653047,67925325170000,90940,4770,79180,6990
2019-12-24 00:00:55,1577145655047,67925325672000,90120,4850,78290,6980
2019-12-24 00:00:57,1577145657047,67925326173000,90410,4970,78270,7170
2019-12-24 00:00:59,1577145659047,67925326676000,90460,4880,78500,7080
2019-12-24 00:01:01,1577145661047,67925327179000,90400,4780,78580,7040
2019-12-24 00:01:03,1577145663046,67925327680000,90300,4970,78390,6940
2019-12-24 00:01:05,1577145665046,67925328182000,90400,4890,78680,6830
2019-12-24 00:01:07,1577145667046,67925328686000,90660,4960,78840,6860
2019-12-24 00:01:09,1577145669046,67925329187000,90240,4790,78400,7050
2019-12-24 00:01:11,1577145671046,67925329687000,89860,4840,78020,7000
2019-12-24 00:01:13,1577145673046,67925330189000,90520,4840,78790,6890
2019-12-24 00:01:15,1577145675046,67925330691000,90300,4750,78730,6820
2019-12-24 00:01:17,1577145677046,67925331192000,90030,4730,78450,6850
2019-12-24 00:01:19,1577145679046,67925331695000,90740,4750,79120,6870
2019-12-24 00:01:21,1577145681045,67925332199000,90800,4900,79030,6870
2019-12-24 00:01:23,1577145683045,67925332700000,90020,4870,78300,6850
2019-12-24 00:01:25,1577145685045,67925333200000,89990,4870,78140,6980
2019-12-24 00:01:27,1577145687045,67925333701000,90330,4870,78590,6870
2019-12-24 00:01:29,1577145689045,67925334206000,90780,4780,79010,6990
2019-12-24 00:01:31,1577145691045,67925334709000,90570,4890,78680,7000
2019-12-24 00:01:33,1577145693045,67925335210000,90020,4900,78140,6980
2019-12-24 00:01:35,1577145695045,67925335712000,90540,4840,78890,6810
2019-12-24 00:01:37,1577145697045,67925336215000,90440,4690,78750,7000
2019-12-24 00:01:39,1577145699045,67925336715000,90020,4710,78360,6950
2019-12-24 00:01:41,1577145701044,67925337216000,90250,4770,78560,6920
2019-12-24 00:01:43,1577145703044,67925337719000,90490,4860,78770,6860
2019-12-24 00:01:45,1577145705044,67925338219000,89930,4850,78140,6940
2019-12-24 00:01:47,1577145707044,67925338718000,89800,4860,77980,6960
2019-12-24 00:01:49,1577145709044,67925339220000,90460,4690,78850,6920
2019-12-24 00:01:51,1577145711044,67925339723000,90640,4800,78790,7050
2019-12-24 00:01:53,1577145713044,67925340225000,90180,4800,78500,6880
2019-12-24 00:01:55,1577145715044,67925340726000,90310,4880,78460,6970
2019-12-24 00:01:57,1577145717044,67925341228000,90330,4740,78780,6810
2019-12-24 00:01:59,1577145719043,67925341730000,90380,4830,78470,7080
2019-12-24 00:02:01,1577145721043,67925342230000,90030,4820,78350,6860
2019-12-24 00:02:03,1577145723043,67925342733000,90700,4820,78920,6960
2019-12-24 00:02:05,1577145725043,67925343237000,90530,4760,78710,7060
2019-12-24 00:02:07,1577145727043,67925343738000,89980,4790,78180,7010
2019-12-24 00:02:09,1577145729043,67925344238000,90080,4890,78210,6980
2019-12-24 00:02:11,1577145731043,67925344742000,90860,4850,79000,7010
2019-12-24 00:02:13,1577145733043,67925345244000,90370,4830,78460,7080
2019-12-24 00:02:15,1577145735043,67925345745000,90130,4850,78340,6940
2019-12-24 00:02:17,1577145737042,67925346248000,90530,4980,78700,6850
2019-12-24 00:02:19,1577145739042,67925346752000,90880,4860,78980,7040
2019-12-24 00:02:21,1577145741042,67925347257000,90680,4840,78920,6920
2019-12-24 00:02:23,1577145743042,67925347758000,90100,4980,78210,6910
2019-12-24 00:02:25,1577145745042,67925348260000,90480,4780,78750,6950
2019-12-24 00:02:27,1577145747042,67925348763000,90630,4990,78670,6970
2019-12-24 00:02:29,1577145749042,67925349264000,90020,4910,78230,6880
2019-12-24 00:02:31,1577145751042,67925349765000,90410,4890,78530,6990
2019-12-24 00:02:33,1577145753042,67925350271000,91090,4950,79140,7000
2019-12-24 00:02:35,1577145755041,67925350774000,90380,4620,78760,7000
2019-12-24 00:02:37,1577145757041,67925351274000,89990,4870,78120,7000
2019-12-24 00:02:39,1577145759041,67925351776000,90350,4740,78630,6980
2019-12-24 00:02:41,1577145761041,67925352279000,90510,4940,78510,7060
2019-12-24 00:02:43,1577145763041,67925352781000,90320,4920,78410,6990
2019-12-24 00:02:45,1577145765041,67925353281000,90060,4990,78200,6870
2019-12-24 00:02:47,1577145767041,67925353784000,90610,4860,78820,6930
2019-12-24 00:02:49,1577145769041,67925354287000,90540,4960,78640,6940
2019-12-24 00:02:51,1577145771041,67925354787000,89770,4830,78070,6870
2019-12-24 00:02:53,1577145773041,67925355287000,90290,4850,78460,6980
2019-12-24 00:02:55,1577145775040,67925355791000,90650,4870,78750,7030
2019-12-24 00:02:57,1577145777040,67925356293000,90360,4810,78490,7060
2019-12-24 00:02:59,1577145779040,67925356794000,89980,4880,78100,7000
2019-12-24 00:03:01,1577145781040,67925357294000,90240,4810,78460,6970
2019-12-24 00:03:03,1577145783040,67925357798000,90750,4700,79070,6980
2019-12-24 00:03:05,1577145785040,67925358300000,90060,4770,78370,6920
2019-12-24 00:03:07,1577145787040,67925358798000,89720,4620,78260,6840
2019-12-24 00:03:09,1577145789040,67925359299000,90370,4690,78710,6970
2019-12-24 00:03:11,1577145791040,67925359803000,90600,4800,78790,7010
2019-12-24 00:03:13,1577145793039,67925360305000,90360,4890,78500,6970
2019-12-24 00:03:15,1577145795039,67925360806000,90070,4910,78250,6910
2019-12-24 00:03:17,1577145797039,67925361309000,90930,4990,79030,6910
2019-12-24 00:03:19,1577145799039,67925361813000,90440,4930,78460,7050
2019-12-24 00:03:21,1577145801039,67925362314000,90090,4840,78430,6820
2019-12-24 00:03:23,1577145803039,67925362815000,90490,4750,78850,6890
2019-12-24 00:03:25,1577145805039,67925363323000,91390,4770,79590,7030
2019-12-24 00:03:27,1577145807039,67925363827000,90660,4820,78690,7150
2019-12-24 00:03:29,1577145809039,67925364328000,90020,4810,78180,7030
2019-12-24 00:03:31,1577145811038,67925364831000,90780,4920,78770,7090
2019-12-24 00:03:33,1577145813038,67925365336000,90880,4930,79010,6940
2019-12-24 00:03:35,1577145815038,67925365840000,90420,4960,78540,6920
2019-12-24 00:03:37,1577145817038,67925366339000,89900,4780,78170,6950
2019-12-24 00:03:39,1577145819038,67925366841000,90460,4770,78710,6980
2019-12-24 00:03:41,1577145821038,67925367344000,90630,4900,78840,6890
2019-12-24 00:03:43,1577145823038,67925367845000,90030,4910,78180,6940
2019-12-24 00:03:45,1577145825038,67925368346000,90330,4950,78540,6840
2019-12-24 00:03:47,1577145827038,67925368850000,90720,4970,78820,6930
2019-12-24 00:03:49,1577145829037,67925369351000,89750,4820,78130,6800
2019-12-24 00:03:51,1577145831037,67925369847000,89480,4710,77950,6820
2019-12-24 00:03:53,1577145833037,67925370347000,90110,4680,78560,6870
2019-12-24 00:03:55,1577145835037,67925370850000,90580,4840,78840,6900
2019-12-24 00:03:57,1577145837037,67925371351000,90010,4850,78170,6990
2019-12-24 00:03:59,1577145839037,67925371851000,90060,4880,78150,7030
2019-12-24 00:04:01,1577145841037,67925372354000,90770,4890,78910,6970
2019-12-24 00:04:03,1577145843037,67925372857000,90390,4750,78830,6810
2019-12-24 00:04:05,1577145845037,67925373358000,90140,4830,78260,7050
2019-12-24 00:04:07,1577145847037,67925373859000,90120,4880,78270,6970
2019-12-24 00:04:09,1577145849036,67925374361000,90430,4790,78680,6960
2019-12-24 00:04:11,1577145851036,67925374862000,90130,4810,78370,6950
2019-12-24 00:04:13,1577145853036,67925375362000,89960,4690,78220,7050
2019-12-24 00:04:15,1577145855036,67925375864000,90420,4780,78620,7020
2019-12-24 00:04:17,1577145857036,67925376367000,90670,4840,78950,6880
2019-12-24 00:04:19,1577145859036,67925376867000,89730,4820,78010,6900
2019-12-24 00:04:21,1577145861036,67925377368000,90420,4790,78620,7010
2019-12-24 00:04:23,1577145863036,67925377872000,90760,4810,79030,6920
2019-12-24 00:04:25,1577145865036,67925378375000,90370,5020,78420,6930
2019-12-24 00:04:27,1577145867035,67925378875000,90110,4870,78270,6970
2019-12-24 00:04:29,1577145869035,67925379377000,90310,4730,78750,6830
2019-12-24 00:04:31,1577145871035,67925379879000,90350,4720,78780,6850
2019-12-24 00:04:33,1577145873035,67925380379000,89920,4860,78240,6820
2019-12-24 00:04:35,1577145875035,67925380879000,90050,4900,78290,6860
2019-12-24 00:04:37,1577145877035,67925381381000,90510,4910,78710,6890
2019-12-24 00:04:39,1577145879035,67925381885000,90650,4820,78940,6890
2019-12-24 00:04:41,1577145881035,67925382386000,90100,4790,78250,7060
2019-12-24 00:04:43,1577145883035,67925382887000,90130,4840,78220,7070
2019-12-24 00:04:45,1577145885034,67925383390000,90780,4890,79000,6890
2019-12-24 00:04:47,1577145887035,67925383893000,90350,4830,78650,6870
2019-12-24 00:04:49,1577145889034,67925384395000,90340,4860,78660,6820
2019-12-24 00:04:51,1577145891034,67925384897000,90450,4830,78590,7030
2019-12-24 00:04:53,1577145893034,67925385399000,90240,4700,78620,6920
2019-12-24 00:04:55,1577145895034,67925385900000,90240,4860,78430,6950
2019-12-24 00:04:57,1577145897034,67925386401000,90320,4850,78610,6860
2019-12-24 00:04:59,1577145899034,67925386907000,91060,4760,79310,6990
2019-12-24 00:05:01,1577145901034,67925387409000,90400,4910,78600,6890
2019-12-24 00:05:03,1577145903033,67925387912000,90340,4700,78550,7090
2019-12-24 00:05:05,1577145905033,67925388413000,90240,4750,78460,7030
2019-12-24 00:05:07,1577145907033,67925388916000,90630,4900,78900,6830
2019-12-24 00:05:09,1577145909033,67925389419000,90330,4870,78660,6800
2019-12-24 00:05:11,1577145911033,67925389917000,89620,4850,77850,6920
2019-12-24 00:05:13,1577145913033,67925390418000,90450,4780,78610,7060
2019-12-24 00:05:15,1577145915033,67925390921000,90530,4750,78850,6930
2019-12-24 00:05:17,1577145917033,67925391424000,90260,4840,78520,6900
2019-12-24 00:05:19,1577145919033,67925391923000,89990,4660,78420,6910
2019-12-24 00:05:21,1577145921033,67925392426000,90460,4750,78720,6990
2019-12-24 00:05:23,1577145923032,67925392931000,91130,4710,79540,6880
2019-12-24 00:05:25,1577145925032,67925393434000,90210,4810,78500,6900
2019-12-24 00:05:27,1577145927032,67925393934000,90120,4830,78470,6820
2019-12-24 00:05:29,1577145929032,67925394436000,90450,4770,78750,6930
2019-12-24 00:05:31,1577145931032,67925394939000,90490,4900,78670,6920
2019-12-24 00:05:33,1577145933032,67925395440000,90090,4830,78330,6930
2019-12-24 00:05:35,1577145935032,67925395940000,90010,4740,78380,6890
2019-12-24 00:05:37,1577145937032,67925396443000,90770,4810,78980,6980
2019-12-24 00:05:39,1577145939032,67925396943000,89680,4750,78030,6900
2019-12-24 00:05:41,1577145941031,67925397442000,89940,4820,78130,6990
2019-12-24 00:05:43,1577145943031,67925397945000,90760,5060,78630,7070
2019-12-24 00:05:45,1577145945031,67925398450000,90710,4880,78810,7020
2019-12-24 00:05:47,1577145947031,67925398951000,90100,4760,78370,6970
2019-12-24 00:05:49,1577145949031,67925399451000,90010,4870,78190,6950
2019-12-24 00:05:51,1577145951031,67925399953000,90500,4740,78920,6840
2019-12-24 00:05:53,1577145953031,67925400455000,90370,4760,78680,6930
2019-12-24 00:05:55,1577145955031,67925400956000,89980,4840,78280,6860
2019-12-24 00:05:57,1577145957031,67925401457000,90360,4880,78670,6810
2019-12-24 00:05:59,1577145959030,67925401960000,90390,4780,78820,6790
2019-12-24 00:06:01,1577145961030,67925402462000,90490,4770,78670,7050
2019-12-24 00:06:03,1577145963030,67925402965000,90580,4760,78810,7010
