household
date,timestamp,energy,power,power1,power2,power3
2019-12-24 00:00:01,1577145601530,110267706379000,311880,20520,273320,18040
2019-12-24 00:00:03,1577145603530,110267708112000,311830,20490,273300,18040
2019-12-24 00:00:05,1577145605530,110267709844000,311860,20520,273300,18040
2019-12-24 00:00:07,1577145607530,110267711578000,312030,20540,273360,18130
2019-12-24 00:00:09,1577145609530,110267713311000,312000,20540,273320,18140
2019-12-24 00:00:11,1577145611530,110267715044000,311910,20430,273320,18160
2019-12-24 00:00:13,1577145613530,110267716777000,311870,20520,273310,18040
2019-12-24 00:00:15,1577145615530,110267718509000,311880,20620,273290,17970
2019-12-24 00:00:17,1577145617530,110267720242000,311940,20510,273330,18100
2019-12-24 00:00:19,1577145619530,110267721975000,311860,20560,273180,18120
2019-12-24 00:00:21,1577145621530,110267723707000,311860,20480,273390,17990
2019-12-24 00:00:23,1577145623530,110267725440000,311800,20390,273190,18220
2019-12-24 00:00:25,1577145625530,110267727173000,312030,20510,273300,18220
2019-12-24 00:00:27,1577145627530,110267728905000,311830,20490,273220,18120
2019-12-24 00:00:29,1577145629530,110267730638000,311890,20590,273300,18000
2019-12-24 00:00:31,1577145631530,110267732372000,312110,20560,273370,18180
2019-12-24 00:00:33,1577145633530,110267734105000,311790,20540,273230,18020
2019-12-24 00:00:35,1577145635530,110267735837000,311860,20570,273120,18170
2019-12-24 00:00:37,1577145637530,110267737570000,312000,20580,273200,18220
2019-12-24 00:00:39,1577145639530,110267739303000,311850,20530,273270,18050
2019-12-24 00:00:41,1577145641530,110267741035000,311900,20560,273230,18110
2019-12-24 00:00:43,1577145643530,110267742770000,312230,20750,273360,18120
2019-12-24 00:00:45,1577145645530,110267744505000,312290,20550,273500,18240
2019-12-24 00:00:47,1577145647530,110267746238000,312030,20520,273340,18170
2019-12-24 00:00:49,1577145649530,110267747973000,312360,20640,273380,18340
2019-12-24 00:00:51,1577145651530,110267749708000,312210,20630,273440,18140
2019-12-24 00:00:53,1577145653530,110267751444000,312540,20760,273590,18190
