household
date,timestamp,energy,power,power1,power2,power3
2019-12-24 00:00:00,1577145600168,67462430434000,202770,86150,22570,94050
2019-12-24 00:00:02,1577145602168,67462431569000,204860,85990,22560,96310
2019-12-24 00:00:04,1577145604168,67462432708000,205130,86260,22560,96310
2019-12-24 00:00:06,1577145606168,67462433847000,204810,86180,22690,95940
2019-12-24 00:00:08,1577145608167,67462434982000,204220,86170,22970,95080
2019-12-24 00:00:10,1577145610167,67462436112000,203080,85950,22680,94450
2019-12-24 00:00:12,1577145612167,67462437235000,201730,85950,22550,93230
2019-12-24 00:00:14,1577145614167,67462438356000,201970,85910,22540,93520
2019-12-24 00:00:16,1577145616167,67462439480000,202520,86010,22620,93890
2019-12-24 00:00:18,1577145618167,67462440606000,202720,85960,22740,94020
2019-12-24 00:00:20,1577145620167,67462441733000,202830,86010,22570,94250
2019-12-24 00:00:22,1577145622167,67462442863000,203620,86050,22660,94910
2019-12-24 00:00:24,1577145624167,67462443997000,204260,86100,22760,95400
2019-12-24 00:00:26,1577145626166,67462445131000,204080,86000,22690,95390
2019-12-24 00:00:28,1577145628166,67462446260000,202750,85880,22760,94110
2019-12-24 00:00:30,1577145630166,67462447383000,202060,85960,22580,93520
2019-12-24 00:00:32,1577145632166,67462448505000,201860,86090,22550,93220
2019-12-24 00:00:34,1577145634166,67462449626000,201790,85890,22820,93080
2019-12-24 00:00:36,1577145636166,67462450750000,202770,85860,22720,94190
2019-12-24 00:00:38,1577145638166,67462451880000,203430,85990,22680,94760
2019-12-24 00:00:40,1577145640166,67462453006000,202300,85700,22670,93930
2019-12-24 00:00:42,1577145642165,67462454125000,201250,85580,22750,92920
2019-12-24 00:00:44,1577145644165,67462455245000,201950,85700,22680,93570
2019-12-24 00:00:46,1577145646165,67462456370000,202430,85790,22570,94070
2019-12-24 00:00:48,1577145648165,67462457494000,202510,85750,22500,94260
2019-12-24 00:00:50,1577145650165,67462458628000,204500,85670,22740,96090
2019-12-24 00:00:52,1577145652165,67462459764000,204350,85690,22680,95980
2019-12-24 00:00:54,1577145654165,67462460900000,204630,85700,22590,96340
2019-12-24 00:00:56,1577145656165,67462462048000,207740,85780,22620,99340
2019-12-24 00:00:58,1577145658164,67462463209000,208880,85850,22690,100340
2019-12-24 00:01:00,1577145660164,67462464359000,206570,85670,22740,98160
2019-12-24 00:01:02,1577145662164,67462465509000,206980,85530,22770,98680
2019-12-24 00:01:04,1577145664164,67462466658000,206890,85890,22670,98330
2019-12-24 00:01:06,1577145666164,67462467815000,208740,85690,22610,100440
2019-12-24 00:01:08,1577145668164,67462468970000,207350,85740,22700,98910
2019-12-24 00:01:10,1577145670164,67462470121000,207150,85950,22700,98500
2019-12-24 00:01:12,1577145672164,67462471275000,208060,85990,22670,99400
2019-12-24 00:01:14,1577145674163,67462472434000,208800,86020,22730,100050
2019-12-24 00:01:16,1577145676163,67462473594000,208620,86080,22720,99820
2019-12-24 00:01:18,1577145678163,67462474753000,208580,86100,22710,99770
2019-12-24 00:01:20,1577145680163,67462475910000,208240,85860,22600,99780
2019-12-24 00:01:22,1577145682163,67462477059000,205870,85910,22740,97220
2019-12-24 00:01:24,1577145684163,67462478196000,205100,85950,22650,96500
2019-12-24 00:01:26,1577145686163,67462479360000,210470,85980,22860,101630
2019-12-24 00:01:28,1577145688163,67462480520000,207660,85800,22770,99090
2019-12-24 00:01:30,1577145690163,67462481656000,204010,86080,22720,95210
2019-12-24 00:01:32,1577145692162,67462482792000,204700,86100,22710,95890
2019-12-24 00:01:34,1577145694162,67462483934000,205580,86100,22650,96830
2019-12-24 00:01:36,1577145696162,67462485073000,205160,86220,23480,95460
2019-12-24 00:01:38,1577145698162,67462486209000,203740,86270,23120,94350
2019-12-24 00:01:40,1577145700162,67462487335000,202550,86030,22740,93780
2019-12-24 00:01:42,1577145702162,67462488463000,203430,86010,22690,94730
2019-12-24 00:01:44,1577145704162,67462489601000,205510,85910,22700,96900
2019-12-24 00:01:46,1577145706162,67462490754000,208100,86090,23300,98710
2019-12-24 00:01:48,1577145708161,67462491910000,207460,86030,23100,98330
2019-12-24 00:01:50,1577145710161,67462493048000,204070,85920,22730,95420
2019-12-24 00:01:52,1577145712161,67462494188000,206280,85880,22630,97770
2019-12-24 00:01:54,1577145714161,67462495342000,207710,85920,22600,99190
2019-12-24 00:01:56,1577145716161,67462496497000,208100,85950,23960,98190
2019-12-24 00:01:58,1577145718161,67462497649000,206650,86140,23400,97110
