household
date,timestamp,energy,power,power1,power2,power3
2019-12-24 00:00:00,1577145600638,166989083151000,741920,28990,509600,203330
2019-12-24 00:00:02,1577145602638,166989087322000,751720,29210,509560,212950
2019-12-24 00:00:04,1577145604638,166989091517000,756370,29420,509720,217230
2019-12-24 00:00:06,1577145606638,166989095699000,751100,28960,509570,212570
2019-12-24 00:00:08,1577145608638,166989099882000,754100,28800,509680,215620
2019-12-24 00:00:10,1577145610638,166989104069000,753140,28870,509760,214510
2019-12-24 00:00:12,1577145612638,166989108256000,754130,28920,509530,215680
2019-12-24 00:00:14,1577145614638,166989112443000,753380,28850,509760,214770
2019-12-24 00:00:16,1577145616638,166989116627000,753130,29160,509470,214500
2019-12-24 00:00:18,1577145618638,166989120817000,754630,29330,509400,215900
2019-12-24 00:00:20,1577145620637,166989125014000,755540,29280,509730,216530
2019-12-24 00:00:22,1577145622637,166989129203000,753210,28980,507030,217200
2019-12-24 00:00:24,1577145624637,166989133377000,750960,28870,505220,216870
2019-12-24 00:00:26,1577145626637,166989137547000,750660,28830,504990,216840
2019-12-24 00:00:28,1577145628637,166989141720000,750890,28820,505150,216920
2019-12-24 00:00:30,1577145630637,166989145832000,735360,29010,505350,201000
2019-12-24 00:00:32,1577145632637,166989149882000,728380,29320,505620,193440
2019-12-24 00:00:34,1577145634637,166989153927000,728270,29920,505770,192580
2019-12-24 00:00:36,1577145636637,166989157983000,730750,29490,508610,192650
2019-12-24 00:00:38,1577145638637,166989162052000,732960,29100,510130,193730
2019-12-24 00:00:40,1577145640637,166989166128000,733490,29010,510400,194080
2019-12-24 00:00:42,1577145642637,166989170201000,733160,28870,510220,194070
2019-12-24 00:00:44,1577145644637,166989174271000,732290,28840,509280,194170
2019-12-24 00:00:46,1577145646637,166989178334000,731210,29030,509240,192940
2019-12-24 00:00:48,1577145648637,166989182399000,731820,29240,509060,193520
2019-12-24 00:00:50,1577145650637,166989186464000,731580,29320,509160,193100
2019-12-24 00:00:52,1577145652637,166989190533000,732940,29200,509250,194490
2019-12-24 00:00:54,1577145654637,166989194612000,734290,28800,509050,196440
2019-12-24 00:00:56,1577145656637,166989198677000,731150,28790,509370,192990
2019-12-24 00:00:58,1577145658637,166989202740000,731150,28860,509290,193000
2019-12-24 00:01:00,1577145660637,166989206797000,730240,28940,509130,192170
2019-12-24 00:01:02,1577145662637,166989210858000,731340,29070,509110,193160
2019-12-24 00:01:04,1577145664637,166989214919000,730860,29290,509190,192380
2019-12-24 00:01:06,1577145666637,166989218981000,731170,29300,508990,192880
2019-12-24 00:01:08,1577145668637,166989223046000,731870,29040,509290,193540
2019-12-24 00:01:10,1577145670637,166989227111000,731490,28980,509170,193340
2019-12-24 00:01:12,1577145672637,166989231173000,731350,28940,509410,193000
2019-12-24 00:01:14,1577145674637,166989235233000,730510,29180,509290,192040
