household
date,timestamp,energy,power,power1,power2,power3
2019-12-24 00:00:01,1577145601905,87991071130000,229880,135630,77530,16720
2019-12-24 00:00:03,1577145603905,87991072412000,230930,136860,77420,16650
2019-12-24 00:00:05,1577145605905,87991073695000,230980,137090,77140,16750
2019-12-24 00:00:07,1577145607905,87991074978000,230940,136800,77200,16940
2019-12-24 00:00:09,1577145609905,87991076265000,231770,137720,77300,16750
2019-12-24 00:00:11,1577145611905,87991077552000,231830,137730,77440,16660
2019-12-24 00:00:13,1577145613905,87991079310000,363930,269700,77400,16830
2019-12-24 00:00:15,1577145615905,87991081832000,464360,369860,77550,16950
2019-12-24 00:00:17,1577145617905,87991084409000,463730,369530,77230,16970
2019-12-24 00:00:19,1577145619905,87991086983000,463220,369060,77270,16890
2019-12-24 00:00:21,1577145621905,87991089585000,471330,369180,77290,24860
2019-12-24 00:00:23,1577145623905,87991092219000,473120,370550,77220,25350
2019-12-24 00:00:25,1577145625905,87991094828000,469100,369600,77180,22320
2019-12-24 00:00:27,1577145627905,87991097431000,468490,369530,77060,21900
2019-12-24 00:00:29,1577145629905,87991100033000,468290,369130,77320,21840
2019-12-24 00:00:31,1577145631905,87991102633000,467810,368830,77380,21600
2019-12-24 00:00:33,1577145633905,87991105234000,468280,369470,77310,21500
2019-12-24 00:00:35,1577145635905,87991107834000,468070,368960,77540,21570
2019-12-24 00:00:37,1577145637905,87991110434000,467740,369020,77400,21320
2019-12-24 00:00:39,1577145639905,87991113032000,467820,369160,77300,21360
2019-12-24 00:00:41,1577145641905,87991115629000,467320,368400,77490,21430
2019-12-24 00:00:43,1577145643905,87991118225000,467100,368610,77310,21180
2019-12-24 00:00:45,1577145645905,87991120781000,453190,354600,77400,21190
2019-12-24 00:00:47,1577145647905,87991122613000,278620,180160,77350,21110
2019-12-24 00:00:49,1577145649905,87991123926000,237320,138490,77740,21090
2019-12-24 00:00:51,1577145651905,87991125242000,235930,137620,77400,20910
2019-12-24 00:00:53,1577145653905,87991126551000,235800,137420,77420,20960
2019-12-24 00:00:55,1577145655905,87991127856000,234690,136600,77170,20920
2019-12-24 00:00:57,1577145657905,87991129157000,234010,136030,77110,20870
2019-12-24 00:00:59,1577145659905,87991130456000,233860,135680,77310,20870
2019-12-24 00:01:01,1577145661905,87991131757000,234240,136270,77240,20730
2019-12-24 00:01:03,1577145663905,87991133061000,234950,137080,77300,20570
2019-12-24 00:01:05,1577145665905,87991134369000,235490,137450,77340,20700
2019-12-24 00:01:07,1577145667905,87991135673000,234270,136470,77140,20660
2019-12-24 00:01:09,1577145669905,87991136972000,233920,136040,77340,20540
2019-12-24 00:01:11,1577145671905,87991138277000,235360,137440,77460,20460
2019-12-24 00:01:13,1577145673905,87991139585000,235190,137260,77310,20620
2019-12-24 00:01:15,1577145675905,87991140893000,235580,137480,77450,20650
2019-12-24 00:01:17,1577145677905,87991142196000,234040,136340,77080,20620
2019-12-24 00:01:19,1577145679905,87991143492000,233310,135650,77160,20500
2019-12-24 00:01:21,1577145681905,87991144787000,232850,135440,77080,20330
2019-12-24 00:01:23,1577145683905,87991146087000,234670,137490,76920,20260
2019-12-24 00:01:25,1577145685905,87991147389000,233830,136250,77320,20260
2019-12-24 00:01:27,1577145687905,87991148686000,233580,135940,77190,20450
2019-12-24 00:01:29,1577145689905,87991149982000,233180,135810,77020,20350
2019-12-24 00:01:31,1577145691905,87991151279000,233750,136350,77060,20340
2019-12-24 00:01:33,1577145693905,87991152582000,234610,137250,77150,20210
