household
date,timestamp,energy,power,power1,power2,power3
2019-12-24 00:00:01,1577145601972,119423119144000,201490,87670,44130,69690
2019-12-24 00:00:03,1577145603972,119423120264000,201480,87660,44250,69570
2019-12-24 00:00:05,1577145605972,119423121381000,201180,87430,44340,69410
2019-12-24 00:00:07,1577145607972,119423122499000,201030,87310,44400,69320
2019-12-24 00:00:09,1577145609972,119423123615000,200990,87240,44250,69500
2019-12-24 00:00:11,1577145611972,119423124731000,200810,87250,44170,69390
2019-12-24 00:00:13,1577145613972,119423125845000,200470,86960,44160,69350
2019-12-24 00:00:15,1577145615972,119423126962000,201250,87170,44310,69770
2019-12-24 00:00:17,1577145617972,119423128088000,203110,87300,44380,71430
2019-12-24 00:00:19,1577145619972,119423129209000,201190,87380,44010,69800
2019-12-24 00:00:21,1577145621972,119423130323000,200290,87050,43990,69250
2019-12-24 00:00:23,1577145623972,119423131436000,200490,87060,44060,69370
2019-12-24 00:00:25,1577145625972,119423132551000,200880,87120,44190,69570
2019-12-24 00:00:27,1577145627972,119423133668000,200930,87270,44240,69420
2019-12-24 00:00:29,1577145629972,119423134783000,200770,87220,44320,69230
2019-12-24 00:00:31,1577145631972,119423135898000,200540,87020,44240,69280
2019-12-24 00:00:33,1577145633972,119423137013000,200880,87100,44300,69480
2019-12-24 00:00:35,1577145635972,119423138128000,200450,86830,44340,69280
2019-12-24 00:00:37,1577145637972,119423139241000,200380,86770,44450,69160
2019-12-24 00:00:39,1577145639971,119423140354000,200320,86620,44440,69260
2019-12-24 00:00:41,1577145641971,119423141464000,199720,86570,44260,68890
2019-12-24 00:00:43,1577145643971,119423142576000,200420,86880,44290,69250
2019-12-24 00:00:45,1577145645971,119423143691000,200690,86760,44490,69440
2019-12-24 00:00:47,1577145647971,119423144806000,200550,86900,44430,69220
2019-12-24 00:00:49,1577145649971,119423145917000,199830,86490,44340,69000
2019-12-24 00:00:51,1577145651971,119423147030000,200610,86900,44520,69190
2019-12-24 00:00:53,1577145653971,119423148145000,200780,87190,44550,69040
2019-12-24 00:00:55,1577145655971,119423149262000,201080,86950,44540,69590
2019-12-24 00:00:57,1577145657971,119423150379000,201030,87070,44510,69450
2019-12-24 00:00:59,1577145659971,119423151494000,200680,87210,44230,69240
2019-12-24 00:01:01,1577145661971,119423152609000,200490,86840,44500,69150
2019-12-24 00:01:03,1577145663971,119423153723000,200790,87040,44520,69230
2019-12-24 00:01:05,1577145665971,119423154840000,200950,87140,44580,69230
2019-12-24 00:01:07,1577145667971,119423155956000,200840,86930,44540,69370
2019-12-24 00:01:09,1577145669971,119423157070000,200530,87060,44410,69060
2019-12-24 00:01:11,1577145671971,119423158185000,200650,86980,44390,69280
2019-12-24 00:01:13,1577145673971,119423159298000,200260,86820,44430,69010
2019-12-24 00:01:15,1577145675971,119423160411000,200480,86840,44560,69080
2019-12-24 00:01:17,1577145677971,119423161530000,201610,87090,44630,69890
2019-12-24 00:01:19,1577145679971,119423162644000,200160,86690,44420,69050
2019-12-24 00:01:21,1577145681970,119423163758000,200580,87060,44370,69150
2019-12-24 00:01:23,1577145683970,119423164871000,200350,86910,44420,69020
2019-12-24 00:01:25,1577145685970,119423165984000,200350,87060,44440,68850
2019-12-24 00:01:27,1577145687970,119423167098000,200530,87150,44470,68910
2019-12-24 00:01:29,1577145689970,119423168211000,200310,86860,44550,68900
2019-12-24 00:01:31,1577145691970,119423169323000,200140,86730,44380,69030
2019-12-24 00:01:33,1577145693970,119423170434000,199800,86570,44470,68760
2019-12-24 00:01:35,1577145695970,119423171545000,200370,86720,44540,69110
2019-12-24 00:01:37,1577145697970,119423172662000,200970,87190,44550,69230
2019-12-24 00:01:39,1577145699970,119423173778000,200910,86830,44350,69730
2019-12-24 00:01:41,1577145701970,119423174894000,200840,86850,44420,69570
2019-12-24 00:01:43,1577145703970,119423176009000,200850,86860,44450,69540
2019-12-24 00:01:45,1577145705970,119423177125000,200830,86920,44430,69480
2019-12-24 00:01:47,1577145707970,119423178241000,200880,86890,44420,69570
2019-12-24 00:01:49,1577145709970,119423179358000,200970,86870,44440,69660
2019-12-24 00:01:51,1577145711970,119423180473000,200540,86670,44540,69330
2019-12-24 00:01:53,1577145713970,119423181586000,200540,86570,44460,69510
2019-12-24 00:01:55,1577145715970,119423182699000,200220,86620,44410,69190
2019-12-24 00:01:57,1577145717970,119423183812000,200210,86950,44400,68860
