household
date,timestamp,energy,power,power1,power2,power3
2019-12-24 00:00:01,1577145601580,106421380276000,91780,3620,85720,2440
2019-12-24 00:00:03,1577145603580,106421380785000,91540,3620,85400,2520
2019-12-24 00:00:05,1577145605580,106421381294000,91710,3590,85580,2540
2019-12-24 00:00:07,1577145607580,106421381805000,91900,3520,85800,2580
2019-12-24 00:00:09,1577145609580,106421382318000,92950,3430,86850,2670
2019-12-24 00:00:11,1577145611580,106421382837000,93020,3580,86920,2520
2019-12-24 00:00:13,1577145613580,106421383346000,91520,3460,85530,2530
2019-12-24 00:00:15,1577145615580,106421383857000,92160,3660,85950,2550
2019-12-24 00:00:17,1577145617580,106421384373000,93090,3630,86450,3010
2019-12-24 00:00:19,1577145619580,106421384890000,93040,3560,86630,2850
2019-12-24 00:00:21,1577145621580,106421385407000,93150,3530,86930,2690
2019-12-24 00:00:23,1577145623580,106421385925000,93170,3570,86830,2770
2019-12-24 00:00:25,1577145625580,106421386445000,93550,3600,87260,2690
2019-12-24 00:00:27,1577145627580,106421386960000,92590,3640,86180,2770
2019-12-24 00:00:29,1577145629580,106421387473000,92190,3480,86220,2490
2019-12-24 00:00:31,1577145631580,106421387988000,92950,3470,87010,2470
2019-12-24 00:00:33,1577145633580,106421388509000,94070,3480,87950,2640
2019-12-24 00:00:35,1577145635580,106421389027000,92870,3430,86770,2670
2019-12-24 00:00:37,1577145637580,106421389543000,92990,3640,86580,2770
2019-12-24 00:00:39,1577145639580,106421390059000,92800,3470,86390,2940
2019-12-24 00:00:41,1577145641580,106421390579000,93930,3570,87700,2660
2019-12-24 00:00:43,1577145643580,106421391101000,93690,3560,87380,2750
2019-12-24 00:00:45,1577145645580,106421391619000,93370,3530,87140,2700
2019-12-24 00:00:47,1577145647580,106421392139000,93720,3490,87540,2690
2019-12-24 00:00:49,1577145649580,106421392664000,94930,3350,88930,2650
2019-12-24 00:00:51,1577145651580,106421393193000,94760,3550,88530,2680
2019-12-24 00:00:53,1577145653580,106421393716000,94080,3430,87990,2660
2019-12-24 00:00:55,1577145655580,106421394239000,94170,3580,88090,2500
2019-12-24 00:00:57,1577145657580,106421394765000,94960,3430,88750,2780
2019-12-24 00:00:59,1577145659580,106421395294000,94950,3530,88810,2610
2019-12-24 00:01:01,1577145661580,106421395817000,94190,3380,88240,2570
2019-12-24 00:01:03,1577145663580,106421396341000,94340,3590,88080,2670
2019-12-24 00:01:05,1577145665580,106421396866000,94660,3720,88470,2470
2019-12-24 00:01:07,1577145667580,106421397394000,95090,3760,88720,2610
2019-12-24 00:01:09,1577145669580,106421397923000,95370,3510,88890,2970
2019-12-24 00:01:11,1577145671580,106421398456000,95960,3520,89500,2940
2019-12-24 00:01:13,1577145673580,106421398986000,95300,3530,88910,2860
2019-12-24 00:01:15,1577145675580,106421399519000,95850,3500,89510,2840
2019-12-24 00:01:17,1577145677580,106421400047000,94970,3640,88690,2640
2019-12-24 00:01:19,1577145679580,106421400573000,94570,3490,88520,2560
2019-12-24 00:01:21,1577145681580,106421401098000,94540,3630,88500,2410
2019-12-24 00:01:23,1577145683580,106421401624000,94670,3550,88640,2480
2019-12-24 00:01:25,1577145685580,106421402150000,94630,3500,88620,2510
2019-12-24 00:01:27,1577145687580,106421402676000,94740,3440,88590,2710
2019-12-24 00:01:29,1577145689580,106421403202000,94670,3490,88410,2770
2019-12-24 00:01:31,1577145691580,106421403729000,95030,3610,88810,2610
2019-12-24 00:01:33,1577145693580,106421404258000,94940,3600,88950,2390
2019-12-24 00:01:35,1577145695580,106421404783000,94560,3390,88630,2540
2019-12-24 00:01:37,1577145697580,106421405308000,94580,3430,88460,2690
2019-12-24 00:01:39,1577145699580,106421405837000,95390,3610,88780,3000
2019-12-24 00:01:41,1577145701580,106421406370000,95920,3540,89480,2900
2019-12-24 00:01:43,1577145703580,106421406899000,95270,3520,88960,2790
2019-12-24 00:01:45,1577145705580,106421407434000,96400,3500,90130,2770
2019-12-24 00:01:47,1577145707580,106421407965000,95470,3670,89020,2780
2019-12-24 00:01:49,1577145709580,106421408500000,96460,3540,90450,2470
2019-12-24 00:01:51,1577145711580,106421409028000,94740,3600,88550,2590
2019-12-24 00:01:53,1577145713580,106421409546000,92260,3450,86340,2470
2019-12-24 00:01:55,1577145715580,106421410045000,89400,3620,83190,2590
2019-12-24 00:01:57,1577145717580,106421410546000,90430,3520,84320,2590
2019-12-24 00:01:59,1577145719580,106421411046000,89760,3510,83410,2840
2019-12-24 00:02:01,1577145721580,106421411542000,89090,3660,83060,2370
2019-12-24 00:02:03,1577145723580,106421412037000,89180,3640,83020,2520
2019-12-24 00:02:05,1577145725580,106421412533000,89630,3470,83580,2580
2019-12-24 00:02:07,1577145727580,106421413033000,89530,3340,83610,2580
2019-12-24 00:02:09,1577145729581,106421413527000,89120,3600,82920,2600
2019-12-24 00:02:11,1577145731581,106421414023000,89330,3590,83090,2650
2019-12-24 00:02:13,1577145733580,106421414523000,90260,3580,83520,3160
2019-12-24 00:02:15,1577145735580,106421415024000,89840,3480,83380,2980
2019-12-24 00:02:17,1577145737580,106421415518000,88820,3550,82400,2870
2019-12-24 00:02:19,1577145739580,106421416013000,88890,3840,82340,2710
2019-12-24 00:02:21,1577145741581,106421416506000,88830,3610,82580,2640
2019-12-24 00:02:23,1577145743581,106421417001000,88980,3530,82910,2540
2019-12-24 00:02:25,1577145745581,106421417491000,88140,3560,82140,2440
2019-12-24 00:02:27,1577145747581,106421417981000,88340,3540,82330,2470
2019-12-24 00:02:29,1577145749581,106421418474000,88760,3520,82500,2740
2019-12-24 00:02:31,1577145751581,106421418971000,89850,3590,83710,2550
2019-12-24 00:02:33,1577145753581,106421419467000,88840,3650,82690,2500
2019-12-24 00:02:35,1577145755581,106421419960000,88930,3530,82780,2620
2019-12-24 00:02:37,1577145757581,106421420453000,88560,3550,82590,2420
2019-12-24 00:02:39,1577145759581,106421420943000,88180,3550,82220,2410
2019-12-24 00:02:41,1577145761581,106421421434000,88450,3430,82060,2960
2019-12-24 00:02:43,1577145763581,106421421927000,88670,3540,82180,2950
2019-12-24 00:02:45,1577145765581,106421422420000,88830,3700,82340,2790
2019-12-24 00:02:47,1577145767581,106421422914000,88920,3720,82530,2670
2019-12-24 00:02:49,1577145769581,106421423408000,88840,3550,82480,2810
2019-12-24 00:02:51,1577145771581,106421423901000,88740,3580,82490,2670
2019-12-24 00:02:53,1577145773581,106421424393000,88560,3530,82510,2520
2019-12-24 00:02:55,1577145775581,106421424885000,88540,3500,82420,2620
2019-12-24 00:02:57,1577145777581,106421425377000,88700,3590,82490,2620
2019-12-24 00:02:59,1577145779581,106421425871000,88970,3480,82610,2880
2019-12-24 00:03:01,1577145781581,106421426365000,88680,3360,82690,2630
2019-12-24 00:03:03,1577145783581,106421426857000,88640,3400,82640,2600
2019-12-24 00:03:05,1577145785581,106421427351000,89020,3550,82810,2660
2019-12-24 00:03:07,1577145787581,106421427845000,88900,3530,82760,2610
2019-12-24 00:03:09,1577145789581,106421428337000,88510,3540,82700,2270
2019-12-24 00:03:11,1577145791581,106421428830000,88760,3550,82720,2490
2019-12-24 00:03:13,1577145793581,106421429323000,88750,3550,82620,2580
2019-12-24 00:03:15,1577145795581,106421429815000,88490,3550,82350,2590
2019-12-24 00:03:17,1577145797581,106421430306000,88490,3600,82300,2590
2019-12-24 00:03:19,1577145799581,106421430798000,88500,3480,82440,2580
2019-12-24 00:03:21,1577145801581,106421431291000,88850,3420,82670,2760
2019-12-24 00:03:23,1577145803581,106421431786000,88890,3530,82360,3000
