household
date,timestamp,energy,power,power1,power2,power3
2019-12-24 00:00:01,1577145601743,188358511428000,568530,352550,118470,97510
2019-12-24 00:00:03,1577145603743,188358514679000,594270,377840,118500,97930
2019-12-24 00:00:05,1577145605743,188358517970000,587020,370300,118830,97890
2019-12-24 00:00:07,1577145607743,188358521330000,613020,395970,119060,97990
2019-12-24 00:00:09,1577145609743,188358524654000,590170,372360,119540,98270
2019-12-24 00:00:11,1577145611743,188358527873000,577900,359190,120720,97990
2019-12-24 00:00:13,1577145613743,188358531081000,577440,357500,121820,98120
2019-12-24 00:00:15,1577145615743,188358534288000,576750,356600,122660,97490
2019-12-24 00:00:17,1577145617743,188358537464000,571850,351580,123170,97100
2019-12-24 00:00:19,1577145619743,188358540756000,599460,375070,126770,97620
2019-12-24 00:00:21,1577145621743,188358544083000,597010,368750,131850,96410
2019-12-24 00:00:23,1577145623743,188358547469000,616650,384600,134880,97170
2019-12-24 00:00:25,1577145625743,188358550976000,633210,399880,135320,98010
2019-12-24 00:00:27,1577145627743,188358554483000,630810,398070,135130,97610
2019-12-24 00:00:29,1577145629743,188358557999000,633800,400750,135070,97980
2019-12-24 00:00:31,1577145631743,188358561426000,609420,377220,134530,97670
2019-12-24 00:00:33,1577145633743,188358564788000,604590,372790,134240,97560
2019-12-24 00:00:35,1577145635743,188358568088000,587280,355470,134140,97670
2019-12-24 00:00:37,1577145637743,188358571165000,545520,314270,133860,97390
2019-12-24 00:00:39,1577145639743,188358574242000,559370,327930,133910,97530
2019-12-24 00:00:41,1577145641743,188358577337000,553100,322280,133150,97670
2019-12-24 00:00:43,1577145643743,188358580386000,549740,319190,133340,97210
2019-12-24 00:00:45,1577145645743,188358583532000,574130,343690,133250,97190
2019-12-24 00:00:47,1577145647743,188358586772000,580210,349910,132870,97430
2019-12-24 00:00:49,1577145649743,188358589823000,540530,310130,132700,97700
2019-12-24 00:00:51,1577145651743,188358592817000,541290,310780,132200,98310
2019-12-24 00:00:53,1577145653743,188358595851000,545010,313190,132180,99640
2019-12-24 00:00:55,1577145655743,188358598825000,537840,306100,132360,99380
2019-12-24 00:00:57,1577145657743,188358602012000,582330,352100,131310,98920
2019-12-24 00:00:59,1577145659743,188358605341000,604910,374750,131580,98580
2019-12-24 00:01:01,1577145661743,188358608676000,598030,368580,131480,97970
2019-12-24 00:01:03,1577145663743,188358611911000,573680,344310,131270,98100
2019-12-24 00:01:05,1577145665743,188358615062000,571220,342600,131210,97410
2019-12-24 00:01:07,1577145667743,188358618320000,587530,360910,131390,95230
2019-12-24 00:01:09,1577145669743,188358621545000,580850,351500,131610,97740
2019-12-24 00:01:11,1577145671743,188358624816000,588250,359170,131200,97880
