household
date,timestamp,energy,power,power1,power2,power3
2019-12-24 00:00:00,1577145600804,64888657114000,133350,34230,94980,4140
2019-12-24 00:00:02,1577145602804,64888657855000,133340,34400,94900,4040
2019-12-24 00:00:04,1577145604804,64888658597000,133690,34390,95250,4050
2019-12-24 00:00:06,1577145606804,64888659341000,133870,34420,95280,4170
2019-12-24 00:00:08,1577145608804,64888660083000,133590,34470,94980,4140
2019-12-24 00:00:10,1577145610803,64888660826000,133820,34550,95030,4240
2019-12-24 00:00:12,1577145612803,64888661569000,133580,34300,95150,4130
2019-12-24 00:00:14,1577145614803,64888662309000,133190,34220,94830,4140
2019-12-24 00:00:16,1577145616803,64888663051000,133530,34700,94780,4050
2019-12-24 00:00:18,1577145618803,64888663792000,133510,34760,94800,3950
2019-12-24 00:00:20,1577145620803,64888664535000,133610,34810,94590,4210
2019-12-24 00:00:22,1577145622803,64888665274000,132960,34520,94400,4040
2019-12-24 00:00:24,1577145624803,64888666014000,133220,34720,94410,4090
2019-12-24 00:00:26,1577145626803,64888666754000,133320,34830,94460,4030
2019-12-24 00:00:28,1577145628802,64888667495000,133330,34760,94480,4090
2019-12-24 00:00:30,1577145630802,64888668237000,133580,34800,94540,4240
2019-12-24 00:00:32,1577145632802,64888668979000,133510,34920,94380,4210
2019-12-24 00:00:34,1577145634802,64888669720000,133320,34770,94430,4120
2019-12-24 00:00:36,1577145636802,64888670459000,133090,34590,94320,4180
2019-12-24 00:00:38,1577145638802,64888671200000,133370,34700,94470,4200
2019-12-24 00:00:40,1577145640802,64888671940000,133240,34630,94530,4080
2019-12-24 00:00:42,1577145642802,64888672681000,133300,34720,94300,4280
2019-12-24 00:00:44,1577145644802,64888673420000,132970,34590,94170,4210
2019-12-24 00:00:46,1577145646801,64888674159000,133030,34630,94280,4120
2019-12-24 00:00:48,1577145648801,64888674901000,133940,35510,94300,4130
2019-12-24 00:00:50,1577145650801,64888675646000,133870,35450,94170,4250
2019-12-24 00:00:52,1577145652801,64888676388000,133600,35220,94140,4240
2019-12-24 00:00:54,1577145654801,64888677130000,133410,34620,94570,4220
2019-12-24 00:00:56,1577145656801,64888677871000,133520,34410,94830,4280
2019-12-24 00:00:58,1577145658801,64888678612000,133380,34590,94630,4160
2019-12-24 00:01:00,1577145660801,64888679353000,133120,34420,94610,4090
2019-12-24 00:01:02,1577145662800,64888680091000,132920,34340,94400,4180
2019-12-24 00:01:04,1577145664800,64888680828000,132630,34180,94330,4120
2019-12-24 00:01:06,1577145666800,64888681566000,132720,34180,94270,4270
