household
date,timestamp,energy,power,power1,power2,power3
2019-12-24 00:00:00,1577145600776,57328022077000,95050,72550,11420,11080
2019-12-24 00:00:02,1577145602776,57328022606000,95300,72870,11370,11060
2019-12-24 00:00:04,1577145604776,57328023135000,95110,72820,11240,11050
2019-12-24 00:00:06,1577145606776,57328023662000,94920,72470,11300,11150
2019-12-24 00:00:08,1577145608776,57328024194000,96480,73950,11420,11110
2019-12-24 00:00:10,1577145610776,57328024785000,110230,87930,11250,11050
2019-12-24 00:00:12,1577145612776,57328025396000,107290,85090,11340,10860
2019-12-24 00:00:14,1577145614776,57328025934000,94870,72260,11410,11200
2019-12-24 00:00:16,1577145616776,57328026461000,94830,72170,11430,11230
2019-12-24 00:00:18,1577145618776,57328026985000,94370,72030,11300,11040
2019-12-24 00:00:20,1577145620776,57328027512000,94950,72470,11430,11050
2019-12-24 00:00:22,1577145622776,57328028046000,96390,74030,11320,11040
2019-12-24 00:00:24,1577145624776,57328028578000,95510,73140,11370,11000
2019-12-24 00:00:26,1577145626776,57328029117000,97890,75290,11470,11130
2019-12-24 00:00:28,1577145628776,57328029707000,109850,87450,11270,11130
2019-12-24 00:00:30,1577145630776,57328030324000,108760,86300,11370,11090
2019-12-24 00:00:32,1577145632776,57328030865000,94810,72540,11320,10950
2019-12-24 00:00:34,1577145634776,57328031389000,94500,72190,11280,11030
2019-12-24 00:00:36,1577145636776,57328031915000,94610,72130,11390,11090
2019-12-24 00:00:38,1577145638776,57328032439000,94240,71840,11400,11000
2019-12-24 00:00:40,1577145640776,57328032962000,94220,71950,11270,11000
2019-12-24 00:00:42,1577145642776,57328033485000,94170,71810,11320,11040
2019-12-24 00:00:44,1577145644776,57328034012000,95190,72720,11400,11070
2019-12-24 00:00:46,1577145646776,57328034599000,110670,88110,11560,11000
2019-12-24 00:00:48,1577145648776,57328035257000,118770,96290,11420,11060
2019-12-24 00:00:50,1577145650776,57328035844000,100370,78160,11180,11030
2019-12-24 00:00:52,1577145652776,57328036374000,95290,72800,11350,11140
2019-12-24 00:00:54,1577145654776,57328036904000,95220,72890,11350,10980
2019-12-24 00:00:56,1577145656776,57328037431000,94980,72580,11290,11110
2019-12-24 00:00:58,1577145658776,57328037959000,94930,72470,11390,11070
2019-12-24 00:01:00,1577145660776,57328038485000,94750,72480,11340,10930
2019-12-24 00:01:02,1577145662776,57328039014000,95340,72900,11270,11170
2019-12-24 00:01:04,1577145664776,57328039590000,108010,85480,11440,11090
2019-12-24 00:01:06,1577145666776,57328040219000,112150,89510,11450,11190
2019-12-24 00:01:08,1577145668776,57328040775000,96690,74250,11390,11050
2019-12-24 00:01:10,1577145670776,57328041302000,94810,72460,11320,11030
2019-12-24 00:01:12,1577145672776,57328041828000,94700,72390,11270,11040
2019-12-24 00:01:14,1577145674776,57328042355000,94770,72450,11280,11040
2019-12-24 00:01:16,1577145676776,57328042882000,94930,72640,11280,11010
2019-12-24 00:01:18,1577145678776,57328043411000,95330,72940,11290,11100
2019-12-24 00:01:20,1577145680776,57328043941000,95290,73030,11200,11060
2019-12-24 00:01:22,1577145682776,57328044506000,105610,83220,11280,11110
2019-12-24 00:01:24,1577145684776,57328045133000,112670,90160,11410,11100
2019-12-24 00:01:26,1577145686776,57328045695000,97560,75090,11430,11040
2019-12-24 00:01:28,1577145688776,57328046224000,95040,72700,11330,11010
2019-12-24 00:01:30,1577145690776,57328046750000,94720,72360,11350,11010
2019-12-24 00:01:32,1577145692776,57328047277000,94880,72640,11250,10990
2019-12-24 00:01:34,1577145694776,57328047806000,95590,73220,11280,11090
2019-12-24 00:01:36,1577145696776,57328048362000,101550,78830,11460,11260
