household
date,timestamp,energy,power,power1,power2,power3
2019-12-24 00:00:00,1577145600385,118255980153000,598710,504980,57300,36430
2019-12-24 00:00:02,1577145602385,118255983477000,597980,504250,57320,36410
2019-12-24 00:00:04,1577145604385,118255986802000,598890,505100,57370,36420
2019-12-24 00:00:06,1577145606385,118255990134000,600120,506370,57350,36400
2019-12-24 00:00:08,1577145608385,118255993473000,600910,507160,57390,36360
2019-12-24 00:00:10,1577145610385,118255996801000,598650,504980,57350,36320
2019-12-24 00:00:12,1577145612385,118256000124000,598050,504330,57470,36250
2019-12-24 00:00:14,1577145614385,118256003452000,599710,505280,57960,36470
2019-12-24 00:00:16,1577145616385,118256006780000,598260,505410,56390,36460
2019-12-24 00:00:18,1577145618385,118256010121000,602640,507800,58480,36360
2019-12-24 00:00:20,1577145620385,118256013444000,596240,503000,56830,36410
2019-12-24 00:00:22,1577145622385,118256016760000,597590,503600,57630,36360
2019-12-24 00:00:24,1577145624385,118256020072000,595350,502750,56240,36360
2019-12-24 00:00:26,1577145626384,118256023396000,599300,504280,58790,36230
2019-12-24 00:00:28,1577145628384,118256026728000,600250,507200,56710,36340
2019-12-24 00:00:30,1577145630384,118256030060000,599370,505500,57500,36370
2019-12-24 00:00:32,1577145632384,118256033393000,600380,507230,56770,36380
2019-12-24 00:00:34,1577145634384,118256036732000,600560,506680,57510,36370
2019-12-24 00:00:36,1577145636384,118256040061000,599410,505710,57230,36470
2019-12-24 00:00:38,1577145638384,118256043386000,597780,503430,57920,36430
2019-12-24 00:00:40,1577145640384,118256046705000,597670,503870,57440,36360
2019-12-24 00:00:42,1577145642384,118256050033000,599430,505730,57260,36440
2019-12-24 00:00:44,1577145644384,118256053367000,600290,506550,57370,36370
2019-12-24 00:00:46,1577145646384,118256056710000,602360,508720,57240,36400
2019-12-24 00:00:48,1577145648384,118256060070000,605660,511040,58130,36490
2019-12-24 00:00:50,1577145650384,118256063423000,602500,509720,56340,36440
2019-12-24 00:00:52,1577145652384,118256066773000,603210,510400,56460,36350
2019-12-24 00:00:54,1577145654384,118256070118000,601720,507670,57750,36300
2019-12-24 00:00:56,1577145656384,118256073467000,603390,508910,58070,36410
2019-12-24 00:00:58,1577145658384,118256076817000,601960,507620,57950,36390
2019-12-24 00:01:00,1577145660384,118256080154000,601590,507700,57390,36500
2019-12-24 00:01:02,1577145662384,118256083504000,602240,508190,57560,36490
2019-12-24 00:01:04,1577145664383,118256086840000,600940,507470,57270,36200
2019-12-24 00:01:06,1577145666383,118256090185000,601860,507970,57590,36300
2019-12-24 00:01:08,1577145668383,118256093528000,602060,507820,57770,36470
2019-12-24 00:01:10,1577145670383,118256096869000,600780,507460,56940,36380
2019-12-24 00:01:12,1577145672383,118256100210000,602120,508710,56930,36480
2019-12-24 00:01:14,1577145674383,118256103556000,602060,508280,57270,36510
2019-12-24 00:01:16,1577145676383,118256106904000,602710,508980,57390,36340
2019-12-24 00:01:18,1577145678383,118256110243000,599980,508550,57220,34210
