household
date,timestamp,energy,power,power1,power2,power3
2019-12-24 00:00:01,1577145601428,102621431021000,23220,2680,0,20540
2019-12-24 00:00:03,1577145603428,102621431150000,23240,2750,0,20490
2019-12-24 00:00:05,1577145605427,102621431277000,22830,2550,0,20280
2019-12-24 00:00:07,1577145607427,102621431404000,22930,2760,0,20170
2019-12-24 00:00:09,1577145609427,102621431533000,23140,2680,0,20460
2019-12-24 00:00:11,1577145611427,102621431662000,23260,2700,0,20560
2019-12-24 00:00:13,1577145613427,102621431791000,23310,2760,0,20550
2019-12-24 00:00:15,1577145615427,102621431920000,23030,2610,0,20420
2019-12-24 00:00:17,1577145617427,102621432046000,22690,2640,0,20050
2019-12-24 00:00:19,1577145619426,102621432173000,22950,2710,0,20240
2019-12-24 00:00:21,1577145621426,102621432301000,22940,2530,0,20410
2019-12-24 00:00:23,1577145623426,102621432429000,23100,2630,0,20470
2019-12-24 00:00:25,1577145625426,102621432558000,23310,2820,0,20490
2019-12-24 00:00:27,1577145627426,102621432687000,23070,2770,0,20300
2019-12-24 00:00:29,1577145629426,102621432813000,22690,2500,0,20190
2019-12-24 00:00:31,1577145631426,102621432939000,22730,2560,0,20170
2019-12-24 00:00:33,1577145633426,102621433067000,23080,2650,0,20430
2019-12-24 00:00:35,1577145635425,102621433196000,23190,2800,0,20390
2019-12-24 00:00:37,1577145637425,102621433325000,23210,2700,0,20510
2019-12-24 00:00:39,1577145639425,102621433453000,22950,2770,0,20180
2019-12-24 00:00:41,1577145641425,102621433579000,22640,2520,0,20120
2019-12-24 00:00:43,1577145643425,102621433705000,22830,2630,0,20200
2019-12-24 00:00:45,1577145645425,102621433833000,23050,2600,0,20450
2019-12-24 00:00:47,1577145647425,102621433962000,23270,2710,0,20560
2019-12-24 00:00:49,1577145649425,102621434091000,23060,2660,0,20400
2019-12-24 00:00:51,1577145651424,102621434218000,22890,2690,0,20200
2019-12-24 00:00:53,1577145653424,102621434345000,22820,2600,0,20220
2019-12-24 00:00:55,1577145655424,102621434472000,23040,2670,0,20370
2019-12-24 00:00:57,1577145657424,102621434601000,23150,2630,0,20520
2019-12-24 00:00:59,1577145659424,102621434730000,23240,2700,0,20540
2019-12-24 00:01:01,1577145661424,102621434858000,22980,2500,0,20480
2019-12-24 00:01:03,1577145663424,102621434985000,22840,2710,0,20130
2019-12-24 00:01:05,1577145665424,102621435111000,22720,2610,0,20110
2019-12-24 00:01:07,1577145667423,102621435238000,22910,2760,0,20150
2019-12-24 00:01:09,1577145669423,102621435366000,23100,2610,0,20490
2019-12-24 00:01:11,1577145671423,102621435495000,23170,2660,0,20510
2019-12-24 00:01:13,1577145673423,102621435624000,23130,2620,0,20510
2019-12-24 00:01:15,1577145675423,102621435751000,22820,2700,0,20120
2019-12-24 00:01:17,1577145677423,102621435878000,22870,2740,0,20130
2019-12-24 00:01:19,1577145679423,102621436005000,23050,2690,0,20360
2019-12-24 00:01:21,1577145681422,102621436135000,23260,2800,0,20460
2019-12-24 00:01:23,1577145683422,102621436264000,23240,2690,0,20550
2019-12-24 00:01:25,1577145685422,102621436392000,23110,2620,0,20490
