household
date,timestamp,energy,power,power1,power2,power3
2019-12-24 00:00:01,1577145601817,180949832511000,200640,7360,190310,2970
2019-12-24 00:00:03,1577145603817,180949833625000,200640,7420,190350,2870
2019-12-24 00:00:05,1577145605817,180949834741000,200910,7310,190750,2850
2019-12-24 00:00:07,1577145607817,180949835854000,200280,7330,190280,2670
2019-12-24 00:00:09,1577145609817,180949836966000,200160,7250,190270,2640
2019-12-24 00:00:11,1577145611817,180949838080000,200450,7220,190620,2610
2019-12-24 00:00:13,1577145613817,180949839194000,200600,7330,190470,2800
2019-12-24 00:00:15,1577145615817,180949840310000,200820,7340,190670,2810
2019-12-24 00:00:17,1577145617817,180949841426000,201330,7180,191330,2820
2019-12-24 00:00:19,1577145619817,180949842546000,201400,7180,191450,2770
2019-12-24 00:00:21,1577145621817,180949843664000,201140,7280,191000,2860
2019-12-24 00:00:23,1577145623817,180949844778000,200420,7280,190280,2860
2019-12-24 00:00:25,1577145625817,180949845893000,200890,7320,190710,2860
2019-12-24 00:00:27,1577145627817,180949847006000,200080,7370,189910,2800
2019-12-24 00:00:29,1577145629817,180949848118000,200040,7330,190040,2670
2019-12-24 00:00:31,1577145631817,180949849228000,199800,7230,189630,2940
2019-12-24 00:00:33,1577145633817,180949850344000,201340,7370,190960,3010
2019-12-24 00:00:35,1577145635817,180949851461000,201100,7490,190770,2840
2019-12-24 00:00:37,1577145637817,180949852587000,203010,7320,192830,2860
2019-12-24 00:00:39,1577145639817,180949853706000,200910,7270,190810,2830
2019-12-24 00:00:41,1577145641817,180949854822000,200880,7240,190830,2810
2019-12-24 00:00:43,1577145643817,180949855938000,201090,7280,191090,2720
2019-12-24 00:00:45,1577145645817,180949857059000,201640,7370,191290,2980
2019-12-24 00:00:47,1577145647817,180949858179000,201710,7540,191390,2780
2019-12-24 00:00:49,1577145649817,180949859298000,201340,7340,191130,2870
2019-12-24 00:00:51,1577145651817,180949860415000,201010,7370,190710,2930
2019-12-24 00:00:53,1577145653817,180949861534000,201530,7270,191400,2860
2019-12-24 00:00:55,1577145655817,180949862656000,202190,7350,191800,3040
2019-12-24 00:00:57,1577145657817,180949863778000,201750,7300,191430,3020
2019-12-24 00:00:59,1577145659817,180949864899000,201830,7380,191480,2970
2019-12-24 00:01:01,1577145661817,180949866019000,201570,7450,191150,2970
2019-12-24 00:01:03,1577145663817,180949867138000,201200,7350,191140,2710
2019-12-24 00:01:05,1577145665817,180949868253000,200780,7410,190550,2820
2019-12-24 00:01:07,1577145667817,180949869373000,201920,7360,191630,2930
2019-12-24 00:01:09,1577145669817,180949870495000,201820,7460,191600,2760
2019-12-24 00:01:11,1577145671817,180949871617000,201810,7550,191530,2730
2019-12-24 00:01:13,1577145673817,180949872736000,201480,7430,191200,2850
2019-12-24 00:01:15,1577145675817,180949873857000,202030,7260,191780,2990
2019-12-24 00:01:17,1577145677817,180949874980000,201930,7330,191670,2930
2019-12-24 00:01:19,1577145679817,180949876102000,201950,7330,191700,2920
2019-12-24 00:01:21,1577145681817,180949877227000,202920,7410,192670,2840
2019-12-24 00:01:23,1577145683817,180949878355000,202910,7430,192330,3150
2019-12-24 00:01:25,1577145685817,180949879482000,202850,7370,192580,2900
2019-12-24 00:01:27,1577145687817,180949880608000,202690,7300,192510,2880
2019-12-24 00:01:29,1577145689817,180949881733000,202290,7380,192030,2880
2019-12-24 00:01:31,1577145691817,180949882853000,201480,7460,191180,2840
2019-12-24 00:01:33,1577145693817,180949883973000,201590,7420,191450,2720
2019-12-24 00:01:35,1577145695817,180949885093000,201730,7230,191570,2930
2019-12-24 00:01:37,1577145697817,180949886214000,201770,7350,191530,2890
2019-12-24 00:01:39,1577145699817,180949887335000,201540,7380,191540,2620
2019-12-24 00:01:41,1577145701817,180949888453000,201320,7410,191250,2660
2019-12-24 00:01:43,1577145703817,180949889572000,201440,7360,191410,2670
2019-12-24 00:01:45,1577145705817,180949890693000,202060,7350,191990,2720
