household
date,timestamp,energy,power,power1,power2,power3
2019-12-24 00:00:01,1577145601515,102818491622000,328170,138210,75890,114070
2019-12-24 00:00:03,1577145603515,102818493446000,328710,138150,76160,114400
2019-12-24 00:00:05,1577145605515,102818495276000,329670,138390,75600,115680
2019-12-24 00:00:07,1577145607514,102818497102000,328510,138020,75480,115010
2019-12-24 00:00:09,1577145609514,102818498927000,328540,138860,75950,113730
2019-12-24 00:00:11,1577145611514,102818500751000,327680,139090,75630,112960
2019-12-24 00:00:13,1577145613514,102818502574000,328610,139180,76780,112650
2019-12-24 00:00:15,1577145615514,102818504400000,328830,138860,76730,113240
2019-12-24 00:00:17,1577145617514,102818506230000,329410,139510,76490,113410
2019-12-24 00:00:19,1577145619514,102818508054000,328190,139110,75620,113460
2019-12-24 00:00:21,1577145621514,102818509882000,329420,139000,75620,114800
2019-12-24 00:00:23,1577145623514,102818511720000,330880,139240,77100,114540
2019-12-24 00:00:25,1577145625514,102818513558000,330680,139050,76090,115540
2019-12-24 00:00:27,1577145627513,102818515391000,329880,139750,75760,114370
2019-12-24 00:00:29,1577145629513,102818517220000,329080,139010,75950,114120
2019-12-24 00:00:31,1577145631513,102818519042000,327680,138440,75860,113380
2019-12-24 00:00:33,1577145633513,102818520866000,328250,138220,76140,113890
2019-12-24 00:00:35,1577145635513,102818522685000,327240,138260,75530,113450
2019-12-24 00:00:37,1577145637513,102818524502000,327190,138720,75630,112840
2019-12-24 00:00:39,1577145639513,102818526320000,327480,137860,75830,113790
2019-12-24 00:00:41,1577145641513,102818528138000,326910,136930,76620,113360
2019-12-24 00:00:43,1577145643513,102818529945000,324600,135580,76040,112980
2019-12-24 00:00:45,1577145645513,102818531745000,323630,135400,75020,113210
2019-12-24 00:00:47,1577145647513,102818533555000,327150,136320,76050,114780
2019-12-24 00:00:49,1577145649512,102818535374000,326840,136350,77050,113440
2019-12-24 00:00:51,1577145651512,102818537181000,324720,135100,76740,112880
2019-12-24 00:00:53,1577145653512,102818538978000,323300,135120,75520,112660
2019-12-24 00:00:55,1577145655512,102818540774000,323100,135530,75080,112490
2019-12-24 00:00:57,1577145657512,102818542572000,324190,134850,75670,113670
2019-12-24 00:00:59,1577145659512,102818544381000,325550,134830,76560,114160
2019-12-24 00:01:01,1577145661512,102818546179000,323270,134640,75720,112910
2019-12-24 00:01:03,1577145663512,102818547978000,324220,134670,75390,114160
2019-12-24 00:01:05,1577145665512,102818549781000,324450,134890,75940,113620
2019-12-24 00:01:07,1577145667512,102818551585000,324770,134610,77550,112610
2019-12-24 00:01:09,1577145669511,102818553380000,322430,134650,75510,112270
2019-12-24 00:01:11,1577145671511,102818555172000,322640,134690,75650,112300
2019-12-24 00:01:13,1577145673511,102818556972000,324700,134400,75750,114550
2019-12-24 00:01:15,1577145675511,102818558779000,325340,134150,76210,114980
2019-12-24 00:01:17,1577145677511,102818560584000,324770,134270,75760,114740
2019-12-24 00:01:19,1577145679511,102818562394000,326250,134590,75750,115910
2019-12-24 00:01:21,1577145681511,102818564202000,324970,134200,75840,114930
2019-12-24 00:01:23,1577145683511,102818566006000,324890,134320,76110,114460
2019-12-24 00:01:25,1577145685511,102818567809000,324270,134330,76080,113860
2019-12-24 00:01:27,1577145687511,102818569615000,325600,134590,76400,114610
2019-12-24 00:01:29,1577145689511,102818571427000,325840,134560,75940,115340
2019-12-24 00:01:31,1577145691510,102818573230000,324060,134680,75970,113410
2019-12-24 00:01:33,1577145693510,102818575030000,324560,134970,76490,113100
2019-12-24 00:01:35,1577145695510,102818576839000,325540,134990,76710,113840
2019-12-24 00:01:37,1577145697510,102818578638000,323370,134630,76170,112570
2019-12-24 00:01:39,1577145699510,102818580433000,323190,134700,75520,112970
2019-12-24 00:01:41,1577145701510,102818582234000,324490,135100,76500,112890
2019-12-24 00:01:43,1577145703510,102818584042000,325340,134720,76180,114440
2019-12-24 00:01:45,1577145705510,102818585847000,325060,134990,75370,114700
2019-12-24 00:01:47,1577145707510,102818587653000,325060,134980,75230,114850
2019-12-24 00:01:49,1577145709509,102818589463000,326230,134750,76310,115170
2019-12-24 00:01:51,1577145711509,102818591274000,325450,134720,76610,114120
2019-12-24 00:01:53,1577145713509,102818593073000,323570,134770,75270,113530
2019-12-24 00:01:55,1577145715509,102818594878000,325370,135120,75420,114830
2019-12-24 00:01:57,1577145717509,102818596678000,323740,134960,75590,113190
2019-12-24 00:01:59,1577145719509,102818598491000,327200,135090,77260,114850
2019-12-24 00:02:01,1577145721509,102818600301000,325210,134850,74820,115540
2019-12-24 00:02:03,1577145723509,102818602116000,326940,135320,75660,115960
2019-12-24 00:02:05,1577145725509,102818603933000,327180,135370,75970,115840
2019-12-24 00:02:07,1577145727509,102818605759000,329420,135790,77150,116480
2019-12-24 00:02:09,1577145729508,102818607585000,328350,135870,76000,116480
2019-12-24 00:02:11,1577145731508,102818609405000,327210,135730,75840,115640
2019-12-24 00:02:13,1577145733508,102818611217000,325600,135510,75440,114650
2019-12-24 00:02:15,1577145735508,102818613026000,326220,135370,76260,114590
2019-12-24 00:02:17,1577145737508,102818614852000,329090,135690,75790,117610
2019-12-24 00:02:19,1577145739508,102818616678000,328680,135320,75240,118120
2019-12-24 00:02:21,1577145741508,102818618501000,328160,135030,75890,117240
2019-12-24 00:02:23,1577145743508,102818620328000,328810,134610,75680,118520
2019-12-24 00:02:25,1577145745508,102818622152000,327710,134900,75740,117070
2019-12-24 00:02:27,1577145747508,102818623965000,326630,134740,75740,116150
2019-12-24 00:02:29,1577145749507,102818625783000,326900,135150,75410,116340
2019-12-24 00:02:31,1577145751507,102818627597000,326810,134870,76010,115930
2019-12-24 00:02:33,1577145753507,102818629407000,325540,134750,76330,114460
2019-12-24 00:02:35,1577145755507,102818631223000,327010,135170,76910,114930
