household
date,timestamp,energy,power,power1,power2,power3
2019-12-24 00:00:00,1577145600742,57539564941000,176700,88150,64000,24550
2019-12-24 00:00:02,1577145602742,57539565922000,176660,88260,62940,25460
2019-12-24 00:00:04,1577145604742,57539566921000,181340,88300,67800,25240
2019-12-24 00:00:06,1577145606742,57539567955000,187360,88260,74030,25070
2019-12-24 00:00:08,1577145608742,57539569007000,189980,88060,76920,25000
2019-12-24 00:00:10,1577145610742,57539570046000,185280,88100,72240,24940
2019-12-24 00:00:12,1577145612742,57539571085000,188910,88100,75930,24880
2019-12-24 00:00:14,1577145614742,57539572157000,194680,88190,79430,27060
2019-12-24 00:00:16,1577145616742,57539573255000,196680,88090,79250,29340
2019-12-24 00:00:18,1577145618742,57539574313000,189260,88110,73200,27950
2019-12-24 00:00:20,1577145620742,57539575352000,186260,88080,72650,25530
2019-12-24 00:00:22,1577145622742,57539576380000,184940,88000,72170,24770
2019-12-24 00:00:24,1577145624742,57539577412000,185770,88000,72680,25090
2019-12-24 00:00:26,1577145626742,57539578443000,185800,87940,72650,25210
2019-12-24 00:00:28,1577145628742,57539579484000,187770,88100,72340,27330
2019-12-24 00:00:30,1577145630742,57539580525000,187310,88050,72490,26770
2019-12-24 00:00:32,1577145632742,57539581563000,186990,87880,71740,27370
2019-12-24 00:00:34,1577145634742,57539582604000,186840,87870,72030,26940
2019-12-24 00:00:36,1577145636742,57539583636000,185980,87720,72620,25640
2019-12-24 00:00:38,1577145638742,57539584675000,187150,87890,72520,26740
2019-12-24 00:00:40,1577145640742,57539585715000,187130,87850,71590,27690
2019-12-24 00:00:42,1577145642742,57539586755000,187220,87860,71770,27590
2019-12-24 00:00:44,1577145644742,57539587786000,185120,87850,71420,25850
2019-12-24 00:00:46,1577145646742,57539588819000,186270,87780,72710,25780
2019-12-24 00:00:48,1577145648667,57539589850000,185290,87660,72430,25200
2019-12-24 00:00:50,1577145650667,57539590882000,185900,87740,72660,25500
2019-12-24 00:00:52,1577145652667,57539591918000,186790,87790,72090,26910
2019-12-24 00:00:54,1577145654667,57539592958000,187280,87450,72120,27710
2019-12-24 00:00:56,1577145656667,57539594000000,187520,87420,72630,27470
2019-12-24 00:00:58,1577145658667,57539595033000,185500,87420,72500,25580
2019-12-24 00:01:00,1577145660667,57539596071000,187440,87380,72810,27250
2019-12-24 00:01:02,1577145662667,57539597106000,185820,87610,72030,26180
2019-12-24 00:01:04,1577145664667,57539598139000,185890,87480,71650,26760
2019-12-24 00:01:06,1577145666667,57539599173000,186350,87440,72760,26150
2019-12-24 00:01:08,1577145668667,57539600209000,186600,87610,72410,26580
2019-12-24 00:01:10,1577145670667,57539601248000,186830,87570,71700,27560
2019-12-24 00:01:12,1577145672667,57539602286000,187050,87500,71770,27780
2019-12-24 00:01:14,1577145674667,57539603317000,184850,87510,71380,25960
2019-12-24 00:01:16,1577145676667,57539604346000,185550,87370,72290,25890
2019-12-24 00:01:18,1577145678667,57539605377000,185440,87240,72460,25740
2019-12-24 00:01:20,1577145680667,57539606404000,184780,87180,71850,25750
2019-12-24 00:01:22,1577145682667,57539607429000,184220,87060,71720,25440
2019-12-24 00:01:24,1577145684667,57539608452000,184270,87280,71390,25600
2019-12-24 00:01:26,1577145686667,57539609478000,185230,87280,71830,26120
2019-12-24 00:01:28,1577145688667,57539610516000,186950,87310,72150,27490
2019-12-24 00:01:30,1577145690667,57539611558000,187790,87460,72130,28200
2019-12-24 00:01:32,1577145692667,57539612595000,186010,87470,71930,26610
2019-12-24 00:01:34,1577145694667,57539613624000,185270,87380,72390,25500
2019-12-24 00:01:36,1577145696667,57539614660000,187110,87210,74180,25720
2019-12-24 00:01:38,1577145698667,57539615698000,186400,87240,74180,24980
2019-12-24 00:01:40,1577145700667,57539616732000,186020,87250,73850,24920
2019-12-24 00:01:42,1577145702667,57539617763000,185450,87820,72670,24960
2019-12-24 00:01:44,1577145704667,57539618790000,184860,87300,72260,25300
2019-12-24 00:01:46,1577145706667,57539619826000,187230,87180,72890,27160
2019-12-24 00:01:48,1577145708667,57539620869000,187640,86850,72890,27900
2019-12-24 00:01:50,1577145710667,57539621905000,185730,86810,72000,26920
2019-12-24 00:01:52,1577145712666,57539622928000,184000,87000,72020,24980
2019-12-24 00:01:54,1577145714666,57539623950000,183820,86850,71620,25350
2019-12-24 00:01:56,1577145716666,57539624975000,184940,86820,72540,25580
2019-12-24 00:01:58,1577145718666,57539626000000,183940,87020,71830,25090
2019-12-24 00:02:00,1577145720666,57539627025000,185200,86950,72710,25540
2019-12-24 00:02:02,1577145722666,57539628063000,187120,87060,72540,27520
2019-12-24 00:02:04,1577145724666,57539629094000,185070,87090,71920,26060
2019-12-24 00:02:06,1577145726666,57539630124000,185530,87010,71920,26600
2019-12-24 00:02:08,1577145728666,57539631146000,183320,86790,71630,24900
2019-12-24 00:02:10,1577145730666,57539632164000,183530,86890,71440,25200
2019-12-24 00:02:12,1577145732666,57539633189000,184480,86880,71960,25640
2019-12-24 00:02:14,1577145734666,57539634210000,183620,86910,71460,25250
2019-12-24 00:02:16,1577145736666,57539635233000,184500,86920,72270,25310
2019-12-24 00:02:18,1577145738666,57539636258000,184200,86860,72170,25170
2019-12-24 00:02:20,1577145740666,57539637278000,183840,86930,71890,25020
2019-12-24 00:02:22,1577145742666,57539638300000,183690,86860,71690,25140
2019-12-24 00:02:24,1577145744666,57539639327000,185450,86890,71680,26880
2019-12-24 00:02:26,1577145746666,57539640364000,187100,86780,72520,27800
2019-12-24 00:02:28,1577145748666,57539641401000,186150,86940,72230,26980
2019-12-24 00:02:30,1577145750666,57539642425000,183860,86840,71760,25260
2019-12-24 00:02:32,1577145752666,57539643448000,184480,86700,72360,25420
2019-12-24 00:02:34,1577145754666,57539644473000,184330,86460,72820,25050
2019-12-24 00:02:36,1577145756666,57539645500000,185240,86560,73270,25410
2019-12-24 00:02:38,1577145758666,57539646528000,184550,86510,72810,25230
2019-12-24 00:02:40,1577145760666,57539647548000,183390,86400,71940,25050
2019-12-24 00:02:42,1577145762666,57539648569000,184110,86440,72480,25190
2019-12-24 00:02:44,1577145764666,57539649595000,184930,86560,71920,26450
2019-12-24 00:02:46,1577145766666,57539650630000,186780,86510,72400,27870
2019-12-24 00:02:48,1577145768666,57539651669000,186870,86690,72900,27280
2019-12-24 00:02:50,1577145770666,57539652696000,184130,86540,72270,25320
2019-12-24 00:02:52,1577145772666,57539653717000,183790,86570,72450,24770
2019-12-24 00:02:54,1577145774666,57539654738000,183820,86570,72340,24910
2019-12-24 00:02:56,1577145776666,57539655763000,184820,86560,72900,25360
2019-12-24 00:02:58,1577145778666,57539656787000,184020,86680,72430,24910
2019-12-24 00:03:00,1577145780665,57539657809000,183850,86640,72280,24930
2019-12-24 00:03:02,1577145782665,57539658828000,183530,86770,71840,24920
2019-12-24 00:03:04,1577145784665,57539659854000,184880,86780,72640,25460
2019-12-24 00:03:06,1577145786665,57539660888000,186600,86530,73150,26920
2019-12-24 00:03:08,1577145788665,57539661929000,187720,86460,72770,28490
2019-12-24 00:03:10,1577145790665,57539662979000,189200,86560,72110,30530
2019-12-24 00:03:12,1577145792665,57539664028000,188920,86450,72140,30330
2019-12-24 00:03:14,1577145794665,57539665079000,189130,86660,71820,30650
2019-12-24 00:03:16,1577145796665,57539666137000,190930,86490,72800,31640
2019-12-24 00:03:18,1577145798665,57539667197000,190610,86530,72260,31820
2019-12-24 00:03:20,1577145800665,57539668250000,189340,86350,72210,30780
2019-12-24 00:03:22,1577145802665,57539669301000,189000,86280,71960,30760
2019-12-24 00:03:24,1577145804665,57539670350000,188750,86080,72260,30410
2019-12-24 00:03:26,1577145806665,57539671401000,189450,86160,72940,30350
2019-12-24 00:03:28,1577145808665,57539672454000,189210,86200,72630,30380
2019-12-24 00:03:30,1577145810665,57539673504000,189340,86230,72770,30340
2019-12-24 00:03:32,1577145812665,57539674556000,189450,86040,72180,31230
2019-12-24 00:03:34,1577145814665,57539675606000,188510,85770,72460,30280
2019-12-24 00:03:36,1577145816665,57539676662000,190700,85890,72720,32090
2019-12-24 00:03:38,1577145818665,57539677718000,189790,86190,73000,30600
2019-12-24 00:03:40,1577145820665,57539678764000,187810,86120,71880,29810
2019-12-24 00:03:42,1577145822665,57539679806000,187670,86190,72970,28510
2019-12-24 00:03:44,1577145824665,57539680842000,185750,86370,72360,27020
2019-12-24 00:03:46,1577145826665,57539681878000,187210,86680,72500,28030
2019-12-24 00:03:48,1577145828665,57539682923000,188250,86280,73250,28720
2019-12-24 00:03:50,1577145830665,57539683965000,186860,86220,72920,27720
2019-12-24 00:03:52,1577145832665,57539684996000,185900,86180,72680,27040
2019-12-24 00:03:54,1577145834665,57539686034000,186710,86080,72220,28410
2019-12-24 00:03:56,1577145836665,57539687074000,187820,86290,72800,28730
2019-12-24 00:03:58,1577145838665,57539688114000,186150,86410,72980,26760
2019-12-24 00:04:00,1577145840665,57539689143000,185490,86470,73070,25950
2019-12-24 00:04:02,1577145842665,57539690176000,185970,86360,73480,26130
2019-12-24 00:04:04,1577145844665,57539691217000,188280,86320,72970,28990
2019-12-24 00:04:06,1577145846665,57539692272000,190110,86350,73040,30720
2019-12-24 00:04:08,1577145848664,57539693327000,189790,86340,73120,30330
2019-12-24 00:04:10,1577145850664,57539694380000,189390,86440,72600,30350
2019-12-24 00:04:12,1577145852664,57539695432000,189420,86280,72610,30530
2019-12-24 00:04:14,1577145854664,57539696483000,189030,86270,72370,30390
2019-12-24 00:04:16,1577145856664,57539697534000,189400,86210,72940,30250
2019-12-24 00:04:18,1577145858664,57539698587000,189290,86070,72840,30380
2019-12-24 00:04:20,1577145860664,57539699637000,189050,86260,72450,30340
2019-12-24 00:04:22,1577145862664,57539700684000,188410,86300,71950,30160
2019-12-24 00:04:24,1577145864664,57539701734000,189010,86370,72320,30320
2019-12-24 00:04:26,1577145866664,57539702786000,189740,86310,73200,30230
2019-12-24 00:04:28,1577145868664,57539703841000,189420,86250,72580,30590
2019-12-24 00:04:30,1577145870664,57539704890000,189040,86160,72230,30650
2019-12-24 00:04:32,1577145872664,57539705929000,185920,85930,72260,27730
2019-12-24 00:04:34,1577145874664,57539706953000,184060,85800,71890,26370
2019-12-24 00:04:36,1577145876664,57539707982000,185780,85810,72990,26980
2019-12-24 00:04:38,1577145878664,57539709013000,185090,85850,72800,26440
2019-12-24 00:04:40,1577145880664,57539710037000,184460,85840,72080,26540
2019-12-24 00:04:42,1577145882664,57539711061000,184180,85980,72000,26200
2019-12-24 00:04:44,1577145884664,57539712086000,184580,85890,72430,26260
2019-12-24 00:04:46,1577145886664,57539713112000,184840,86000,72620,26220
2019-12-24 00:04:48,1577145888664,57539714139000,184740,85920,72800,26020
2019-12-24 00:04:50,1577145890664,57539715162000,183950,85770,72230,25950
2019-12-24 00:04:52,1577145892664,57539716184000,183850,85720,72240,25890
2019-12-24 00:04:54,1577145894664,57539717209000,185110,85910,72510,26690
2019-12-24 00:04:56,1577145896664,57539718248000,187500,86030,73050,28420
2019-12-24 00:04:58,1577145898664,57539719289000,187210,86080,72500,28630
2019-12-24 00:05:00,1577145900664,57539720324000,185980,86040,72800,27140
2019-12-24 00:05:02,1577145902664,57539721349000,184020,86110,72020,25890
2019-12-24 00:05:04,1577145904664,57539722372000,184260,86130,72090,26040
2019-12-24 00:05:06,1577145906664,57539723397000,184650,86140,72540,25970
2019-12-24 00:05:08,1577145908664,57539724423000,184220,85970,72870,25380
2019-12-24 00:05:10,1577145910664,57539725444000,184110,85870,72280,25960
2019-12-24 00:05:12,1577145912664,57539726468000,184190,85680,72650,25860
2019-12-24 00:05:14,1577145914664,57539727490000,183920,85660,72560,25700
2019-12-24 00:05:16,1577145916663,57539728512000,184010,85760,72360,25890
2019-12-24 00:05:18,1577145918663,57539729537000,184740,85710,72400,26630
2019-12-24 00:05:20,1577145920663,57539730570000,186390,85610,72490,28290
2019-12-24 00:05:22,1577145922663,57539731605000,185930,85710,71860,28360
2019-12-24 00:05:24,1577145924663,57539732634000,184970,85660,72300,27010
2019-12-24 00:05:26,1577145926663,57539733657000,184170,85840,72220,26110
2019-12-24 00:05:28,1577145928663,57539734682000,184340,85740,72560,26040
2019-12-24 00:05:30,1577145930663,57539735704000,184010,85860,72310,25840
2019-12-24 00:05:32,1577145932663,57539736726000,183840,85780,72110,25950
2019-12-24 00:05:34,1577145934663,57539737745000,183460,85650,71810,26000
2019-12-24 00:05:36,1577145936663,57539738767000,184120,85630,72510,25980
2019-12-24 00:05:38,1577145938663,57539739787000,183370,85770,72160,25440
2019-12-24 00:05:40,1577145940663,57539740805000,183300,85770,71960,25570
2019-12-24 00:05:42,1577145942663,57539741830000,184810,85850,71840,27120
2019-12-24 00:05:44,1577145944663,57539742858000,185280,85710,71990,27580
2019-12-24 00:05:46,1577145946663,57539743887000,185020,85840,72400,26780
2019-12-24 00:05:48,1577145948663,57539744911000,184070,85800,72750,25520
2019-12-24 00:05:50,1577145950663,57539745934000,184510,85670,72490,26350
2019-12-24 00:05:52,1577145952663,57539746964000,185270,85700,71930,27640
2019-12-24 00:05:54,1577145954663,57539747993000,185300,85680,72490,27130
2019-12-24 00:05:56,1577145956663,57539749019000,184660,85640,72880,26140
2019-12-24 00:05:58,1577145958663,57539750051000,185990,85670,72690,27630
2019-12-24 00:06:00,1577145960663,57539751084000,185900,85550,72620,27730
2019-12-24 00:06:02,1577145962663,57539752107000,183320,85340,71930,26050
2019-12-24 00:06:04,1577145964663,57539753121000,182450,85410,71770,25270
2019-12-24 00:06:06,1577145966663,57539754136000,182900,85500,72280,25120
2019-12-24 00:06:08,1577145968663,57539755156000,183620,85390,72940,25290
2019-12-24 00:06:10,1577145970663,57539756168000,181980,85450,72050,24480
2019-12-24 00:06:12,1577145972663,57539757190000,184780,85690,72790,26300
2019-12-24 00:06:14,1577145974663,57539758228000,187380,85700,73880,27800
2019-12-24 00:06:16,1577145976663,57539759267000,186530,85620,73330,27580
2019-12-24 00:06:18,1577145978663,57539760292000,183960,85700,72630,25630
2019-12-24 00:06:20,1577145980663,57539761310000,182940,85680,71960,25300
2019-12-24 00:06:22,1577145982663,57539762322000,182000,85410,71380,25210
2019-12-24 00:06:24,1577145984662,57539763334000,182300,85330,71560,25410
2019-12-24 00:06:26,1577145986662,57539764347000,182560,85230,72200,25130
2019-12-24 00:06:28,1577145988662,57539765363000,182700,85280,72320,25100
2019-12-24 00:06:30,1577145990662,57539766376000,182370,85340,72130,24900
2019-12-24 00:06:32,1577145992662,57539767388000,182110,85170,72050,24890
2019-12-24 00:06:34,1577145994662,57539768402000,182310,85300,71950,25060
2019-12-24 00:06:36,1577145996662,57539769416000,182980,85240,72400,25340
2019-12-24 00:06:38,1577145998662,57539770436000,183450,85330,72630,25490
2019-12-24 00:06:40,1577146000662,57539771453000,183040,85520,72450,25070
2019-12-24 00:06:42,1577146002662,57539772475000,184520,85420,72360,26740
2019-12-24 00:06:44,1577146004662,57539773502000,184870,85350,71950,27570
2019-12-24 00:06:46,1577146006662,57539774532000,185340,85370,72480,27490
2019-12-24 00:06:48,1577146008662,57539775553000,183230,85440,72530,25260
2019-12-24 00:06:50,1577146010662,57539776566000,182200,85310,71880,25010
2019-12-24 00:06:52,1577146012662,57539777581000,182900,85300,71860,25740
2019-12-24 00:06:54,1577146014662,57539778602000,184180,85210,71860,27110
2019-12-24 00:06:56,1577146016662,57539779629000,185160,85520,71870,27770
2019-12-24 00:06:58,1577146018662,57539780655000,183950,85470,72090,26390
2019-12-24 00:07:00,1577146020662,57539781670000,182770,85290,72000,25480
2019-12-24 00:07:02,1577146022662,57539782697000,185600,85310,72910,27380
2019-12-24 00:07:04,1577146024662,57539783726000,184860,85300,71750,27810
2019-12-24 00:07:06,1577146026662,57539784748000,183530,85230,71970,26330
2019-12-24 00:07:08,1577146028662,57539785765000,182880,85150,72610,25120
2019-12-24 00:07:10,1577146030662,57539786781000,183020,85190,72610,25220
2019-12-24 00:07:12,1577146032662,57539787800000,183590,85350,72530,25710
2019-12-24 00:07:14,1577146034662,57539788818000,183150,85350,72290,25510
2019-12-24 00:07:16,1577146036662,57539789841000,184720,85290,72570,26860
2019-12-24 00:07:18,1577146038662,57539790877000,186780,85300,73210,28270
2019-12-24 00:07:20,1577146040662,57539791908000,185160,85010,72220,27930
2019-12-24 00:07:22,1577146042662,57539792930000,183500,85210,72250,26040
2019-12-24 00:07:24,1577146044662,57539793947000,183080,85240,72370,25470
2019-12-24 00:07:26,1577146046662,57539794964000,183080,85110,72350,25620
2019-12-24 00:07:28,1577146048662,57539795983000,183170,85090,72770,25310
2019-12-24 00:07:30,1577146050662,57539796997000,182670,84970,72280,25420
2019-12-24 00:07:32,1577146052662,57539798014000,183010,84920,72520,25570
2019-12-24 00:07:34,1577146054661,57539799028000,182280,84940,71580,25760
2019-12-24 00:07:36,1577146056661,57539800045000,183650,84960,72810,25880
2019-12-24 00:07:38,1577146058661,57539801072000,185140,85080,72200,27860
2019-12-24 00:07:40,1577146060661,57539802104000,185990,85160,72480,28350
2019-12-24 00:07:42,1577146062661,57539803128000,183460,85120,72260,26080
2019-12-24 00:07:44,1577146064661,57539804144000,182860,85160,72490,25210
2019-12-24 00:07:46,1577146066661,57539805158000,182750,84850,72730,25170
2019-12-24 00:07:48,1577146068661,57539806175000,182730,84810,72730,25190
2019-12-24 00:07:50,1577146070661,57539807185000,181710,84820,71880,25010
2019-12-24 00:07:52,1577146072661,57539808193000,181200,84760,71590,24850
2019-12-24 00:07:54,1577146074661,57539809202000,181960,84740,71750,25470
2019-12-24 00:07:56,1577146076661,57539810220000,183660,84890,71830,26940
2019-12-24 00:07:58,1577146078661,57539811247000,185010,84820,72650,27540
2019-12-24 00:08:00,1577146080661,57539812272000,184170,84900,72250,27020
2019-12-24 00:08:02,1577146082661,57539813292000,183760,84980,72670,26110
2019-12-24 00:08:04,1577146084661,57539814320000,185510,85180,72690,27640
2019-12-24 00:08:06,1577146086661,57539815351000,185630,85150,72700,27780
2019-12-24 00:08:08,1577146088661,57539816376000,183680,85310,72450,25920
2019-12-24 00:08:10,1577146090661,57539817389000,182010,85140,71890,24980
2019-12-24 00:08:12,1577146092661,57539818398000,181450,84910,71820,24720
2019-12-24 00:08:14,1577146094661,57539819406000,181740,84740,72310,24690
2019-12-24 00:08:16,1577146096661,57539820419000,182610,84960,72370,25280
2019-12-24 00:08:18,1577146098661,57539821436000,183040,84970,72590,25480
2019-12-24 00:08:20,1577146100661,57539822448000,181970,84860,71740,25370
2019-12-24 00:08:22,1577146102661,57539823460000,181960,84860,71900,25200
2019-12-24 00:08:24,1577146104661,57539824471000,182280,84910,72190,25180
2019-12-24 00:08:26,1577146106661,57539825487000,182820,85000,72800,25020
2019-12-24 00:08:28,1577146108661,57539826502000,182900,85130,72500,25270
2019-12-24 00:08:30,1577146110661,57539827518000,182870,85210,72600,25060
2019-12-24 00:08:32,1577146112661,57539828531000,182030,85020,71780,25230
2019-12-24 00:08:34,1577146114661,57539829543000,182080,84880,71850,25350
2019-12-24 00:08:36,1577146116661,57539830556000,182720,84850,72510,25360
2019-12-24 00:08:38,1577146118661,57539831571000,182370,84910,72310,25150
2019-12-24 00:08:40,1577146120661,57539832582000,182110,84820,72030,25260
2019-12-24 00:08:42,1577146122660,57539833598000,183090,84780,71760,26550
2019-12-24 00:08:44,1577146124660,57539834617000,183620,84770,71960,26890
2019-12-24 00:08:46,1577146126660,57539835643000,184840,84790,72300,27750
2019-12-24 00:08:48,1577146128660,57539836663000,183050,84570,72750,25730
2019-12-24 00:08:50,1577146130660,57539837675000,182050,84710,72090,25250
2019-12-24 00:08:52,1577146132660,57539838687000,182070,84970,71750,25350
2019-12-24 00:08:54,1577146134660,57539839701000,183130,84880,71710,26540
2019-12-24 00:08:56,1577146136660,57539840726000,184720,84850,72270,27600
2019-12-24 00:08:58,1577146138660,57539841755000,185010,84950,73000,27060
2019-12-24 00:09:00,1577146140660,57539842770000,182380,84920,72280,25180
2019-12-24 00:09:02,1577146142660,57539843787000,183180,84750,72760,25670
2019-12-24 00:09:04,1577146144660,57539844800000,182020,84890,71720,25410
2019-12-24 00:09:06,1577146146660,57539845814000,182830,84780,72550,25500
2019-12-24 00:09:08,1577146148660,57539846830000,182650,84750,72510,25390
2019-12-24 00:09:10,1577146150660,57539847843000,182270,84770,72140,25360
2019-12-24 00:09:12,1577146152660,57539848855000,182050,84760,71980,25310
2019-12-24 00:09:14,1577146154660,57539849864000,181660,84690,72210,24760
2019-12-24 00:09:16,1577146156660,57539850879000,183010,84900,72850,25260
2019-12-24 00:09:18,1577146158660,57539851896000,183070,84930,72670,25470
2019-12-24 00:09:20,1577146160660,57539852907000,181760,84710,71940,25110
2019-12-24 00:09:22,1577146162660,57539853918000,182070,84590,72410,25070
2019-12-24 00:09:24,1577146164660,57539854933000,182860,84470,72860,25530
2019-12-24 00:09:26,1577146166660,57539855951000,183260,84750,72930,25580
2019-12-24 00:09:28,1577146168660,57539856964000,181960,84640,72230,25090
2019-12-24 00:09:30,1577146170660,57539857973000,181920,84590,72220,25110
2019-12-24 00:09:32,1577146172660,57539858988000,182750,84590,72920,25240
2019-12-24 00:09:34,1577146174660,57539860007000,183630,84730,72520,26380
2019-12-24 00:09:36,1577146176660,57539861033000,185090,84620,72810,27660
2019-12-24 00:09:38,1577146178660,57539862061000,184940,84680,72430,27830
2019-12-24 00:09:40,1577146180660,57539863082000,183140,84470,72460,26210
2019-12-24 00:09:42,1577146182660,57539864095000,182350,84460,72470,25420
2019-12-24 00:09:44,1577146184660,57539865112000,183490,84610,73470,25410
2019-12-24 00:09:46,1577146186660,57539866131000,183170,84660,73160,25350
2019-12-24 00:09:48,1577146188660,57539867147000,182810,84800,72790,25220
2019-12-24 00:09:50,1577146190659,57539868157000,181540,84760,71840,24940
2019-12-24 00:09:52,1577146192659,57539869168000,181990,84640,72120,25230
2019-12-24 00:09:54,1577146194659,57539870178000,181830,84600,72080,25150
2019-12-24 00:09:56,1577146196659,57539871187000,181620,84460,72160,25000
2019-12-24 00:09:58,1577146198659,57539872197000,181690,84430,72120,25140
2019-12-24 00:10:00,1577146200659,57539873205000,181610,84310,72160,25140
2019-12-24 00:10:02,1577146202659,57539874215000,181760,84270,71890,25600
2019-12-24 00:10:04,1577146204659,57539875225000,181660,84200,71870,25590
2019-12-24 00:10:06,1577146206659,57539876236000,182290,84360,71870,26060
2019-12-24 00:10:08,1577146208659,57539877253000,182990,84510,72620,25860
2019-12-24 00:10:10,1577146210659,57539878264000,181880,84380,72090,25410
2019-12-24 00:10:12,1577146212659,57539879276000,182380,84480,72320,25580
2019-12-24 00:10:14,1577146214659,57539880290000,182440,84800,71900,25740
2019-12-24 00:10:16,1577146216659,57539881304000,182520,84720,72660,25140
2019-12-24 00:10:18,1577146218659,57539882320000,183050,84660,72800,25590
2019-12-24 00:10:20,1577146220659,57539883331000,181500,84630,71400,25470
2019-12-24 00:10:22,1577146222659,57539884343000,182320,84720,71940,25660
2019-12-24 00:10:24,1577146224659,57539885354000,182150,84740,71800,25610
2019-12-24 00:10:26,1577146226659,57539886369000,182740,84560,72420,25760
2019-12-24 00:10:28,1577146228659,57539887388000,183470,84550,73090,25830
2019-12-24 00:10:30,1577146230659,57539888399000,181850,84470,71810,25570
2019-12-24 00:10:32,1577146232659,57539889412000,182190,84520,72080,25590
2019-12-24 00:10:34,1577146234659,57539890421000,181610,84450,71550,25610
2019-12-24 00:10:36,1577146236659,57539891432000,182010,84590,71920,25500
2019-12-24 00:10:38,1577146238659,57539892445000,182560,84510,72330,25720
