household
date,timestamp,energy,power,power1,power2,power3
2019-12-24 00:00:01,1577145601978,55002046400000,62360,4170,35580,22610
2019-12-24 00:00:03,1577145603978,55002046747000,62720,4110,35910,22700
2019-12-24 00:00:05,1577145605978,55002047097000,62790,4090,35860,22840
2019-12-24 00:00:07,1577145607978,55002047444000,62460,4100,35840,22520
2019-12-24 00:00:09,1577145609978,55002047791000,62390,4210,35940,22240
2019-12-24 00:00:11,1577145611978,55002048138000,62390,4190,35870,22330
2019-12-24 00:00:13,1577145613978,55002048482000,61960,4090,35600,22270
2019-12-24 00:00:15,1577145615977,55002048828000,62380,3850,35770,22760
2019-12-24 00:00:17,1577145617977,55002049174000,62260,4000,35930,22330
2019-12-24 00:00:19,1577145619977,55002049521000,62610,4130,35980,22500
2019-12-24 00:00:21,1577145621977,55002049869000,62580,4080,35940,22560
2019-12-24 00:00:23,1577145623977,55002050217000,62610,4040,35830,22740
2019-12-24 00:00:25,1577145625977,55002050561000,61660,3970,35410,22280
2019-12-24 00:00:27,1577145627977,55002050906000,62390,4050,35830,22510
2019-12-24 00:00:29,1577145629977,55002051254000,62570,4010,35870,22690
2019-12-24 00:00:31,1577145631977,55002051602000,62710,4160,35820,22730
2019-12-24 00:00:33,1577145633976,55002051949000,62430,4330,35860,22240
2019-12-24 00:00:35,1577145635976,55002052293000,61710,4210,35490,22010
2019-12-24 00:00:37,1577145637976,55002052634000,61420,4100,35190,22130
2019-12-24 00:00:39,1577145639976,55002052980000,62480,4270,35640,22570
2019-12-24 00:00:41,1577145641976,55002053330000,63200,4270,35970,22960
2019-12-24 00:00:43,1577145643976,55002053680000,62760,4150,36150,22460
2019-12-24 00:00:45,1577145645976,55002054027000,62370,4060,35760,22550
2019-12-24 00:00:47,1577145647976,55002054374000,62600,4020,35750,22830
2019-12-24 00:00:49,1577145649976,55002054720000,62250,4030,35540,22680
2019-12-24 00:00:51,1577145651975,55002055067000,62320,4100,36010,22210
2019-12-24 00:00:53,1577145653975,55002055412000,62210,4270,35750,22190
2019-12-24 00:00:55,1577145655975,55002055759000,62510,4180,35810,22520
2019-12-24 00:00:57,1577145657975,55002056109000,63130,4060,36290,22780
2019-12-24 00:00:59,1577145659975,55002056456000,62160,4240,35730,22190
2019-12-24 00:01:01,1577145661975,55002056801000,62080,4220,35390,22470
2019-12-24 00:01:03,1577145663975,55002057148000,62690,4160,35810,22720
2019-12-24 00:01:05,1577145665975,55002057496000,62490,4060,35920,22510
2019-12-24 00:01:07,1577145667975,55002057844000,62770,4070,36040,22660
2019-12-24 00:01:09,1577145669974,55002058192000,62650,3990,35850,22810
2019-12-24 00:01:11,1577145671974,55002058540000,62600,4050,35840,22710
2019-12-24 00:01:13,1577145673974,55002058886000,62100,4070,35690,22340
2019-12-24 00:01:15,1577145675974,55002059231000,62330,4090,35770,22470
2019-12-24 00:01:17,1577145677974,55002059580000,62740,4140,35970,22630
2019-12-24 00:01:19,1577145679974,55002059925000,62010,4130,35780,22100
2019-12-24 00:01:21,1577145681974,55002060271000,62300,4180,36010,22110
2019-12-24 00:01:23,1577145683974,55002060618000,62580,4150,35650,22780
2019-12-24 00:01:25,1577145685973,55002060968000,63140,4210,35620,23310
2019-12-24 00:01:27,1577145687973,55002061318000,62910,4110,36000,22800
2019-12-24 00:01:29,1577145689973,55002061666000,62770,4300,35910,22560
2019-12-24 00:01:31,1577145691973,55002062012000,62020,4040,35630,22350
2019-12-24 00:01:33,1577145693973,55002062360000,62730,4210,35750,22770
2019-12-24 00:01:35,1577145695973,55002062706000,62050,4170,35410,22470
2019-12-24 00:01:37,1577145697973,55002063050000,61890,4040,35750,22100
2019-12-24 00:01:39,1577145699973,55002063394000,62190,4140,35830,22220
2019-12-24 00:01:41,1577145701973,55002063743000,62950,4200,35970,22780
2019-12-24 00:01:43,1577145703972,55002064091000,62510,4210,35940,22360
2019-12-24 00:01:45,1577145705972,55002064440000,62770,4320,35950,22500
2019-12-24 00:01:47,1577145707972,55002064785000,61960,4160,35440,22360
2019-12-24 00:01:49,1577145709972,55002065131000,62370,4110,35700,22560
2019-12-24 00:01:51,1577145711972,55002065479000,62630,4160,35900,22570
2019-12-24 00:01:53,1577145713972,55002065826000,62600,4160,35990,22450
2019-12-24 00:01:55,1577145715972,55002066173000,62260,4020,35790,22450
2019-12-24 00:01:57,1577145717972,55002066520000,62730,4220,35810,22700
2019-12-24 00:01:59,1577145719972,55002066867000,62370,4190,35620,22560
2019-12-24 00:02:01,1577145721971,55002067212000,61730,4120,35580,22030
2019-12-24 00:02:03,1577145723971,55002067556000,62290,4150,35790,22350
2019-12-24 00:02:05,1577145725971,55002067906000,63150,4220,36060,22870
